POI: 			Jim_Jefferies 
Youtube ID: 	W7680q25xY4 
Video length: 	635.2 sec 
Set (V): 		dev 
 
Jim_Jefferies/W7680q25xY4_0000001 68.6 74.0 
Jim_Jefferies/W7680q25xY4_0000002 164.6 177.1 
Jim_Jefferies/W7680q25xY4_0000003 177.4 191.5 
Jim_Jefferies/W7680q25xY4_0000004 213.3 226.6 
Jim_Jefferies/W7680q25xY4_0000005 238.5 242.5 
Jim_Jefferies/W7680q25xY4_0000006 243.2 250.8 
Jim_Jefferies/W7680q25xY4_0000007 256.1 261.4 
Jim_Jefferies/W7680q25xY4_0000008 269.3 274.5 
Jim_Jefferies/W7680q25xY4_0000009 274.8 284.3 
Jim_Jefferies/W7680q25xY4_0000010 305.8 311.5 
Jim_Jefferies/W7680q25xY4_0000011 313.2 324.7 
Jim_Jefferies/W7680q25xY4_0000012 438.4 444.6 
Jim_Jefferies/W7680q25xY4_0000013 452.0 456.5 
Jim_Jefferies/W7680q25xY4_0000014 458.1 472.6 
Jim_Jefferies/W7680q25xY4_0000015 509.0 522.5 
Jim_Jefferies/W7680q25xY4_0000016 525.4 531.9 
Jim_Jefferies/W7680q25xY4_0000017 541.0 555.9 
Jim_Jefferies/W7680q25xY4_0000018 557.0 567.7 
Jim_Jefferies/W7680q25xY4_0000019 571.4 577.5 
Jim_Jefferies/W7680q25xY4_0000020 583.1 590.4 
Jim_Jefferies/W7680q25xY4_0000021 604.7 620.7 
