POI: 			Tavi_Gevinson 
Youtube ID: 	_gqH11CZpRs 
Video length: 	2324.7 sec 
Set (V): 		dev 
 
Tavi_Gevinson/_gqH11CZpRs_0000001 217.7 229.1 
Tavi_Gevinson/_gqH11CZpRs_0000002 233.4 246.0 
Tavi_Gevinson/_gqH11CZpRs_0000003 246.4 251.1 
Tavi_Gevinson/_gqH11CZpRs_0000004 700.4 717.8 
Tavi_Gevinson/_gqH11CZpRs_0000005 718.4 726.2 
Tavi_Gevinson/_gqH11CZpRs_0000006 934.1 945.6 
Tavi_Gevinson/_gqH11CZpRs_0000007 945.8 952.4 
Tavi_Gevinson/_gqH11CZpRs_0000008 958.3 965.1 
Tavi_Gevinson/_gqH11CZpRs_0000009 966.3 973.5 
Tavi_Gevinson/_gqH11CZpRs_0000010 1052.5 1061.5 
Tavi_Gevinson/_gqH11CZpRs_0000011 1063.1 1071.0 
Tavi_Gevinson/_gqH11CZpRs_0000012 1071.7 1078.3 
Tavi_Gevinson/_gqH11CZpRs_0000013 1083.8 1089.7 
Tavi_Gevinson/_gqH11CZpRs_0000014 1105.2 1116.6 
Tavi_Gevinson/_gqH11CZpRs_0000015 1117.0 1124.7 
Tavi_Gevinson/_gqH11CZpRs_0000016 1125.0 1129.1 
Tavi_Gevinson/_gqH11CZpRs_0000017 1622.7 1632.5 
Tavi_Gevinson/_gqH11CZpRs_0000018 1636.8 1644.3 
Tavi_Gevinson/_gqH11CZpRs_0000019 1644.7 1652.0 
Tavi_Gevinson/_gqH11CZpRs_0000020 1662.6 1669.4 
Tavi_Gevinson/_gqH11CZpRs_0000021 1674.2 1678.5 
Tavi_Gevinson/_gqH11CZpRs_0000022 1678.8 1701.9 
Tavi_Gevinson/_gqH11CZpRs_0000023 1702.3 1707.5 
Tavi_Gevinson/_gqH11CZpRs_0000024 2061.0 2080.5 
Tavi_Gevinson/_gqH11CZpRs_0000025 2081.8 2092.6 
Tavi_Gevinson/_gqH11CZpRs_0000026 2103.0 2110.8 
Tavi_Gevinson/_gqH11CZpRs_0000027 2221.8 2228.9 
Tavi_Gevinson/_gqH11CZpRs_0000028 2232.1 2257.0 
