POI: 			Jack_Coleman 
Youtube ID: 	_DvLV9aicU4 
Video length: 	493.9 sec 
Set (V): 		dev 
 
Jack_Coleman/_DvLV9aicU4_0000001 02.5 26.0 
Jack_Coleman/_DvLV9aicU4_0000002 27.0 42.4 
Jack_Coleman/_DvLV9aicU4_0000003 43.2 60.6 
Jack_Coleman/_DvLV9aicU4_0000004 61.6 76.5 
Jack_Coleman/_DvLV9aicU4_0000005 81.3 86.0 
Jack_Coleman/_DvLV9aicU4_0000006 103.1 127.9 
Jack_Coleman/_DvLV9aicU4_0000007 147.0 156.2 
Jack_Coleman/_DvLV9aicU4_0000008 157.4 165.9 
Jack_Coleman/_DvLV9aicU4_0000009 167.0 178.2 
Jack_Coleman/_DvLV9aicU4_0000010 179.2 192.5 
Jack_Coleman/_DvLV9aicU4_0000011 193.9 201.2 
Jack_Coleman/_DvLV9aicU4_0000012 202.1 209.2 
Jack_Coleman/_DvLV9aicU4_0000013 210.3 227.2 
Jack_Coleman/_DvLV9aicU4_0000014 232.1 241.2 
Jack_Coleman/_DvLV9aicU4_0000015 247.5 255.4 
Jack_Coleman/_DvLV9aicU4_0000016 258.4 277.7 
Jack_Coleman/_DvLV9aicU4_0000017 277.9 283.0 
Jack_Coleman/_DvLV9aicU4_0000018 291.0 297.3 
Jack_Coleman/_DvLV9aicU4_0000019 309.5 313.8 
Jack_Coleman/_DvLV9aicU4_0000020 314.8 321.7 
Jack_Coleman/_DvLV9aicU4_0000021 326.4 330.9 
Jack_Coleman/_DvLV9aicU4_0000022 337.3 342.4 
Jack_Coleman/_DvLV9aicU4_0000023 342.9 349.8 
Jack_Coleman/_DvLV9aicU4_0000024 351.5 355.5 
Jack_Coleman/_DvLV9aicU4_0000025 355.9 361.2 
Jack_Coleman/_DvLV9aicU4_0000026 361.7 366.0 
Jack_Coleman/_DvLV9aicU4_0000027 373.7 385.3 
Jack_Coleman/_DvLV9aicU4_0000028 386.0 399.2 
Jack_Coleman/_DvLV9aicU4_0000029 422.7 448.8 
Jack_Coleman/_DvLV9aicU4_0000030 451.0 455.6 
Jack_Coleman/_DvLV9aicU4_0000031 456.4 476.7 
