POI: 			Hunter_Parrish 
Youtube ID: 	r902K8Ky7Oo 
Video length: 	243.8 sec 
Set (V): 		dev 
 
Hunter_Parrish/r902K8Ky7Oo_0000001 12.0 18.7 
Hunter_Parrish/r902K8Ky7Oo_0000002 19.7 27.1 
Hunter_Parrish/r902K8Ky7Oo_0000003 28.2 32.6 
Hunter_Parrish/r902K8Ky7Oo_0000004 46.9 55.6 
Hunter_Parrish/r902K8Ky7Oo_0000005 57.9 73.3 
Hunter_Parrish/r902K8Ky7Oo_0000006 76.0 80.2 
Hunter_Parrish/r902K8Ky7Oo_0000007 108.7 115.6 
Hunter_Parrish/r902K8Ky7Oo_0000008 116.4 120.7 
Hunter_Parrish/r902K8Ky7Oo_0000009 122.9 130.7 
Hunter_Parrish/r902K8Ky7Oo_0000010 136.1 148.5 
Hunter_Parrish/r902K8Ky7Oo_0000011 149.2 158.9 
Hunter_Parrish/r902K8Ky7Oo_0000012 170.2 175.5 
Hunter_Parrish/r902K8Ky7Oo_0000013 176.2 188.4 
Hunter_Parrish/r902K8Ky7Oo_0000014 192.3 199.1 
Hunter_Parrish/r902K8Ky7Oo_0000015 200.3 205.2 
Hunter_Parrish/r902K8Ky7Oo_0000016 214.6 219.0 
Hunter_Parrish/r902K8Ky7Oo_0000017 223.2 230.6 
