POI: 			Maria_Menounos 
Youtube ID: 	O-L98c3gnSI 
Video length: 	704.9 sec 
Set (V): 		dev 
 
Maria_Menounos/O-L98c3gnSI_0000001 36.7 41.0 
Maria_Menounos/O-L98c3gnSI_0000002 52.0 57.4 
Maria_Menounos/O-L98c3gnSI_0000003 104.9 114.2 
Maria_Menounos/O-L98c3gnSI_0000004 134.5 140.6 
Maria_Menounos/O-L98c3gnSI_0000005 155.1 161.6 
Maria_Menounos/O-L98c3gnSI_0000006 179.0 188.2 
Maria_Menounos/O-L98c3gnSI_0000007 190.6 198.4 
Maria_Menounos/O-L98c3gnSI_0000008 246.2 250.8 
Maria_Menounos/O-L98c3gnSI_0000009 305.7 311.1 
Maria_Menounos/O-L98c3gnSI_0000010 341.6 351.0 
Maria_Menounos/O-L98c3gnSI_0000011 364.0 370.5 
Maria_Menounos/O-L98c3gnSI_0000012 374.9 380.3 
Maria_Menounos/O-L98c3gnSI_0000013 386.5 391.0 
Maria_Menounos/O-L98c3gnSI_0000014 410.9 416.2 
Maria_Menounos/O-L98c3gnSI_0000015 423.1 427.3 
Maria_Menounos/O-L98c3gnSI_0000016 436.9 441.2 
Maria_Menounos/O-L98c3gnSI_0000017 443.4 447.9 
Maria_Menounos/O-L98c3gnSI_0000018 488.8 502.4 
Maria_Menounos/O-L98c3gnSI_0000019 504.4 512.3 
Maria_Menounos/O-L98c3gnSI_0000020 559.4 567.4 
Maria_Menounos/O-L98c3gnSI_0000021 569.6 575.2 
