POI: 			Kodi_Smit-McPhee 
Youtube ID: 	Ngmd5dadQkc 
Video length: 	343.8 sec 
Set (V): 		dev 
 
Kodi_Smit-McPhee/Ngmd5dadQkc_0000001 15.2 24.1 
Kodi_Smit-McPhee/Ngmd5dadQkc_0000002 38.2 47.8 
Kodi_Smit-McPhee/Ngmd5dadQkc_0000003 48.3 55.1 
Kodi_Smit-McPhee/Ngmd5dadQkc_0000004 57.0 62.4 
Kodi_Smit-McPhee/Ngmd5dadQkc_0000005 63.5 79.4 
Kodi_Smit-McPhee/Ngmd5dadQkc_0000006 89.5 95.7 
Kodi_Smit-McPhee/Ngmd5dadQkc_0000007 95.9 109.4 
Kodi_Smit-McPhee/Ngmd5dadQkc_0000008 110.2 118.4 
Kodi_Smit-McPhee/Ngmd5dadQkc_0000009 134.3 151.7 
Kodi_Smit-McPhee/Ngmd5dadQkc_0000010 169.6 175.2 
Kodi_Smit-McPhee/Ngmd5dadQkc_0000011 176.6 183.8 
Kodi_Smit-McPhee/Ngmd5dadQkc_0000012 191.5 198.3 
Kodi_Smit-McPhee/Ngmd5dadQkc_0000013 211.4 217.4 
Kodi_Smit-McPhee/Ngmd5dadQkc_0000014 219.4 224.0 
Kodi_Smit-McPhee/Ngmd5dadQkc_0000015 238.3 248.9 
Kodi_Smit-McPhee/Ngmd5dadQkc_0000016 254.3 260.5 
Kodi_Smit-McPhee/Ngmd5dadQkc_0000017 264.8 269.1 
Kodi_Smit-McPhee/Ngmd5dadQkc_0000018 288.4 304.0 
Kodi_Smit-McPhee/Ngmd5dadQkc_0000019 306.0 311.9 
Kodi_Smit-McPhee/Ngmd5dadQkc_0000020 313.1 319.2 
