POI: 			Kodi_Smit-McPhee 
Youtube ID: 	NUZdfoqhB8o 
Video length: 	264.9 sec 
Set (V): 		dev 
 
Kodi_Smit-McPhee/NUZdfoqhB8o_0000001 21.4 26.3 
Kodi_Smit-McPhee/NUZdfoqhB8o_0000002 44.9 54.0 
Kodi_Smit-McPhee/NUZdfoqhB8o_0000003 64.7 68.9 
Kodi_Smit-McPhee/NUZdfoqhB8o_0000004 70.9 78.3 
Kodi_Smit-McPhee/NUZdfoqhB8o_0000005 86.4 90.8 
Kodi_Smit-McPhee/NUZdfoqhB8o_0000006 93.8 99.9 
Kodi_Smit-McPhee/NUZdfoqhB8o_0000007 110.6 115.1 
Kodi_Smit-McPhee/NUZdfoqhB8o_0000008 116.2 122.4 
Kodi_Smit-McPhee/NUZdfoqhB8o_0000009 133.6 139.4 
Kodi_Smit-McPhee/NUZdfoqhB8o_0000010 154.3 158.7 
Kodi_Smit-McPhee/NUZdfoqhB8o_0000011 163.6 167.8 
Kodi_Smit-McPhee/NUZdfoqhB8o_0000012 178.1 183.6 
Kodi_Smit-McPhee/NUZdfoqhB8o_0000013 195.8 201.0 
Kodi_Smit-McPhee/NUZdfoqhB8o_0000014 204.0 209.0 
Kodi_Smit-McPhee/NUZdfoqhB8o_0000015 221.8 230.6 
Kodi_Smit-McPhee/NUZdfoqhB8o_0000016 244.7 251.9 
