POI: 			Kodi_Smit-McPhee 
Youtube ID: 	1CAAn2ZVSkg 
Video length: 	352.4 sec 
Set (V): 		dev 
 
Kodi_Smit-McPhee/1CAAn2ZVSkg_0000001 11.6 15.8 
Kodi_Smit-McPhee/1CAAn2ZVSkg_0000002 21.8 31.4 
Kodi_Smit-McPhee/1CAAn2ZVSkg_0000003 41.3 51.6 
Kodi_Smit-McPhee/1CAAn2ZVSkg_0000004 52.5 59.0 
Kodi_Smit-McPhee/1CAAn2ZVSkg_0000005 61.8 66.5 
Kodi_Smit-McPhee/1CAAn2ZVSkg_0000006 68.0 78.7 
Kodi_Smit-McPhee/1CAAn2ZVSkg_0000007 93.1 99.6 
Kodi_Smit-McPhee/1CAAn2ZVSkg_0000008 102.7 112.9 
Kodi_Smit-McPhee/1CAAn2ZVSkg_0000009 116.5 122.2 
Kodi_Smit-McPhee/1CAAn2ZVSkg_0000010 138.2 155.7 
Kodi_Smit-McPhee/1CAAn2ZVSkg_0000011 173.7 179.8 
Kodi_Smit-McPhee/1CAAn2ZVSkg_0000012 180.8 187.8 
Kodi_Smit-McPhee/1CAAn2ZVSkg_0000013 195.1 202.4 
Kodi_Smit-McPhee/1CAAn2ZVSkg_0000014 215.6 221.5 
Kodi_Smit-McPhee/1CAAn2ZVSkg_0000015 223.4 228.1 
Kodi_Smit-McPhee/1CAAn2ZVSkg_0000016 244.2 250.8 
Kodi_Smit-McPhee/1CAAn2ZVSkg_0000017 258.0 264.4 
Kodi_Smit-McPhee/1CAAn2ZVSkg_0000018 293.0 308.2 
Kodi_Smit-McPhee/1CAAn2ZVSkg_0000019 309.3 316.9 
Kodi_Smit-McPhee/1CAAn2ZVSkg_0000020 317.2 323.2 
