POI: 			Gwendoline_Christie 
Youtube ID: 	ji6TNM6jSwU 
Video length: 	684.3 sec 
Set (V): 		dev 
 
Gwendoline_Christie/ji6TNM6jSwU_0000001 281.8 286.4 
Gwendoline_Christie/ji6TNM6jSwU_0000002 287.4 306.7 
Gwendoline_Christie/ji6TNM6jSwU_0000003 312.3 326.0 
Gwendoline_Christie/ji6TNM6jSwU_0000004 332.6 338.8 
Gwendoline_Christie/ji6TNM6jSwU_0000005 342.9 347.7 
Gwendoline_Christie/ji6TNM6jSwU_0000006 348.4 364.2 
Gwendoline_Christie/ji6TNM6jSwU_0000007 370.4 377.5 
Gwendoline_Christie/ji6TNM6jSwU_0000008 383.6 417.0 
Gwendoline_Christie/ji6TNM6jSwU_0000009 418.9 426.0 
Gwendoline_Christie/ji6TNM6jSwU_0000010 426.0 432.2 
Gwendoline_Christie/ji6TNM6jSwU_0000011 432.5 460.6 
Gwendoline_Christie/ji6TNM6jSwU_0000012 467.2 489.7 
Gwendoline_Christie/ji6TNM6jSwU_0000013 494.1 530.2 
Gwendoline_Christie/ji6TNM6jSwU_0000014 531.1 536.8 
Gwendoline_Christie/ji6TNM6jSwU_0000015 550.8 560.8 
Gwendoline_Christie/ji6TNM6jSwU_0000016 561.6 579.6 
Gwendoline_Christie/ji6TNM6jSwU_0000017 581.4 602.0 
Gwendoline_Christie/ji6TNM6jSwU_0000018 627.4 632.5 
Gwendoline_Christie/ji6TNM6jSwU_0000019 637.3 642.0 
Gwendoline_Christie/ji6TNM6jSwU_0000020 647.7 660.7 
Gwendoline_Christie/ji6TNM6jSwU_0000021 662.4 671.4 
