POI: 			Maria_Grazia_Cucinotta 
Youtube ID: 	TApxQZceS5o 
Video length: 	442.2 sec 
Set (V): 		dev 
 
Maria_Grazia_Cucinotta/TApxQZceS5o_0000001 74.4 80.2 
Maria_Grazia_Cucinotta/TApxQZceS5o_0000002 90.7 97.3 
Maria_Grazia_Cucinotta/TApxQZceS5o_0000003 114.1 120.2 
Maria_Grazia_Cucinotta/TApxQZceS5o_0000004 130.8 137.4 
Maria_Grazia_Cucinotta/TApxQZceS5o_0000005 153.8 161.9 
Maria_Grazia_Cucinotta/TApxQZceS5o_0000006 166.6 174.8 
Maria_Grazia_Cucinotta/TApxQZceS5o_0000007 211.5 217.2 
Maria_Grazia_Cucinotta/TApxQZceS5o_0000008 221.6 226.1 
Maria_Grazia_Cucinotta/TApxQZceS5o_0000009 226.5 230.8 
Maria_Grazia_Cucinotta/TApxQZceS5o_0000010 234.8 245.6 
Maria_Grazia_Cucinotta/TApxQZceS5o_0000011 249.3 259.0 
Maria_Grazia_Cucinotta/TApxQZceS5o_0000012 278.8 284.4 
Maria_Grazia_Cucinotta/TApxQZceS5o_0000013 284.8 291.2 
Maria_Grazia_Cucinotta/TApxQZceS5o_0000014 291.8 300.5 
Maria_Grazia_Cucinotta/TApxQZceS5o_0000015 355.1 362.2 
Maria_Grazia_Cucinotta/TApxQZceS5o_0000016 363.1 371.1 
Maria_Grazia_Cucinotta/TApxQZceS5o_0000017 379.4 387.8 
Maria_Grazia_Cucinotta/TApxQZceS5o_0000018 397.5 401.7 
Maria_Grazia_Cucinotta/TApxQZceS5o_0000019 416.3 421.8 
Maria_Grazia_Cucinotta/TApxQZceS5o_0000020 422.0 428.5 
