POI: 			Thandie_Newton 
Youtube ID: 	XgiGzJQOHwU 
Video length: 	464.2 sec 
Set (V): 		dev 
 
Thandie_Newton/XgiGzJQOHwU_0000001 13.0 20.7 
Thandie_Newton/XgiGzJQOHwU_0000002 24.8 38.2 
Thandie_Newton/XgiGzJQOHwU_0000003 149.9 157.7 
Thandie_Newton/XgiGzJQOHwU_0000004 158.0 176.6 
Thandie_Newton/XgiGzJQOHwU_0000005 191.1 200.1 
Thandie_Newton/XgiGzJQOHwU_0000006 200.2 204.8 
Thandie_Newton/XgiGzJQOHwU_0000007 205.4 210.7 
Thandie_Newton/XgiGzJQOHwU_0000008 210.9 215.3 
Thandie_Newton/XgiGzJQOHwU_0000009 216.6 226.7 
Thandie_Newton/XgiGzJQOHwU_0000010 246.9 251.8 
Thandie_Newton/XgiGzJQOHwU_0000011 238.0 243.7 
Thandie_Newton/XgiGzJQOHwU_0000012 274.7 282.2 
Thandie_Newton/XgiGzJQOHwU_0000013 283.2 288.4 
Thandie_Newton/XgiGzJQOHwU_0000014 289.4 295.2 
Thandie_Newton/XgiGzJQOHwU_0000015 307.7 312.3 
Thandie_Newton/XgiGzJQOHwU_0000016 320.1 328.0 
Thandie_Newton/XgiGzJQOHwU_0000017 360.7 365.4 
Thandie_Newton/XgiGzJQOHwU_0000018 382.2 387.2 
Thandie_Newton/XgiGzJQOHwU_0000019 392.1 397.2 
Thandie_Newton/XgiGzJQOHwU_0000020 398.2 405.2 
Thandie_Newton/XgiGzJQOHwU_0000021 406.6 412.5 
Thandie_Newton/XgiGzJQOHwU_0000022 414.6 419.2 
Thandie_Newton/XgiGzJQOHwU_0000023 419.7 424.5 
Thandie_Newton/XgiGzJQOHwU_0000024 425.1 429.9 
Thandie_Newton/XgiGzJQOHwU_0000025 434.2 440.6 
