POI: 			Howie_Mandel 
Youtube ID: 	Z4KFaQPgmdM 
Video length: 	3736.6 sec 
Set (V): 		dev 
 
Howie_Mandel/Z4KFaQPgmdM_0000001 373.0 378.2 
Howie_Mandel/Z4KFaQPgmdM_0000002 437.1 442.1 
Howie_Mandel/Z4KFaQPgmdM_0000003 443.7 450.1 
Howie_Mandel/Z4KFaQPgmdM_0000004 458.7 470.2 
Howie_Mandel/Z4KFaQPgmdM_0000005 538.0 542.1 
Howie_Mandel/Z4KFaQPgmdM_0000006 564.0 573.9 
Howie_Mandel/Z4KFaQPgmdM_0000007 578.8 588.2 
Howie_Mandel/Z4KFaQPgmdM_0000008 717.3 721.5 
Howie_Mandel/Z4KFaQPgmdM_0000009 753.8 761.4 
Howie_Mandel/Z4KFaQPgmdM_0000010 763.3 776.4 
Howie_Mandel/Z4KFaQPgmdM_0000011 784.0 790.7 
Howie_Mandel/Z4KFaQPgmdM_0000012 791.6 796.4 
Howie_Mandel/Z4KFaQPgmdM_0000013 906.8 913.3 
Howie_Mandel/Z4KFaQPgmdM_0000014 918.2 926.0 
Howie_Mandel/Z4KFaQPgmdM_0000015 977.4 981.4 
Howie_Mandel/Z4KFaQPgmdM_0000016 987.6 991.9 
Howie_Mandel/Z4KFaQPgmdM_0000017 1048.0 1052.6 
Howie_Mandel/Z4KFaQPgmdM_0000018 1086.8 1091.7 
Howie_Mandel/Z4KFaQPgmdM_0000019 1123.2 1128.1 
Howie_Mandel/Z4KFaQPgmdM_0000020 1128.6 1135.5 
Howie_Mandel/Z4KFaQPgmdM_0000021 1234.8 1238.9 
Howie_Mandel/Z4KFaQPgmdM_0000022 1239.8 1246.4 
Howie_Mandel/Z4KFaQPgmdM_0000023 1273.8 1280.5 
Howie_Mandel/Z4KFaQPgmdM_0000024 1283.0 1287.8 
Howie_Mandel/Z4KFaQPgmdM_0000025 1359.5 1365.5 
Howie_Mandel/Z4KFaQPgmdM_0000026 1426.4 1433.5 
Howie_Mandel/Z4KFaQPgmdM_0000027 1490.1 1496.2 
Howie_Mandel/Z4KFaQPgmdM_0000028 1520.3 1528.4 
Howie_Mandel/Z4KFaQPgmdM_0000029 1578.9 1590.2 
Howie_Mandel/Z4KFaQPgmdM_0000030 1598.0 1602.8 
Howie_Mandel/Z4KFaQPgmdM_0000031 1754.8 1759.6 
Howie_Mandel/Z4KFaQPgmdM_0000032 1828.1 1836.4 
Howie_Mandel/Z4KFaQPgmdM_0000033 1837.3 1845.3 
Howie_Mandel/Z4KFaQPgmdM_0000034 1913.2 1918.2 
Howie_Mandel/Z4KFaQPgmdM_0000035 2056.5 2064.8 
Howie_Mandel/Z4KFaQPgmdM_0000036 2070.7 2081.8 
Howie_Mandel/Z4KFaQPgmdM_0000037 2084.4 2089.2 
Howie_Mandel/Z4KFaQPgmdM_0000038 2101.8 2106.5 
Howie_Mandel/Z4KFaQPgmdM_0000039 2180.5 2186.1 
Howie_Mandel/Z4KFaQPgmdM_0000040 2193.4 2197.6 
Howie_Mandel/Z4KFaQPgmdM_0000041 2353.0 2360.1 
Howie_Mandel/Z4KFaQPgmdM_0000042 2504.0 2513.7 
Howie_Mandel/Z4KFaQPgmdM_0000043 2745.6 2750.8 
Howie_Mandel/Z4KFaQPgmdM_0000044 2863.3 2868.2 
Howie_Mandel/Z4KFaQPgmdM_0000045 2991.6 2997.3 
Howie_Mandel/Z4KFaQPgmdM_0000046 3006.7 3012.0 
Howie_Mandel/Z4KFaQPgmdM_0000047 3038.7 3043.8 
Howie_Mandel/Z4KFaQPgmdM_0000048 3431.2 3435.4 
