POI: 			Louis_C.K. 
Youtube ID: 	Z1v3ocLpCMA 
Video length: 	1754.7 sec 
Set (V): 		dev 
 
Louis_C.K./Z1v3ocLpCMA_0000001 81.6 86.4 
Louis_C.K./Z1v3ocLpCMA_0000002 87.5 91.6 
Louis_C.K./Z1v3ocLpCMA_0000003 104.4 110.4 
Louis_C.K./Z1v3ocLpCMA_0000004 117.4 122.8 
Louis_C.K./Z1v3ocLpCMA_0000005 139.3 148.4 
Louis_C.K./Z1v3ocLpCMA_0000006 168.6 174.5 
Louis_C.K./Z1v3ocLpCMA_0000007 197.5 202.8 
Louis_C.K./Z1v3ocLpCMA_0000008 229.0 241.8 
Louis_C.K./Z1v3ocLpCMA_0000009 250.6 254.7 
Louis_C.K./Z1v3ocLpCMA_0000010 257.3 261.6 
Louis_C.K./Z1v3ocLpCMA_0000011 291.9 301.4 
Louis_C.K./Z1v3ocLpCMA_0000012 313.8 339.1 
Louis_C.K./Z1v3ocLpCMA_0000013 371.7 382.0 
Louis_C.K./Z1v3ocLpCMA_0000014 383.8 389.1 
Louis_C.K./Z1v3ocLpCMA_0000015 407.6 411.6 
Louis_C.K./Z1v3ocLpCMA_0000016 424.7 433.2 
Louis_C.K./Z1v3ocLpCMA_0000017 440.0 444.2 
Louis_C.K./Z1v3ocLpCMA_0000018 444.8 451.1 
Louis_C.K./Z1v3ocLpCMA_0000019 452.2 456.2 
Louis_C.K./Z1v3ocLpCMA_0000020 456.9 472.4 
Louis_C.K./Z1v3ocLpCMA_0000021 479.5 484.3 
Louis_C.K./Z1v3ocLpCMA_0000022 520.1 529.6 
Louis_C.K./Z1v3ocLpCMA_0000023 534.4 545.3 
Louis_C.K./Z1v3ocLpCMA_0000024 545.1 549.2 
Louis_C.K./Z1v3ocLpCMA_0000025 557.7 561.9 
Louis_C.K./Z1v3ocLpCMA_0000026 582.3 588.2 
Louis_C.K./Z1v3ocLpCMA_0000027 589.2 594.3 
Louis_C.K./Z1v3ocLpCMA_0000028 625.2 637.2 
Louis_C.K./Z1v3ocLpCMA_0000029 646.2 650.8 
Louis_C.K./Z1v3ocLpCMA_0000030 653.8 663.0 
Louis_C.K./Z1v3ocLpCMA_0000031 663.2 683.5 
Louis_C.K./Z1v3ocLpCMA_0000032 686.5 691.0 
Louis_C.K./Z1v3ocLpCMA_0000033 698.2 702.8 
Louis_C.K./Z1v3ocLpCMA_0000034 713.0 721.3 
Louis_C.K./Z1v3ocLpCMA_0000035 744.8 750.7 
Louis_C.K./Z1v3ocLpCMA_0000036 752.1 770.6 
Louis_C.K./Z1v3ocLpCMA_0000037 793.9 800.0 
Louis_C.K./Z1v3ocLpCMA_0000038 800.4 817.3 
Louis_C.K./Z1v3ocLpCMA_0000039 822.6 830.8 
Louis_C.K./Z1v3ocLpCMA_0000040 836.2 841.8 
Louis_C.K./Z1v3ocLpCMA_0000041 844.8 852.1 
Louis_C.K./Z1v3ocLpCMA_0000042 857.4 862.5 
Louis_C.K./Z1v3ocLpCMA_0000043 867.0 891.5 
Louis_C.K./Z1v3ocLpCMA_0000044 893.2 897.1 
Louis_C.K./Z1v3ocLpCMA_0000045 916.9 927.3 
Louis_C.K./Z1v3ocLpCMA_0000046 928.1 933.8 
Louis_C.K./Z1v3ocLpCMA_0000047 934.1 941.0 
Louis_C.K./Z1v3ocLpCMA_0000048 967.8 976.6 
Louis_C.K./Z1v3ocLpCMA_0000049 993.3 997.4 
Louis_C.K./Z1v3ocLpCMA_0000050 999.5 1005.2 
Louis_C.K./Z1v3ocLpCMA_0000051 1007.3 1013.6 
Louis_C.K./Z1v3ocLpCMA_0000052 1031.5 1035.6 
Louis_C.K./Z1v3ocLpCMA_0000053 1037.8 1043.3 
Louis_C.K./Z1v3ocLpCMA_0000054 1046.3 1050.4 
Louis_C.K./Z1v3ocLpCMA_0000055 1052.8 1061.5 
Louis_C.K./Z1v3ocLpCMA_0000056 1064.2 1070.6 
Louis_C.K./Z1v3ocLpCMA_0000057 1071.8 1081.2 
Louis_C.K./Z1v3ocLpCMA_0000058 1093.7 1098.9 
Louis_C.K./Z1v3ocLpCMA_0000059 1103.8 1109.2 
Louis_C.K./Z1v3ocLpCMA_0000060 1112.2 1118.2 
Louis_C.K./Z1v3ocLpCMA_0000061 1119.3 1125.4 
Louis_C.K./Z1v3ocLpCMA_0000062 1150.2 1158.1 
Louis_C.K./Z1v3ocLpCMA_0000063 1212.1 1217.7 
Louis_C.K./Z1v3ocLpCMA_0000064 1259.3 1265.5 
Louis_C.K./Z1v3ocLpCMA_0000065 1303.8 1310.3 
Louis_C.K./Z1v3ocLpCMA_0000066 1291.8 1297.2 
Louis_C.K./Z1v3ocLpCMA_0000067 1410.9 1419.2 
Louis_C.K./Z1v3ocLpCMA_0000068 1430.4 1435.8 
Louis_C.K./Z1v3ocLpCMA_0000069 1436.4 1447.0 
Louis_C.K./Z1v3ocLpCMA_0000070 1447.5 1454.7 
Louis_C.K./Z1v3ocLpCMA_0000071 1489.3 1495.7 
Louis_C.K./Z1v3ocLpCMA_0000072 1497.9 1503.8 
Louis_C.K./Z1v3ocLpCMA_0000073 1517.6 1524.2 
Louis_C.K./Z1v3ocLpCMA_0000074 1547.5 1555.2 
Louis_C.K./Z1v3ocLpCMA_0000075 1562.7 1567.3 
Louis_C.K./Z1v3ocLpCMA_0000076 1676.6 1681.6 
Louis_C.K./Z1v3ocLpCMA_0000077 1693.9 1700.6 
Louis_C.K./Z1v3ocLpCMA_0000078 1701.8 1706.4 
Louis_C.K./Z1v3ocLpCMA_0000079 1710.9 1727.1 
Louis_C.K./Z1v3ocLpCMA_0000080 1729.1 1736.1 
Louis_C.K./Z1v3ocLpCMA_0000081 1742.3 1747.5 
