POI: 			Louis_C.K. 
Youtube ID: 	AYNe4DN8doM 
Video length: 	899.0 sec 
Set (V): 		dev 
 
Louis_C.K./AYNe4DN8doM_0000001 17.3 27.2 
Louis_C.K./AYNe4DN8doM_0000002 40.2 44.4 
Louis_C.K./AYNe4DN8doM_0000003 57.6 70.8 
Louis_C.K./AYNe4DN8doM_0000004 82.6 87.6 
Louis_C.K./AYNe4DN8doM_0000005 87.9 93.2 
Louis_C.K./AYNe4DN8doM_0000006 103.3 122.1 
Louis_C.K./AYNe4DN8doM_0000007 139.2 162.9 
Louis_C.K./AYNe4DN8doM_0000008 171.8 176.7 
Louis_C.K./AYNe4DN8doM_0000009 181.7 186.5 
Louis_C.K./AYNe4DN8doM_0000010 189.6 197.5 
Louis_C.K./AYNe4DN8doM_0000011 223.5 232.8 
Louis_C.K./AYNe4DN8doM_0000012 238.1 249.4 
Louis_C.K./AYNe4DN8doM_0000013 266.4 274.5 
Louis_C.K./AYNe4DN8doM_0000014 278.0 285.2 
Louis_C.K./AYNe4DN8doM_0000015 300.8 307.3 
Louis_C.K./AYNe4DN8doM_0000016 313.5 319.7 
Louis_C.K./AYNe4DN8doM_0000017 323.6 331.5 
Louis_C.K./AYNe4DN8doM_0000018 343.1 353.0 
Louis_C.K./AYNe4DN8doM_0000019 393.4 400.7 
Louis_C.K./AYNe4DN8doM_0000020 404.4 415.6 
Louis_C.K./AYNe4DN8doM_0000021 445.5 459.1 
Louis_C.K./AYNe4DN8doM_0000022 501.6 509.8 
Louis_C.K./AYNe4DN8doM_0000023 528.7 538.6 
Louis_C.K./AYNe4DN8doM_0000024 554.3 560.3 
Louis_C.K./AYNe4DN8doM_0000025 569.3 576.8 
Louis_C.K./AYNe4DN8doM_0000026 588.0 595.4 
Louis_C.K./AYNe4DN8doM_0000027 617.0 621.4 
Louis_C.K./AYNe4DN8doM_0000028 619.3 624.6 
Louis_C.K./AYNe4DN8doM_0000029 649.2 653.7 
Louis_C.K./AYNe4DN8doM_0000030 681.4 691.7 
Louis_C.K./AYNe4DN8doM_0000031 719.6 727.1 
Louis_C.K./AYNe4DN8doM_0000032 727.7 731.7 
Louis_C.K./AYNe4DN8doM_0000033 734.8 739.2 
Louis_C.K./AYNe4DN8doM_0000034 745.7 750.5 
Louis_C.K./AYNe4DN8doM_0000035 750.7 756.4 
Louis_C.K./AYNe4DN8doM_0000036 777.7 781.8 
Louis_C.K./AYNe4DN8doM_0000037 783.7 792.8 
Louis_C.K./AYNe4DN8doM_0000038 809.0 819.3 
Louis_C.K./AYNe4DN8doM_0000039 826.2 837.6 
Louis_C.K./AYNe4DN8doM_0000040 848.9 854.0 
Louis_C.K./AYNe4DN8doM_0000041 866.3 870.7 
Louis_C.K./AYNe4DN8doM_0000042 887.0 891.7 
