POI: 			Louis_C.K. 
Youtube ID: 	VFyPhJmxazI 
Video length: 	2226.3 sec 
Set (V): 		dev 
 
Louis_C.K./VFyPhJmxazI_0000001 48.7 53.5 
Louis_C.K./VFyPhJmxazI_0000002 58.9 64.4 
Louis_C.K./VFyPhJmxazI_0000003 82.6 86.8 
Louis_C.K./VFyPhJmxazI_0000004 121.1 127.8 
Louis_C.K./VFyPhJmxazI_0000005 130.1 136.4 
Louis_C.K./VFyPhJmxazI_0000006 142.8 146.8 
Louis_C.K./VFyPhJmxazI_0000007 186.8 203.4 
Louis_C.K./VFyPhJmxazI_0000008 219.2 223.7 
Louis_C.K./VFyPhJmxazI_0000009 227.2 237.6 
Louis_C.K./VFyPhJmxazI_0000010 248.2 255.0 
Louis_C.K./VFyPhJmxazI_0000011 295.2 299.2 
Louis_C.K./VFyPhJmxazI_0000012 308.6 314.8 
Louis_C.K./VFyPhJmxazI_0000013 418.5 423.9 
Louis_C.K./VFyPhJmxazI_0000014 441.0 449.2 
Louis_C.K./VFyPhJmxazI_0000015 474.0 482.6 
Louis_C.K./VFyPhJmxazI_0000016 489.2 494.9 
Louis_C.K./VFyPhJmxazI_0000017 502.6 507.9 
Louis_C.K./VFyPhJmxazI_0000018 526.6 535.6 
Louis_C.K./VFyPhJmxazI_0000019 538.7 544.5 
Louis_C.K./VFyPhJmxazI_0000020 560.5 565.0 
Louis_C.K./VFyPhJmxazI_0000021 584.5 588.6 
Louis_C.K./VFyPhJmxazI_0000022 594.3 607.6 
Louis_C.K./VFyPhJmxazI_0000023 608.3 613.4 
Louis_C.K./VFyPhJmxazI_0000024 619.4 626.1 
Louis_C.K./VFyPhJmxazI_0000025 627.0 631.0 
Louis_C.K./VFyPhJmxazI_0000026 634.4 641.5 
Louis_C.K./VFyPhJmxazI_0000027 698.2 702.5 
Louis_C.K./VFyPhJmxazI_0000028 708.7 712.6 
Louis_C.K./VFyPhJmxazI_0000029 810.8 815.5 
Louis_C.K./VFyPhJmxazI_0000030 848.2 857.9 
Louis_C.K./VFyPhJmxazI_0000031 858.4 863.9 
Louis_C.K./VFyPhJmxazI_0000032 870.9 876.2 
Louis_C.K./VFyPhJmxazI_0000033 1006.3 1011.2 
Louis_C.K./VFyPhJmxazI_0000034 1024.5 1031.7 
Louis_C.K./VFyPhJmxazI_0000035 1033.7 1037.9 
Louis_C.K./VFyPhJmxazI_0000036 1043.5 1047.7 
Louis_C.K./VFyPhJmxazI_0000037 1064.6 1071.3 
Louis_C.K./VFyPhJmxazI_0000038 1075.9 1085.0 
Louis_C.K./VFyPhJmxazI_0000039 1212.7 1218.8 
Louis_C.K./VFyPhJmxazI_0000040 1224.5 1228.9 
Louis_C.K./VFyPhJmxazI_0000041 1233.4 1241.6 
Louis_C.K./VFyPhJmxazI_0000042 1242.3 1248.6 
Louis_C.K./VFyPhJmxazI_0000043 1251.6 1257.7 
Louis_C.K./VFyPhJmxazI_0000044 1268.3 1276.8 
Louis_C.K./VFyPhJmxazI_0000045 1283.3 1287.6 
Louis_C.K./VFyPhJmxazI_0000046 1296.2 1301.9 
Louis_C.K./VFyPhJmxazI_0000047 1319.2 1335.0 
Louis_C.K./VFyPhJmxazI_0000048 1339.4 1344.6 
Louis_C.K./VFyPhJmxazI_0000049 1364.0 1370.7 
Louis_C.K./VFyPhJmxazI_0000050 1376.5 1385.2 
Louis_C.K./VFyPhJmxazI_0000051 1395.8 1405.5 
Louis_C.K./VFyPhJmxazI_0000052 1416.7 1426.6 
Louis_C.K./VFyPhJmxazI_0000053 1436.1 1441.5 
Louis_C.K./VFyPhJmxazI_0000054 1456.9 1464.4 
Louis_C.K./VFyPhJmxazI_0000055 1483.6 1489.9 
Louis_C.K./VFyPhJmxazI_0000056 1499.0 1505.5 
Louis_C.K./VFyPhJmxazI_0000057 1520.8 1526.0 
Louis_C.K./VFyPhJmxazI_0000058 1530.0 1534.4 
Louis_C.K./VFyPhJmxazI_0000059 1553.2 1559.5 
Louis_C.K./VFyPhJmxazI_0000060 1586.4 1592.5 
Louis_C.K./VFyPhJmxazI_0000061 1596.8 1600.9 
Louis_C.K./VFyPhJmxazI_0000062 1634.4 1639.8 
Louis_C.K./VFyPhJmxazI_0000063 1707.8 1717.5 
Louis_C.K./VFyPhJmxazI_0000064 1741.2 1746.4 
Louis_C.K./VFyPhJmxazI_0000065 1748.5 1752.5 
Louis_C.K./VFyPhJmxazI_0000066 1792.8 1802.7 
Louis_C.K./VFyPhJmxazI_0000067 1805.7 1813.3 
Louis_C.K./VFyPhJmxazI_0000068 1814.2 1819.7 
Louis_C.K./VFyPhJmxazI_0000069 1840.6 1846.5 
Louis_C.K./VFyPhJmxazI_0000070 1861.9 1868.8 
Louis_C.K./VFyPhJmxazI_0000071 1895.6 1901.2 
Louis_C.K./VFyPhJmxazI_0000072 1928.1 1933.3 
Louis_C.K./VFyPhJmxazI_0000073 1958.7 1966.3 
Louis_C.K./VFyPhJmxazI_0000074 2000.2 2004.6 
Louis_C.K./VFyPhJmxazI_0000075 2014.2 2025.8 
Louis_C.K./VFyPhJmxazI_0000076 2028.5 2041.4 
Louis_C.K./VFyPhJmxazI_0000077 2050.6 2058.8 
Louis_C.K./VFyPhJmxazI_0000078 2061.2 2069.2 
Louis_C.K./VFyPhJmxazI_0000079 2074.6 2082.2 
Louis_C.K./VFyPhJmxazI_0000080 2095.9 2105.6 
Louis_C.K./VFyPhJmxazI_0000081 2113.5 2117.8 
Louis_C.K./VFyPhJmxazI_0000082 2146.6 2152.5 
Louis_C.K./VFyPhJmxazI_0000083 2173.5 2178.3 
Louis_C.K./VFyPhJmxazI_0000084 2189.4 2196.6 
Louis_C.K./VFyPhJmxazI_0000085 2202.9 2209.2 
