POI: 			Jennifer_Saunders 
Youtube ID: 	Jb_HWf5_2E0 
Video length: 	2781.2 sec 
Set (V): 		dev 
 
Jennifer_Saunders/Jb_HWf5_2E0_0000001 328.3 332.4 
Jennifer_Saunders/Jb_HWf5_2E0_0000002 343.2 349.6 
Jennifer_Saunders/Jb_HWf5_2E0_0000003 519.9 527.2 
Jennifer_Saunders/Jb_HWf5_2E0_0000004 779.2 784.9 
Jennifer_Saunders/Jb_HWf5_2E0_0000005 779.3 783.3 
Jennifer_Saunders/Jb_HWf5_2E0_0000006 793.6 797.8 
Jennifer_Saunders/Jb_HWf5_2E0_0000007 891.5 897.1 
Jennifer_Saunders/Jb_HWf5_2E0_0000008 913.5 918.0 
Jennifer_Saunders/Jb_HWf5_2E0_0000009 929.2 936.2 
Jennifer_Saunders/Jb_HWf5_2E0_0000010 951.5 959.0 
Jennifer_Saunders/Jb_HWf5_2E0_0000011 965.6 971.5 
Jennifer_Saunders/Jb_HWf5_2E0_0000012 1232.6 1239.4 
Jennifer_Saunders/Jb_HWf5_2E0_0000013 1260.2 1265.6 
Jennifer_Saunders/Jb_HWf5_2E0_0000014 1415.8 1425.6 
Jennifer_Saunders/Jb_HWf5_2E0_0000015 1430.0 1435.6 
Jennifer_Saunders/Jb_HWf5_2E0_0000016 1449.7 1454.0 
Jennifer_Saunders/Jb_HWf5_2E0_0000017 1524.2 1528.2 
Jennifer_Saunders/Jb_HWf5_2E0_0000018 1529.2 1533.2 
Jennifer_Saunders/Jb_HWf5_2E0_0000019 1538.9 1542.9 
Jennifer_Saunders/Jb_HWf5_2E0_0000020 1552.1 1563.1 
Jennifer_Saunders/Jb_HWf5_2E0_0000021 1574.6 1581.2 
Jennifer_Saunders/Jb_HWf5_2E0_0000022 1613.9 1618.7 
Jennifer_Saunders/Jb_HWf5_2E0_0000023 1662.8 1670.4 
Jennifer_Saunders/Jb_HWf5_2E0_0000024 1671.6 1677.5 
Jennifer_Saunders/Jb_HWf5_2E0_0000025 1692.5 1700.2 
Jennifer_Saunders/Jb_HWf5_2E0_0000026 1703.0 1708.8 
Jennifer_Saunders/Jb_HWf5_2E0_0000027 1747.8 1756.7 
Jennifer_Saunders/Jb_HWf5_2E0_0000028 1768.0 1772.0 
Jennifer_Saunders/Jb_HWf5_2E0_0000029 1774.8 1782.4 
Jennifer_Saunders/Jb_HWf5_2E0_0000030 1968.8 1976.2 
Jennifer_Saunders/Jb_HWf5_2E0_0000031 1976.4 1989.0 
Jennifer_Saunders/Jb_HWf5_2E0_0000032 1992.2 1999.6 
Jennifer_Saunders/Jb_HWf5_2E0_0000033 2017.4 2022.4 
Jennifer_Saunders/Jb_HWf5_2E0_0000034 2078.6 2087.9 
Jennifer_Saunders/Jb_HWf5_2E0_0000035 2093.4 2105.2 
Jennifer_Saunders/Jb_HWf5_2E0_0000036 2127.6 2135.3 
Jennifer_Saunders/Jb_HWf5_2E0_0000037 2195.4 2206.3 
Jennifer_Saunders/Jb_HWf5_2E0_0000038 2272.5 2277.5 
Jennifer_Saunders/Jb_HWf5_2E0_0000039 2308.9 2314.0 
Jennifer_Saunders/Jb_HWf5_2E0_0000040 2314.9 2324.0 
Jennifer_Saunders/Jb_HWf5_2E0_0000041 2325.0 2333.4 
Jennifer_Saunders/Jb_HWf5_2E0_0000042 2353.7 2359.2 
Jennifer_Saunders/Jb_HWf5_2E0_0000043 2387.5 2394.4 
Jennifer_Saunders/Jb_HWf5_2E0_0000044 2433.2 2438.0 
Jennifer_Saunders/Jb_HWf5_2E0_0000045 2438.2 2443.7 
Jennifer_Saunders/Jb_HWf5_2E0_0000046 2448.0 2452.4 
Jennifer_Saunders/Jb_HWf5_2E0_0000047 2454.0 2459.8 
Jennifer_Saunders/Jb_HWf5_2E0_0000048 2466.3 2471.3 
Jennifer_Saunders/Jb_HWf5_2E0_0000049 2474.1 2483.6 
Jennifer_Saunders/Jb_HWf5_2E0_0000050 2485.7 2493.7 
Jennifer_Saunders/Jb_HWf5_2E0_0000051 2495.6 2502.8 
Jennifer_Saunders/Jb_HWf5_2E0_0000052 2564.6 2571.4 
Jennifer_Saunders/Jb_HWf5_2E0_0000053 2572.8 2577.0 
Jennifer_Saunders/Jb_HWf5_2E0_0000054 2594.4 2600.2 
Jennifer_Saunders/Jb_HWf5_2E0_0000055 2608.8 2613.9 
Jennifer_Saunders/Jb_HWf5_2E0_0000056 2617.6 2628.2 
Jennifer_Saunders/Jb_HWf5_2E0_0000057 2639.4 2644.2 
