POI: 			Bradley_Steven_Perry 
Youtube ID: 	WhGVQSUE1-Q 
Video length: 	261.3 sec 
Set (V): 		dev 
 
Bradley_Steven_Perry/WhGVQSUE1-Q_0000001 03.6 09.2 
Bradley_Steven_Perry/WhGVQSUE1-Q_0000002 08.0 14.0 
Bradley_Steven_Perry/WhGVQSUE1-Q_0000003 21.4 27.3 
Bradley_Steven_Perry/WhGVQSUE1-Q_0000004 48.1 52.4 
Bradley_Steven_Perry/WhGVQSUE1-Q_0000005 54.2 60.3 
Bradley_Steven_Perry/WhGVQSUE1-Q_0000006 60.5 65.7 
Bradley_Steven_Perry/WhGVQSUE1-Q_0000007 68.4 78.4 
Bradley_Steven_Perry/WhGVQSUE1-Q_0000008 79.8 95.4 
Bradley_Steven_Perry/WhGVQSUE1-Q_0000009 108.9 126.3 
Bradley_Steven_Perry/WhGVQSUE1-Q_0000010 136.3 142.8 
Bradley_Steven_Perry/WhGVQSUE1-Q_0000011 145.2 149.5 
Bradley_Steven_Perry/WhGVQSUE1-Q_0000012 155.4 166.2 
Bradley_Steven_Perry/WhGVQSUE1-Q_0000013 174.9 184.0 
Bradley_Steven_Perry/WhGVQSUE1-Q_0000014 191.3 198.6 
Bradley_Steven_Perry/WhGVQSUE1-Q_0000015 211.5 216.7 
Bradley_Steven_Perry/WhGVQSUE1-Q_0000016 225.4 229.8 
Bradley_Steven_Perry/WhGVQSUE1-Q_0000017 191.4 199.0 
Bradley_Steven_Perry/WhGVQSUE1-Q_0000018 235.7 242.2 
Bradley_Steven_Perry/WhGVQSUE1-Q_0000019 251.4 258.9 
