POI: 			John_Corbett 
Youtube ID: 	SJmWTIeXE8I 
Video length: 	717.0 sec 
Set (V): 		dev 
 
John_Corbett/SJmWTIeXE8I_0000001 01.3 07.9 
John_Corbett/SJmWTIeXE8I_0000002 10.8 18.6 
John_Corbett/SJmWTIeXE8I_0000003 22.8 36.2 
John_Corbett/SJmWTIeXE8I_0000004 37.2 43.5 
John_Corbett/SJmWTIeXE8I_0000005 46.2 60.5 
John_Corbett/SJmWTIeXE8I_0000006 73.5 81.0 
John_Corbett/SJmWTIeXE8I_0000007 87.8 93.0 
John_Corbett/SJmWTIeXE8I_0000008 93.5 97.5 
John_Corbett/SJmWTIeXE8I_0000009 97.7 111.0 
John_Corbett/SJmWTIeXE8I_0000010 116.6 126.5 
John_Corbett/SJmWTIeXE8I_0000011 109.8 114.0 
John_Corbett/SJmWTIeXE8I_0000012 142.6 147.3 
John_Corbett/SJmWTIeXE8I_0000013 151.7 156.4 
John_Corbett/SJmWTIeXE8I_0000014 156.8 162.7 
John_Corbett/SJmWTIeXE8I_0000015 163.7 168.2 
John_Corbett/SJmWTIeXE8I_0000016 173.9 186.3 
John_Corbett/SJmWTIeXE8I_0000017 197.4 203.0 
John_Corbett/SJmWTIeXE8I_0000018 223.7 230.2 
John_Corbett/SJmWTIeXE8I_0000019 257.7 261.8 
John_Corbett/SJmWTIeXE8I_0000020 263.0 273.0 
John_Corbett/SJmWTIeXE8I_0000021 279.9 295.6 
John_Corbett/SJmWTIeXE8I_0000022 313.1 320.8 
John_Corbett/SJmWTIeXE8I_0000023 326.1 341.8 
John_Corbett/SJmWTIeXE8I_0000024 354.4 362.9 
John_Corbett/SJmWTIeXE8I_0000025 384.8 413.0 
John_Corbett/SJmWTIeXE8I_0000026 417.6 425.7 
John_Corbett/SJmWTIeXE8I_0000027 368.4 373.2 
John_Corbett/SJmWTIeXE8I_0000028 427.5 439.6 
John_Corbett/SJmWTIeXE8I_0000029 455.8 460.0 
John_Corbett/SJmWTIeXE8I_0000030 460.4 467.6 
John_Corbett/SJmWTIeXE8I_0000031 468.3 476.4 
John_Corbett/SJmWTIeXE8I_0000032 478.6 483.2 
John_Corbett/SJmWTIeXE8I_0000033 496.3 522.1 
John_Corbett/SJmWTIeXE8I_0000034 538.7 547.7 
John_Corbett/SJmWTIeXE8I_0000035 548.7 553.3 
John_Corbett/SJmWTIeXE8I_0000036 554.2 562.5 
John_Corbett/SJmWTIeXE8I_0000037 563.9 568.6 
John_Corbett/SJmWTIeXE8I_0000038 570.1 576.9 
John_Corbett/SJmWTIeXE8I_0000039 577.4 582.3 
John_Corbett/SJmWTIeXE8I_0000040 598.7 603.0 
John_Corbett/SJmWTIeXE8I_0000041 619.3 627.4 
John_Corbett/SJmWTIeXE8I_0000042 629.6 643.0 
John_Corbett/SJmWTIeXE8I_0000043 647.7 655.2 
John_Corbett/SJmWTIeXE8I_0000044 670.0 676.6 
John_Corbett/SJmWTIeXE8I_0000045 676.9 684.3 
John_Corbett/SJmWTIeXE8I_0000046 685.2 697.4 
John_Corbett/SJmWTIeXE8I_0000047 698.9 705.2 
John_Corbett/SJmWTIeXE8I_0000048 709.1 715.6 
