POI: 			John_Corbett 
Youtube ID: 	qkZw1H141WU 
Video length: 	305.8 sec 
Set (V): 		dev 
 
John_Corbett/qkZw1H141WU_0000001 21.4 26.4 
John_Corbett/qkZw1H141WU_0000002 26.5 31.2 
John_Corbett/qkZw1H141WU_0000003 32.0 47.4 
John_Corbett/qkZw1H141WU_0000004 54.1 61.9 
John_Corbett/qkZw1H141WU_0000005 63.4 72.1 
John_Corbett/qkZw1H141WU_0000006 88.1 93.6 
John_Corbett/qkZw1H141WU_0000007 94.2 108.3 
John_Corbett/qkZw1H141WU_0000008 109.1 113.0 
John_Corbett/qkZw1H141WU_0000009 118.0 124.5 
John_Corbett/qkZw1H141WU_0000010 154.9 160.4 
John_Corbett/qkZw1H141WU_0000011 130.4 138.7 
John_Corbett/qkZw1H141WU_0000012 171.2 176.8 
John_Corbett/qkZw1H141WU_0000013 178.3 187.1 
John_Corbett/qkZw1H141WU_0000014 187.5 199.0 
John_Corbett/qkZw1H141WU_0000015 200.2 212.2 
John_Corbett/qkZw1H141WU_0000016 214.0 223.3 
John_Corbett/qkZw1H141WU_0000017 231.4 247.4 
