POI: 			Marilu_Henner 
Youtube ID: 	SY8uvIAIT4E 
Video length: 	2986.5 sec 
Set (V): 		dev 
 
Marilu_Henner/SY8uvIAIT4E_0000001 116.8 122.2 
Marilu_Henner/SY8uvIAIT4E_0000002 160.7 167.2 
Marilu_Henner/SY8uvIAIT4E_0000003 172.8 179.8 
Marilu_Henner/SY8uvIAIT4E_0000004 185.9 190.5 
Marilu_Henner/SY8uvIAIT4E_0000005 213.4 217.5 
Marilu_Henner/SY8uvIAIT4E_0000006 223.8 229.7 
Marilu_Henner/SY8uvIAIT4E_0000007 232.5 237.8 
Marilu_Henner/SY8uvIAIT4E_0000008 238.4 245.5 
Marilu_Henner/SY8uvIAIT4E_0000009 259.4 268.0 
Marilu_Henner/SY8uvIAIT4E_0000010 268.4 280.4 
Marilu_Henner/SY8uvIAIT4E_0000011 312.9 319.0 
Marilu_Henner/SY8uvIAIT4E_0000012 329.3 337.6 
Marilu_Henner/SY8uvIAIT4E_0000013 392.1 396.3 
Marilu_Henner/SY8uvIAIT4E_0000014 434.0 442.1 
Marilu_Henner/SY8uvIAIT4E_0000015 497.7 505.8 
Marilu_Henner/SY8uvIAIT4E_0000016 517.0 531.7 
Marilu_Henner/SY8uvIAIT4E_0000017 533.8 558.9 
Marilu_Henner/SY8uvIAIT4E_0000018 578.1 585.2 
Marilu_Henner/SY8uvIAIT4E_0000019 610.6 616.2 
Marilu_Henner/SY8uvIAIT4E_0000020 659.0 665.0 
Marilu_Henner/SY8uvIAIT4E_0000021 665.6 671.7 
Marilu_Henner/SY8uvIAIT4E_0000022 746.0 750.7 
Marilu_Henner/SY8uvIAIT4E_0000023 752.7 761.4 
Marilu_Henner/SY8uvIAIT4E_0000024 777.0 782.1 
Marilu_Henner/SY8uvIAIT4E_0000025 830.2 834.4 
Marilu_Henner/SY8uvIAIT4E_0000026 858.9 864.4 
Marilu_Henner/SY8uvIAIT4E_0000027 866.6 873.4 
Marilu_Henner/SY8uvIAIT4E_0000028 877.8 885.7 
Marilu_Henner/SY8uvIAIT4E_0000029 886.1 891.4 
Marilu_Henner/SY8uvIAIT4E_0000030 880.4 885.7 
Marilu_Henner/SY8uvIAIT4E_0000031 886.1 891.8 
Marilu_Henner/SY8uvIAIT4E_0000032 917.2 923.4 
Marilu_Henner/SY8uvIAIT4E_0000033 926.3 930.6 
Marilu_Henner/SY8uvIAIT4E_0000034 969.8 978.3 
Marilu_Henner/SY8uvIAIT4E_0000035 1139.6 1145.7 
Marilu_Henner/SY8uvIAIT4E_0000036 1146.7 1152.3 
Marilu_Henner/SY8uvIAIT4E_0000037 1152.9 1162.8 
Marilu_Henner/SY8uvIAIT4E_0000038 1283.4 1287.5 
Marilu_Henner/SY8uvIAIT4E_0000039 1292.8 1300.7 
Marilu_Henner/SY8uvIAIT4E_0000040 1336.6 1350.6 
Marilu_Henner/SY8uvIAIT4E_0000041 1350.8 1355.1 
Marilu_Henner/SY8uvIAIT4E_0000042 1434.7 1440.7 
Marilu_Henner/SY8uvIAIT4E_0000043 1538.0 1552.4 
Marilu_Henner/SY8uvIAIT4E_0000044 1564.1 1569.8 
Marilu_Henner/SY8uvIAIT4E_0000045 1571.9 1578.2 
Marilu_Henner/SY8uvIAIT4E_0000046 1600.9 1606.1 
Marilu_Henner/SY8uvIAIT4E_0000047 1606.6 1630.5 
Marilu_Henner/SY8uvIAIT4E_0000048 1632.9 1646.5 
Marilu_Henner/SY8uvIAIT4E_0000049 1649.0 1656.2 
Marilu_Henner/SY8uvIAIT4E_0000050 1760.9 1766.2 
Marilu_Henner/SY8uvIAIT4E_0000051 1771.4 1777.7 
Marilu_Henner/SY8uvIAIT4E_0000052 1780.0 1785.0 
Marilu_Henner/SY8uvIAIT4E_0000053 1812.3 1817.0 
Marilu_Henner/SY8uvIAIT4E_0000054 1819.9 1824.7 
Marilu_Henner/SY8uvIAIT4E_0000055 1827.9 1832.0 
Marilu_Henner/SY8uvIAIT4E_0000056 1839.2 1846.4 
Marilu_Henner/SY8uvIAIT4E_0000057 1853.5 1860.8 
Marilu_Henner/SY8uvIAIT4E_0000058 1861.5 1868.0 
Marilu_Henner/SY8uvIAIT4E_0000059 1868.6 1874.0 
Marilu_Henner/SY8uvIAIT4E_0000060 1876.0 1883.2 
Marilu_Henner/SY8uvIAIT4E_0000061 1890.8 1897.0 
Marilu_Henner/SY8uvIAIT4E_0000062 1897.4 1903.5 
Marilu_Henner/SY8uvIAIT4E_0000063 1905.7 1916.1 
Marilu_Henner/SY8uvIAIT4E_0000064 1965.5 1972.4 
Marilu_Henner/SY8uvIAIT4E_0000065 1978.8 1986.2 
Marilu_Henner/SY8uvIAIT4E_0000066 2010.5 2019.6 
Marilu_Henner/SY8uvIAIT4E_0000067 2023.6 2031.1 
Marilu_Henner/SY8uvIAIT4E_0000068 2537.4 2542.4 
Marilu_Henner/SY8uvIAIT4E_0000069 2543.1 2553.0 
Marilu_Henner/SY8uvIAIT4E_0000070 2560.6 2589.6 
Marilu_Henner/SY8uvIAIT4E_0000071 2590.0 2595.1 
Marilu_Henner/SY8uvIAIT4E_0000072 2597.2 2604.6 
Marilu_Henner/SY8uvIAIT4E_0000073 2612.8 2628.6 
Marilu_Henner/SY8uvIAIT4E_0000074 2770.3 2786.3 
Marilu_Henner/SY8uvIAIT4E_0000075 2793.4 2797.9 
