POI: 			Marilu_Henner 
Youtube ID: 	3kG8bWqD8o8 
Video length: 	427.4 sec 
Set (V): 		dev 
 
Marilu_Henner/3kG8bWqD8o8_0000001 06.6 15.4 
Marilu_Henner/3kG8bWqD8o8_0000002 15.8 21.1 
Marilu_Henner/3kG8bWqD8o8_0000003 24.6 29.3 
Marilu_Henner/3kG8bWqD8o8_0000004 36.4 52.9 
Marilu_Henner/3kG8bWqD8o8_0000005 59.8 81.0 
Marilu_Henner/3kG8bWqD8o8_0000006 88.1 137.4 
Marilu_Henner/3kG8bWqD8o8_0000007 139.3 163.8 
Marilu_Henner/3kG8bWqD8o8_0000008 165.8 202.3 
Marilu_Henner/3kG8bWqD8o8_0000009 206.2 249.1 
Marilu_Henner/3kG8bWqD8o8_0000010 255.6 265.9 
Marilu_Henner/3kG8bWqD8o8_0000011 269.4 273.8 
Marilu_Henner/3kG8bWqD8o8_0000012 273.9 282.4 
Marilu_Henner/3kG8bWqD8o8_0000013 288.3 324.3 
Marilu_Henner/3kG8bWqD8o8_0000014 331.0 344.3 
Marilu_Henner/3kG8bWqD8o8_0000015 345.5 350.2 
Marilu_Henner/3kG8bWqD8o8_0000016 352.5 360.1 
Marilu_Henner/3kG8bWqD8o8_0000017 364.1 382.4 
Marilu_Henner/3kG8bWqD8o8_0000018 384.4 388.8 
Marilu_Henner/3kG8bWqD8o8_0000019 392.3 409.8 
