POI: 			Nicole_Beharie 
Youtube ID: 	lq2Z0RoiKqc 
Video length: 	756.1 sec 
Set (V): 		dev 
 
Nicole_Beharie/lq2Z0RoiKqc_0000001 89.1 104.8 
Nicole_Beharie/lq2Z0RoiKqc_0000002 113.5 123.2 
Nicole_Beharie/lq2Z0RoiKqc_0000003 146.0 151.4 
Nicole_Beharie/lq2Z0RoiKqc_0000004 163.6 169.1 
Nicole_Beharie/lq2Z0RoiKqc_0000005 218.2 224.4 
Nicole_Beharie/lq2Z0RoiKqc_0000006 228.4 235.1 
Nicole_Beharie/lq2Z0RoiKqc_0000007 244.8 250.4 
Nicole_Beharie/lq2Z0RoiKqc_0000008 269.0 280.2 
Nicole_Beharie/lq2Z0RoiKqc_0000009 296.5 300.9 
Nicole_Beharie/lq2Z0RoiKqc_0000010 313.5 336.8 
Nicole_Beharie/lq2Z0RoiKqc_0000011 337.0 352.8 
Nicole_Beharie/lq2Z0RoiKqc_0000012 386.0 390.3 
Nicole_Beharie/lq2Z0RoiKqc_0000013 390.8 395.3 
Nicole_Beharie/lq2Z0RoiKqc_0000014 395.8 423.8 
Nicole_Beharie/lq2Z0RoiKqc_0000015 424.0 432.1 
Nicole_Beharie/lq2Z0RoiKqc_0000016 434.0 442.5 
Nicole_Beharie/lq2Z0RoiKqc_0000017 474.6 483.0 
Nicole_Beharie/lq2Z0RoiKqc_0000018 486.7 497.0 
Nicole_Beharie/lq2Z0RoiKqc_0000019 498.5 513.4 
Nicole_Beharie/lq2Z0RoiKqc_0000020 527.6 534.2 
Nicole_Beharie/lq2Z0RoiKqc_0000021 556.4 562.0 
Nicole_Beharie/lq2Z0RoiKqc_0000022 568.6 574.8 
Nicole_Beharie/lq2Z0RoiKqc_0000023 631.7 650.1 
Nicole_Beharie/lq2Z0RoiKqc_0000024 652.2 656.5 
Nicole_Beharie/lq2Z0RoiKqc_0000025 657.0 664.0 
Nicole_Beharie/lq2Z0RoiKqc_0000026 666.2 683.6 
Nicole_Beharie/lq2Z0RoiKqc_0000027 684.3 713.1 
