POI: 			Jamie-Lynn_Sigler 
Youtube ID: 	5qR7KdWdbaU 
Video length: 	348.4 sec 
Set (V): 		dev 
 
Jamie-Lynn_Sigler/5qR7KdWdbaU_0000001 13.9 29.6 
Jamie-Lynn_Sigler/5qR7KdWdbaU_0000002 32.4 45.0 
Jamie-Lynn_Sigler/5qR7KdWdbaU_0000003 53.2 77.6 
Jamie-Lynn_Sigler/5qR7KdWdbaU_0000004 127.2 134.3 
Jamie-Lynn_Sigler/5qR7KdWdbaU_0000005 135.8 143.1 
Jamie-Lynn_Sigler/5qR7KdWdbaU_0000006 143.9 155.1 
Jamie-Lynn_Sigler/5qR7KdWdbaU_0000007 165.7 173.6 
Jamie-Lynn_Sigler/5qR7KdWdbaU_0000008 173.7 182.4 
Jamie-Lynn_Sigler/5qR7KdWdbaU_0000009 197.4 205.6 
Jamie-Lynn_Sigler/5qR7KdWdbaU_0000010 205.9 247.7 
Jamie-Lynn_Sigler/5qR7KdWdbaU_0000011 249.7 269.7 
Jamie-Lynn_Sigler/5qR7KdWdbaU_0000012 277.3 286.5 
Jamie-Lynn_Sigler/5qR7KdWdbaU_0000013 287.0 292.1 
Jamie-Lynn_Sigler/5qR7KdWdbaU_0000014 293.1 298.8 
Jamie-Lynn_Sigler/5qR7KdWdbaU_0000015 304.6 315.2 
Jamie-Lynn_Sigler/5qR7KdWdbaU_0000016 317.5 337.7 
