POI: 			Sidse_Babett_Knudsen 
Youtube ID: 	yn41flR1s1A 
Video length: 	339.8 sec 
Set (V): 		dev 
 
Sidse_Babett_Knudsen/yn41flR1s1A_0000001 06.5 16.8 
Sidse_Babett_Knudsen/yn41flR1s1A_0000002 37.9 47.5 
Sidse_Babett_Knudsen/yn41flR1s1A_0000003 48.0 52.4 
Sidse_Babett_Knudsen/yn41flR1s1A_0000004 67.8 80.3 
Sidse_Babett_Knudsen/yn41flR1s1A_0000005 95.4 113.7 
Sidse_Babett_Knudsen/yn41flR1s1A_0000006 133.2 140.5 
Sidse_Babett_Knudsen/yn41flR1s1A_0000007 140.9 146.7 
Sidse_Babett_Knudsen/yn41flR1s1A_0000008 147.8 154.6 
Sidse_Babett_Knudsen/yn41flR1s1A_0000009 167.5 173.9 
Sidse_Babett_Knudsen/yn41flR1s1A_0000010 174.7 187.4 
Sidse_Babett_Knudsen/yn41flR1s1A_0000011 189.2 201.7 
Sidse_Babett_Knudsen/yn41flR1s1A_0000012 234.2 238.4 
Sidse_Babett_Knudsen/yn41flR1s1A_0000013 242.4 253.6 
Sidse_Babett_Knudsen/yn41flR1s1A_0000014 263.6 270.3 
Sidse_Babett_Knudsen/yn41flR1s1A_0000015 271.7 277.5 
Sidse_Babett_Knudsen/yn41flR1s1A_0000016 296.8 301.8 
Sidse_Babett_Knudsen/yn41flR1s1A_0000017 318.6 325.0 
