POI: 			Sidse_Babett_Knudsen 
Youtube ID: 	QhbYaN5p5PI 
Video length: 	723.0 sec 
Set (V): 		dev 
 
Sidse_Babett_Knudsen/QhbYaN5p5PI_0000001 94.7 104.3 
Sidse_Babett_Knudsen/QhbYaN5p5PI_0000002 113.1 129.6 
Sidse_Babett_Knudsen/QhbYaN5p5PI_0000003 130.2 137.6 
Sidse_Babett_Knudsen/QhbYaN5p5PI_0000004 152.2 160.4 
Sidse_Babett_Knudsen/QhbYaN5p5PI_0000005 165.2 169.6 
Sidse_Babett_Knudsen/QhbYaN5p5PI_0000006 169.6 188.8 
Sidse_Babett_Knudsen/QhbYaN5p5PI_0000007 239.1 246.8 
Sidse_Babett_Knudsen/QhbYaN5p5PI_0000008 256.5 260.6 
Sidse_Babett_Knudsen/QhbYaN5p5PI_0000009 262.7 275.2 
Sidse_Babett_Knudsen/QhbYaN5p5PI_0000010 293.8 298.8 
Sidse_Babett_Knudsen/QhbYaN5p5PI_0000011 300.4 305.4 
Sidse_Babett_Knudsen/QhbYaN5p5PI_0000012 346.6 352.6 
Sidse_Babett_Knudsen/QhbYaN5p5PI_0000013 356.6 363.5 
Sidse_Babett_Knudsen/QhbYaN5p5PI_0000014 370.9 375.1 
Sidse_Babett_Knudsen/QhbYaN5p5PI_0000015 441.8 446.2 
Sidse_Babett_Knudsen/QhbYaN5p5PI_0000016 447.4 451.9 
Sidse_Babett_Knudsen/QhbYaN5p5PI_0000017 470.9 475.6 
Sidse_Babett_Knudsen/QhbYaN5p5PI_0000018 478.4 495.1 
