POI: 			Stanley_Tucci 
Youtube ID: 	0hqbU1Q2RDM 
Video length: 	1321.8 sec 
Set (V): 		dev 
 
Stanley_Tucci/0hqbU1Q2RDM_0000001 95.9 101.0 
Stanley_Tucci/0hqbU1Q2RDM_0000002 159.2 166.4 
Stanley_Tucci/0hqbU1Q2RDM_0000003 221.9 226.6 
Stanley_Tucci/0hqbU1Q2RDM_0000004 234.0 240.4 
Stanley_Tucci/0hqbU1Q2RDM_0000005 240.5 245.6 
Stanley_Tucci/0hqbU1Q2RDM_0000006 287.7 292.7 
Stanley_Tucci/0hqbU1Q2RDM_0000007 294.8 299.2 
Stanley_Tucci/0hqbU1Q2RDM_0000008 303.2 310.6 
Stanley_Tucci/0hqbU1Q2RDM_0000009 325.5 330.8 
Stanley_Tucci/0hqbU1Q2RDM_0000010 363.6 370.9 
Stanley_Tucci/0hqbU1Q2RDM_0000011 445.8 450.6 
Stanley_Tucci/0hqbU1Q2RDM_0000012 480.8 485.6 
Stanley_Tucci/0hqbU1Q2RDM_0000013 551.1 555.7 
Stanley_Tucci/0hqbU1Q2RDM_0000014 556.7 562.3 
Stanley_Tucci/0hqbU1Q2RDM_0000015 661.8 667.6 
Stanley_Tucci/0hqbU1Q2RDM_0000016 673.2 677.4 
Stanley_Tucci/0hqbU1Q2RDM_0000017 706.8 710.8 
Stanley_Tucci/0hqbU1Q2RDM_0000018 724.8 731.1 
Stanley_Tucci/0hqbU1Q2RDM_0000019 731.2 735.4 
Stanley_Tucci/0hqbU1Q2RDM_0000020 742.3 747.0 
Stanley_Tucci/0hqbU1Q2RDM_0000021 770.5 775.0 
Stanley_Tucci/0hqbU1Q2RDM_0000022 780.2 787.1 
Stanley_Tucci/0hqbU1Q2RDM_0000023 789.0 793.0 
Stanley_Tucci/0hqbU1Q2RDM_0000024 798.9 803.4 
Stanley_Tucci/0hqbU1Q2RDM_0000025 825.2 829.5 
Stanley_Tucci/0hqbU1Q2RDM_0000026 833.2 841.8 
Stanley_Tucci/0hqbU1Q2RDM_0000027 842.4 850.0 
Stanley_Tucci/0hqbU1Q2RDM_0000028 851.6 858.9 
Stanley_Tucci/0hqbU1Q2RDM_0000029 865.4 872.2 
Stanley_Tucci/0hqbU1Q2RDM_0000030 893.8 898.6 
Stanley_Tucci/0hqbU1Q2RDM_0000031 899.1 905.7 
Stanley_Tucci/0hqbU1Q2RDM_0000032 924.7 935.9 
Stanley_Tucci/0hqbU1Q2RDM_0000033 1082.4 1087.0 
Stanley_Tucci/0hqbU1Q2RDM_0000034 1099.5 1105.6 
Stanley_Tucci/0hqbU1Q2RDM_0000035 1118.9 1127.8 
Stanley_Tucci/0hqbU1Q2RDM_0000036 1153.6 1157.9 
Stanley_Tucci/0hqbU1Q2RDM_0000037 1162.6 1167.6 
Stanley_Tucci/0hqbU1Q2RDM_0000038 1200.6 1209.1 
Stanley_Tucci/0hqbU1Q2RDM_0000039 1252.5 1259.2 
