POI: 			Josh_Groban 
Youtube ID: 	XaCmErdA2sM 
Video length: 	2291.1 sec 
Set (V): 		dev 
 
Josh_Groban/XaCmErdA2sM_0000001 36.9 53.6 
Josh_Groban/XaCmErdA2sM_0000002 54.2 61.0 
Josh_Groban/XaCmErdA2sM_0000003 88.0 99.3 
Josh_Groban/XaCmErdA2sM_0000004 100.1 123.2 
Josh_Groban/XaCmErdA2sM_0000005 175.2 182.4 
Josh_Groban/XaCmErdA2sM_0000006 190.2 200.9 
Josh_Groban/XaCmErdA2sM_0000007 235.8 251.5 
Josh_Groban/XaCmErdA2sM_0000008 256.0 260.0 
Josh_Groban/XaCmErdA2sM_0000009 270.1 275.9 
Josh_Groban/XaCmErdA2sM_0000010 281.1 285.4 
Josh_Groban/XaCmErdA2sM_0000011 290.8 298.2 
Josh_Groban/XaCmErdA2sM_0000012 305.6 310.0 
Josh_Groban/XaCmErdA2sM_0000013 355.6 374.9 
Josh_Groban/XaCmErdA2sM_0000014 394.7 410.9 
Josh_Groban/XaCmErdA2sM_0000015 481.5 488.0 
Josh_Groban/XaCmErdA2sM_0000016 525.4 532.0 
Josh_Groban/XaCmErdA2sM_0000017 534.2 538.3 
Josh_Groban/XaCmErdA2sM_0000018 547.5 563.0 
Josh_Groban/XaCmErdA2sM_0000019 610.2 620.3 
Josh_Groban/XaCmErdA2sM_0000020 621.3 626.0 
Josh_Groban/XaCmErdA2sM_0000021 643.4 652.7 
Josh_Groban/XaCmErdA2sM_0000022 679.2 684.2 
Josh_Groban/XaCmErdA2sM_0000023 693.6 701.3 
Josh_Groban/XaCmErdA2sM_0000024 720.6 741.5 
Josh_Groban/XaCmErdA2sM_0000025 783.6 790.1 
Josh_Groban/XaCmErdA2sM_0000026 790.8 796.4 
Josh_Groban/XaCmErdA2sM_0000027 803.7 811.8 
Josh_Groban/XaCmErdA2sM_0000028 851.8 857.2 
Josh_Groban/XaCmErdA2sM_0000029 882.5 890.3 
Josh_Groban/XaCmErdA2sM_0000030 948.9 960.8 
Josh_Groban/XaCmErdA2sM_0000031 961.5 972.1 
Josh_Groban/XaCmErdA2sM_0000032 991.6 996.9 
Josh_Groban/XaCmErdA2sM_0000033 1031.9 1037.1 
Josh_Groban/XaCmErdA2sM_0000034 1056.3 1061.4 
Josh_Groban/XaCmErdA2sM_0000035 1079.0 1086.8 
Josh_Groban/XaCmErdA2sM_0000036 1111.0 1116.3 
Josh_Groban/XaCmErdA2sM_0000037 1131.3 1139.9 
Josh_Groban/XaCmErdA2sM_0000038 1200.2 1218.0 
Josh_Groban/XaCmErdA2sM_0000039 1227.9 1238.6 
Josh_Groban/XaCmErdA2sM_0000040 1320.1 1336.0 
Josh_Groban/XaCmErdA2sM_0000041 1336.8 1343.3 
Josh_Groban/XaCmErdA2sM_0000042 1525.2 1531.9 
Josh_Groban/XaCmErdA2sM_0000043 1588.0 1597.6 
Josh_Groban/XaCmErdA2sM_0000044 1614.4 1624.6 
Josh_Groban/XaCmErdA2sM_0000045 1624.9 1631.3 
Josh_Groban/XaCmErdA2sM_0000046 1635.8 1652.3 
Josh_Groban/XaCmErdA2sM_0000047 1654.1 1662.2 
Josh_Groban/XaCmErdA2sM_0000048 1679.7 1699.2 
Josh_Groban/XaCmErdA2sM_0000049 1703.0 1724.7 
Josh_Groban/XaCmErdA2sM_0000050 1769.7 1794.6 
Josh_Groban/XaCmErdA2sM_0000051 1773.1 1778.6 
Josh_Groban/XaCmErdA2sM_0000052 1826.7 1833.4 
Josh_Groban/XaCmErdA2sM_0000053 1848.9 1854.3 
Josh_Groban/XaCmErdA2sM_0000054 1855.5 1867.7 
Josh_Groban/XaCmErdA2sM_0000055 1922.1 1927.0 
Josh_Groban/XaCmErdA2sM_0000056 1928.0 1932.7 
Josh_Groban/XaCmErdA2sM_0000057 1970.1 1992.2 
Josh_Groban/XaCmErdA2sM_0000058 1996.9 2001.2 
Josh_Groban/XaCmErdA2sM_0000059 2057.5 2069.2 
Josh_Groban/XaCmErdA2sM_0000060 2086.1 2097.7 
Josh_Groban/XaCmErdA2sM_0000061 2098.6 2121.5 
Josh_Groban/XaCmErdA2sM_0000062 2123.4 2133.8 
Josh_Groban/XaCmErdA2sM_0000063 2171.1 2184.2 
Josh_Groban/XaCmErdA2sM_0000064 2203.6 2209.6 
Josh_Groban/XaCmErdA2sM_0000065 2235.0 2248.0 
Josh_Groban/XaCmErdA2sM_0000066 2263.4 2268.9 
Josh_Groban/XaCmErdA2sM_0000067 2272.7 2276.9 
Josh_Groban/XaCmErdA2sM_0000068 2277.5 2284.7 
