POI: 			Brenda_Blethyn 
Youtube ID: 	q2BoSBDt3qo 
Video length: 	796.2 sec 
Set (V): 		dev 
 
Brenda_Blethyn/q2BoSBDt3qo_0000001 08.7 20.7 
Brenda_Blethyn/q2BoSBDt3qo_0000002 28.9 35.8 
Brenda_Blethyn/q2BoSBDt3qo_0000003 47.2 55.0 
Brenda_Blethyn/q2BoSBDt3qo_0000004 73.8 77.8 
Brenda_Blethyn/q2BoSBDt3qo_0000005 78.7 88.5 
Brenda_Blethyn/q2BoSBDt3qo_0000006 93.6 101.0 
Brenda_Blethyn/q2BoSBDt3qo_0000007 105.0 110.4 
Brenda_Blethyn/q2BoSBDt3qo_0000008 111.5 117.4 
Brenda_Blethyn/q2BoSBDt3qo_0000009 125.7 141.0 
Brenda_Blethyn/q2BoSBDt3qo_0000010 143.4 158.5 
Brenda_Blethyn/q2BoSBDt3qo_0000011 159.4 173.0 
Brenda_Blethyn/q2BoSBDt3qo_0000012 194.3 198.5 
Brenda_Blethyn/q2BoSBDt3qo_0000013 226.5 236.1 
Brenda_Blethyn/q2BoSBDt3qo_0000014 242.1 249.2 
Brenda_Blethyn/q2BoSBDt3qo_0000015 265.7 275.8 
Brenda_Blethyn/q2BoSBDt3qo_0000016 292.0 297.5 
Brenda_Blethyn/q2BoSBDt3qo_0000017 297.8 318.7 
Brenda_Blethyn/q2BoSBDt3qo_0000018 321.3 327.0 
Brenda_Blethyn/q2BoSBDt3qo_0000019 341.7 347.8 
Brenda_Blethyn/q2BoSBDt3qo_0000020 364.7 370.8 
Brenda_Blethyn/q2BoSBDt3qo_0000021 378.5 385.2 
Brenda_Blethyn/q2BoSBDt3qo_0000022 407.3 414.1 
Brenda_Blethyn/q2BoSBDt3qo_0000023 419.0 427.1 
Brenda_Blethyn/q2BoSBDt3qo_0000024 439.0 445.5 
Brenda_Blethyn/q2BoSBDt3qo_0000025 447.0 457.8 
Brenda_Blethyn/q2BoSBDt3qo_0000026 437.8 445.6 
Brenda_Blethyn/q2BoSBDt3qo_0000027 465.4 471.4 
Brenda_Blethyn/q2BoSBDt3qo_0000028 496.0 505.4 
Brenda_Blethyn/q2BoSBDt3qo_0000029 511.3 520.8 
Brenda_Blethyn/q2BoSBDt3qo_0000030 523.4 531.9 
Brenda_Blethyn/q2BoSBDt3qo_0000031 535.1 540.7 
Brenda_Blethyn/q2BoSBDt3qo_0000032 561.2 568.3 
Brenda_Blethyn/q2BoSBDt3qo_0000033 583.2 595.8 
Brenda_Blethyn/q2BoSBDt3qo_0000034 601.1 613.0 
Brenda_Blethyn/q2BoSBDt3qo_0000035 615.2 621.8 
Brenda_Blethyn/q2BoSBDt3qo_0000036 640.0 647.8 
Brenda_Blethyn/q2BoSBDt3qo_0000037 650.7 657.3 
Brenda_Blethyn/q2BoSBDt3qo_0000038 665.3 673.3 
Brenda_Blethyn/q2BoSBDt3qo_0000039 677.6 682.3 
Brenda_Blethyn/q2BoSBDt3qo_0000040 695.2 708.9 
Brenda_Blethyn/q2BoSBDt3qo_0000041 759.9 764.7 
Brenda_Blethyn/q2BoSBDt3qo_0000042 766.6 780.3 
Brenda_Blethyn/q2BoSBDt3qo_0000043 780.7 785.0 
