POI: 			Johnathon_Schaech 
Youtube ID: 	l_rwKe2b-z8 
Video length: 	522.5 sec 
Set (V): 		dev 
 
Johnathon_Schaech/l_rwKe2b-z8_0000001 65.6 81.7 
Johnathon_Schaech/l_rwKe2b-z8_0000002 88.7 97.3 
Johnathon_Schaech/l_rwKe2b-z8_0000003 119.6 124.1 
Johnathon_Schaech/l_rwKe2b-z8_0000004 135.3 140.6 
Johnathon_Schaech/l_rwKe2b-z8_0000005 163.7 171.2 
Johnathon_Schaech/l_rwKe2b-z8_0000006 182.2 188.1 
Johnathon_Schaech/l_rwKe2b-z8_0000007 188.8 193.4 
Johnathon_Schaech/l_rwKe2b-z8_0000008 295.1 303.3 
Johnathon_Schaech/l_rwKe2b-z8_0000009 345.2 351.7 
Johnathon_Schaech/l_rwKe2b-z8_0000010 386.8 392.7 
Johnathon_Schaech/l_rwKe2b-z8_0000011 402.7 411.1 
Johnathon_Schaech/l_rwKe2b-z8_0000012 411.3 415.4 
Johnathon_Schaech/l_rwKe2b-z8_0000013 435.8 442.3 
Johnathon_Schaech/l_rwKe2b-z8_0000014 446.6 453.5 
Johnathon_Schaech/l_rwKe2b-z8_0000015 463.5 470.1 
Johnathon_Schaech/l_rwKe2b-z8_0000016 475.8 482.3 
Johnathon_Schaech/l_rwKe2b-z8_0000017 488.8 495.8 
