POI: 			Johnathon_Schaech 
Youtube ID: 	Y6aq-gQEIvs 
Video length: 	830.7 sec 
Set (V): 		dev 
 
Johnathon_Schaech/Y6aq-gQEIvs_0000001 179.0 189.0 
Johnathon_Schaech/Y6aq-gQEIvs_0000002 190.1 197.6 
Johnathon_Schaech/Y6aq-gQEIvs_0000003 200.2 208.6 
Johnathon_Schaech/Y6aq-gQEIvs_0000004 250.8 262.2 
Johnathon_Schaech/Y6aq-gQEIvs_0000005 262.6 268.1 
Johnathon_Schaech/Y6aq-gQEIvs_0000006 268.7 275.4 
Johnathon_Schaech/Y6aq-gQEIvs_0000007 275.8 284.9 
Johnathon_Schaech/Y6aq-gQEIvs_0000008 285.8 293.6 
Johnathon_Schaech/Y6aq-gQEIvs_0000009 319.6 324.0 
Johnathon_Schaech/Y6aq-gQEIvs_0000010 358.2 371.7 
Johnathon_Schaech/Y6aq-gQEIvs_0000011 372.4 377.3 
Johnathon_Schaech/Y6aq-gQEIvs_0000012 378.4 383.2 
Johnathon_Schaech/Y6aq-gQEIvs_0000013 378.8 383.2 
Johnathon_Schaech/Y6aq-gQEIvs_0000014 388.0 396.3 
Johnathon_Schaech/Y6aq-gQEIvs_0000015 423.8 430.7 
Johnathon_Schaech/Y6aq-gQEIvs_0000016 431.8 436.8 
Johnathon_Schaech/Y6aq-gQEIvs_0000017 478.2 484.9 
Johnathon_Schaech/Y6aq-gQEIvs_0000018 520.9 526.4 
Johnathon_Schaech/Y6aq-gQEIvs_0000019 526.7 531.9 
Johnathon_Schaech/Y6aq-gQEIvs_0000020 540.3 544.3 
Johnathon_Schaech/Y6aq-gQEIvs_0000021 545.2 565.3 
Johnathon_Schaech/Y6aq-gQEIvs_0000022 616.4 620.7 
Johnathon_Schaech/Y6aq-gQEIvs_0000023 624.8 638.6 
Johnathon_Schaech/Y6aq-gQEIvs_0000024 647.3 651.4 
Johnathon_Schaech/Y6aq-gQEIvs_0000025 651.4 657.8 
Johnathon_Schaech/Y6aq-gQEIvs_0000026 702.8 707.8 
Johnathon_Schaech/Y6aq-gQEIvs_0000027 711.2 721.0 
Johnathon_Schaech/Y6aq-gQEIvs_0000028 722.8 727.8 
Johnathon_Schaech/Y6aq-gQEIvs_0000029 750.4 758.6 
