POI: 			Kriti_Sanon 
Youtube ID: 	_BUSj8NIOmw 
Video length: 	1184.5 sec 
Set (V): 		dev 
 
Kriti_Sanon/_BUSj8NIOmw_0000001 54.7 63.8 
Kriti_Sanon/_BUSj8NIOmw_0000002 143.5 148.6 
Kriti_Sanon/_BUSj8NIOmw_0000003 151.7 161.3 
Kriti_Sanon/_BUSj8NIOmw_0000004 163.8 168.1 
Kriti_Sanon/_BUSj8NIOmw_0000005 198.4 208.1 
Kriti_Sanon/_BUSj8NIOmw_0000006 210.9 228.4 
Kriti_Sanon/_BUSj8NIOmw_0000007 230.6 235.7 
Kriti_Sanon/_BUSj8NIOmw_0000008 236.4 242.9 
Kriti_Sanon/_BUSj8NIOmw_0000009 255.3 263.4 
Kriti_Sanon/_BUSj8NIOmw_0000010 290.6 294.6 
Kriti_Sanon/_BUSj8NIOmw_0000011 318.0 325.1 
Kriti_Sanon/_BUSj8NIOmw_0000012 329.8 337.0 
Kriti_Sanon/_BUSj8NIOmw_0000013 362.2 366.3 
Kriti_Sanon/_BUSj8NIOmw_0000014 372.4 380.3 
Kriti_Sanon/_BUSj8NIOmw_0000015 380.8 385.1 
Kriti_Sanon/_BUSj8NIOmw_0000016 387.5 393.5 
Kriti_Sanon/_BUSj8NIOmw_0000017 395.8 399.8 
Kriti_Sanon/_BUSj8NIOmw_0000018 407.6 412.8 
Kriti_Sanon/_BUSj8NIOmw_0000019 422.0 431.2 
Kriti_Sanon/_BUSj8NIOmw_0000020 433.5 441.2 
Kriti_Sanon/_BUSj8NIOmw_0000021 470.6 475.7 
Kriti_Sanon/_BUSj8NIOmw_0000022 477.7 488.5 
Kriti_Sanon/_BUSj8NIOmw_0000023 493.7 505.8 
Kriti_Sanon/_BUSj8NIOmw_0000024 499.7 505.3 
Kriti_Sanon/_BUSj8NIOmw_0000025 507.9 519.2 
Kriti_Sanon/_BUSj8NIOmw_0000026 527.2 536.0 
Kriti_Sanon/_BUSj8NIOmw_0000027 542.6 553.6 
Kriti_Sanon/_BUSj8NIOmw_0000028 563.1 567.5 
Kriti_Sanon/_BUSj8NIOmw_0000029 570.5 581.4 
Kriti_Sanon/_BUSj8NIOmw_0000030 583.5 593.9 
Kriti_Sanon/_BUSj8NIOmw_0000031 600.2 609.7 
Kriti_Sanon/_BUSj8NIOmw_0000032 611.8 616.9 
Kriti_Sanon/_BUSj8NIOmw_0000033 619.2 625.9 
Kriti_Sanon/_BUSj8NIOmw_0000034 645.5 652.5 
Kriti_Sanon/_BUSj8NIOmw_0000035 654.6 662.7 
Kriti_Sanon/_BUSj8NIOmw_0000036 664.8 674.3 
Kriti_Sanon/_BUSj8NIOmw_0000037 676.5 687.7 
Kriti_Sanon/_BUSj8NIOmw_0000038 695.4 706.5 
Kriti_Sanon/_BUSj8NIOmw_0000039 763.1 768.6 
Kriti_Sanon/_BUSj8NIOmw_0000040 770.7 775.4 
Kriti_Sanon/_BUSj8NIOmw_0000041 777.8 790.3 
Kriti_Sanon/_BUSj8NIOmw_0000042 796.6 802.9 
Kriti_Sanon/_BUSj8NIOmw_0000043 812.3 817.0 
Kriti_Sanon/_BUSj8NIOmw_0000044 856.3 864.5 
Kriti_Sanon/_BUSj8NIOmw_0000045 880.5 886.3 
Kriti_Sanon/_BUSj8NIOmw_0000046 896.7 909.1 
Kriti_Sanon/_BUSj8NIOmw_0000047 918.5 923.4 
Kriti_Sanon/_BUSj8NIOmw_0000048 925.7 932.4 
Kriti_Sanon/_BUSj8NIOmw_0000049 938.0 943.8 
Kriti_Sanon/_BUSj8NIOmw_0000050 946.0 954.3 
Kriti_Sanon/_BUSj8NIOmw_0000051 967.0 971.9 
Kriti_Sanon/_BUSj8NIOmw_0000052 997.5 1004.2 
Kriti_Sanon/_BUSj8NIOmw_0000053 1008.4 1017.4 
Kriti_Sanon/_BUSj8NIOmw_0000054 1019.6 1025.9 
Kriti_Sanon/_BUSj8NIOmw_0000055 1028.5 1038.8 
Kriti_Sanon/_BUSj8NIOmw_0000056 1045.0 1057.8 
Kriti_Sanon/_BUSj8NIOmw_0000057 1060.6 1069.9 
Kriti_Sanon/_BUSj8NIOmw_0000058 1096.0 1100.6 
Kriti_Sanon/_BUSj8NIOmw_0000059 1102.9 1109.8 
Kriti_Sanon/_BUSj8NIOmw_0000060 1112.0 1121.6 
Kriti_Sanon/_BUSj8NIOmw_0000061 1123.6 1128.6 
Kriti_Sanon/_BUSj8NIOmw_0000062 1130.6 1149.6 
Kriti_Sanon/_BUSj8NIOmw_0000063 1154.4 1165.5 
