POI: 			Kriti_Sanon 
Youtube ID: 	TX4AzuABquI 
Video length: 	975.0 sec 
Set (V): 		dev 
 
Kriti_Sanon/TX4AzuABquI_0000001 32.8 39.1 
Kriti_Sanon/TX4AzuABquI_0000002 96.4 101.5 
Kriti_Sanon/TX4AzuABquI_0000003 104.9 114.2 
Kriti_Sanon/TX4AzuABquI_0000004 116.8 121.0 
Kriti_Sanon/TX4AzuABquI_0000005 154.7 165.2 
Kriti_Sanon/TX4AzuABquI_0000006 165.6 172.0 
Kriti_Sanon/TX4AzuABquI_0000007 174.5 179.2 
Kriti_Sanon/TX4AzuABquI_0000008 199.2 204.2 
Kriti_Sanon/TX4AzuABquI_0000009 216.1 222.1 
Kriti_Sanon/TX4AzuABquI_0000010 243.2 250.3 
Kriti_Sanon/TX4AzuABquI_0000011 255.6 262.0 
Kriti_Sanon/TX4AzuABquI_0000012 267.6 271.6 
Kriti_Sanon/TX4AzuABquI_0000013 281.0 285.6 
Kriti_Sanon/TX4AzuABquI_0000014 286.0 290.4 
Kriti_Sanon/TX4AzuABquI_0000015 326.4 336.6 
Kriti_Sanon/TX4AzuABquI_0000016 339.1 346.5 
Kriti_Sanon/TX4AzuABquI_0000017 349.8 354.9 
Kriti_Sanon/TX4AzuABquI_0000018 356.9 361.8 
Kriti_Sanon/TX4AzuABquI_0000019 362.2 370.8 
Kriti_Sanon/TX4AzuABquI_0000020 372.9 379.0 
Kriti_Sanon/TX4AzuABquI_0000021 380.1 385.0 
Kriti_Sanon/TX4AzuABquI_0000022 389.9 397.6 
Kriti_Sanon/TX4AzuABquI_0000023 398.4 404.4 
Kriti_Sanon/TX4AzuABquI_0000024 406.5 415.0 
Kriti_Sanon/TX4AzuABquI_0000025 424.7 430.6 
Kriti_Sanon/TX4AzuABquI_0000026 449.6 460.6 
Kriti_Sanon/TX4AzuABquI_0000027 462.8 473.2 
Kriti_Sanon/TX4AzuABquI_0000028 478.9 488.9 
Kriti_Sanon/TX4AzuABquI_0000029 491.0 496.1 
Kriti_Sanon/TX4AzuABquI_0000030 498.4 504.8 
Kriti_Sanon/TX4AzuABquI_0000031 515.2 522.2 
Kriti_Sanon/TX4AzuABquI_0000032 526.5 532.4 
Kriti_Sanon/TX4AzuABquI_0000033 534.6 544.1 
Kriti_Sanon/TX4AzuABquI_0000034 546.2 557.2 
Kriti_Sanon/TX4AzuABquI_0000035 565.4 574.8 
Kriti_Sanon/TX4AzuABquI_0000036 585.0 588.9 
Kriti_Sanon/TX4AzuABquI_0000037 614.5 620.0 
Kriti_Sanon/TX4AzuABquI_0000038 622.2 627.0 
Kriti_Sanon/TX4AzuABquI_0000039 634.2 641.7 
Kriti_Sanon/TX4AzuABquI_0000040 648.9 654.3 
Kriti_Sanon/TX4AzuABquI_0000041 663.7 668.4 
Kriti_Sanon/TX4AzuABquI_0000042 674.2 679.6 
Kriti_Sanon/TX4AzuABquI_0000043 698.2 703.9 
Kriti_Sanon/TX4AzuABquI_0000044 708.2 712.2 
Kriti_Sanon/TX4AzuABquI_0000045 714.6 721.1 
Kriti_Sanon/TX4AzuABquI_0000046 722.5 726.9 
Kriti_Sanon/TX4AzuABquI_0000047 729.0 734.1 
Kriti_Sanon/TX4AzuABquI_0000048 736.3 741.0 
Kriti_Sanon/TX4AzuABquI_0000049 743.2 749.5 
Kriti_Sanon/TX4AzuABquI_0000050 755.8 761.5 
Kriti_Sanon/TX4AzuABquI_0000051 763.7 772.0 
Kriti_Sanon/TX4AzuABquI_0000052 784.7 790.0 
Kriti_Sanon/TX4AzuABquI_0000053 806.2 812.8 
Kriti_Sanon/TX4AzuABquI_0000054 817.2 826.0 
Kriti_Sanon/TX4AzuABquI_0000055 828.2 834.3 
Kriti_Sanon/TX4AzuABquI_0000056 840.2 845.6 
Kriti_Sanon/TX4AzuABquI_0000057 853.6 861.1 
Kriti_Sanon/TX4AzuABquI_0000058 869.3 878.5 
Kriti_Sanon/TX4AzuABquI_0000059 885.3 889.9 
Kriti_Sanon/TX4AzuABquI_0000060 892.2 899.0 
Kriti_Sanon/TX4AzuABquI_0000061 901.1 910.8 
Kriti_Sanon/TX4AzuABquI_0000062 919.8 931.2 
Kriti_Sanon/TX4AzuABquI_0000063 932.1 941.4 
Kriti_Sanon/TX4AzuABquI_0000064 944.0 954.2 
