POI: 			Jeanine_Mason 
Youtube ID: 	zqAvB_cGfko 
Video length: 	376.2 sec 
Set (V): 		dev 
 
Jeanine_Mason/zqAvB_cGfko_0000001 10.4 21.1 
Jeanine_Mason/zqAvB_cGfko_0000002 22.5 27.6 
Jeanine_Mason/zqAvB_cGfko_0000003 27.7 36.2 
Jeanine_Mason/zqAvB_cGfko_0000004 39.9 46.3 
Jeanine_Mason/zqAvB_cGfko_0000005 47.4 51.7 
Jeanine_Mason/zqAvB_cGfko_0000006 55.9 59.9 
Jeanine_Mason/zqAvB_cGfko_0000007 60.0 64.8 
Jeanine_Mason/zqAvB_cGfko_0000008 66.8 74.6 
Jeanine_Mason/zqAvB_cGfko_0000009 74.7 79.0 
Jeanine_Mason/zqAvB_cGfko_0000010 79.4 86.9 
Jeanine_Mason/zqAvB_cGfko_0000011 100.6 126.6 
Jeanine_Mason/zqAvB_cGfko_0000012 130.9 137.2 
Jeanine_Mason/zqAvB_cGfko_0000013 138.8 147.0 
Jeanine_Mason/zqAvB_cGfko_0000014 149.2 166.3 
Jeanine_Mason/zqAvB_cGfko_0000015 170.6 182.5 
Jeanine_Mason/zqAvB_cGfko_0000016 192.8 205.0 
Jeanine_Mason/zqAvB_cGfko_0000017 207.0 217.4 
Jeanine_Mason/zqAvB_cGfko_0000018 228.4 232.9 
Jeanine_Mason/zqAvB_cGfko_0000019 234.4 247.3 
Jeanine_Mason/zqAvB_cGfko_0000020 252.6 258.3 
Jeanine_Mason/zqAvB_cGfko_0000021 259.9 264.0 
Jeanine_Mason/zqAvB_cGfko_0000022 264.4 269.3 
Jeanine_Mason/zqAvB_cGfko_0000023 287.6 301.8 
Jeanine_Mason/zqAvB_cGfko_0000024 311.0 316.1 
Jeanine_Mason/zqAvB_cGfko_0000025 317.0 345.2 
Jeanine_Mason/zqAvB_cGfko_0000026 366.0 372.5 
