POI: 			Danny_Dyer 
Youtube ID: 	5cu92kGSGCY 
Video length: 	1383.7 sec 
Set (V): 		dev 
 
Danny_Dyer/5cu92kGSGCY_0000001 58.4 67.0 
Danny_Dyer/5cu92kGSGCY_0000002 67.5 87.0 
Danny_Dyer/5cu92kGSGCY_0000003 91.4 98.0 
Danny_Dyer/5cu92kGSGCY_0000004 101.7 105.7 
Danny_Dyer/5cu92kGSGCY_0000005 126.6 130.6 
Danny_Dyer/5cu92kGSGCY_0000006 151.9 156.4 
Danny_Dyer/5cu92kGSGCY_0000007 165.4 181.0 
Danny_Dyer/5cu92kGSGCY_0000008 181.2 192.7 
Danny_Dyer/5cu92kGSGCY_0000009 214.1 227.0 
Danny_Dyer/5cu92kGSGCY_0000010 227.6 251.1 
Danny_Dyer/5cu92kGSGCY_0000011 260.4 266.1 
Danny_Dyer/5cu92kGSGCY_0000012 270.9 279.4 
Danny_Dyer/5cu92kGSGCY_0000013 280.9 286.4 
Danny_Dyer/5cu92kGSGCY_0000014 286.5 293.6 
Danny_Dyer/5cu92kGSGCY_0000015 313.7 319.0 
Danny_Dyer/5cu92kGSGCY_0000016 321.2 326.6 
Danny_Dyer/5cu92kGSGCY_0000017 326.8 331.4 
Danny_Dyer/5cu92kGSGCY_0000018 377.2 383.4 
Danny_Dyer/5cu92kGSGCY_0000019 387.6 399.7 
Danny_Dyer/5cu92kGSGCY_0000020 414.8 420.1 
Danny_Dyer/5cu92kGSGCY_0000021 426.9 433.6 
Danny_Dyer/5cu92kGSGCY_0000022 435.6 442.2 
Danny_Dyer/5cu92kGSGCY_0000023 446.8 455.5 
Danny_Dyer/5cu92kGSGCY_0000024 409.7 422.5 
Danny_Dyer/5cu92kGSGCY_0000025 426.8 433.6 
Danny_Dyer/5cu92kGSGCY_0000026 437.3 445.0 
Danny_Dyer/5cu92kGSGCY_0000027 471.6 476.6 
Danny_Dyer/5cu92kGSGCY_0000028 535.6 540.1 
Danny_Dyer/5cu92kGSGCY_0000029 543.1 551.1 
Danny_Dyer/5cu92kGSGCY_0000030 586.2 594.6 
Danny_Dyer/5cu92kGSGCY_0000031 598.6 609.9 
Danny_Dyer/5cu92kGSGCY_0000032 626.0 659.1 
Danny_Dyer/5cu92kGSGCY_0000033 661.5 666.8 
Danny_Dyer/5cu92kGSGCY_0000034 668.7 680.4 
Danny_Dyer/5cu92kGSGCY_0000035 742.1 753.7 
Danny_Dyer/5cu92kGSGCY_0000036 756.6 763.3 
Danny_Dyer/5cu92kGSGCY_0000037 773.1 777.2 
Danny_Dyer/5cu92kGSGCY_0000038 782.0 788.2 
Danny_Dyer/5cu92kGSGCY_0000039 814.0 826.9 
Danny_Dyer/5cu92kGSGCY_0000040 831.5 837.5 
Danny_Dyer/5cu92kGSGCY_0000041 878.9 889.9 
Danny_Dyer/5cu92kGSGCY_0000042 917.2 942.1 
Danny_Dyer/5cu92kGSGCY_0000043 948.6 958.3 
Danny_Dyer/5cu92kGSGCY_0000044 961.0 968.5 
Danny_Dyer/5cu92kGSGCY_0000045 968.9 973.6 
Danny_Dyer/5cu92kGSGCY_0000046 985.5 990.0 
Danny_Dyer/5cu92kGSGCY_0000047 1007.6 1012.2 
Danny_Dyer/5cu92kGSGCY_0000048 1047.1 1059.9 
Danny_Dyer/5cu92kGSGCY_0000049 1062.4 1070.6 
Danny_Dyer/5cu92kGSGCY_0000050 1072.4 1078.0 
Danny_Dyer/5cu92kGSGCY_0000051 1078.4 1087.9 
Danny_Dyer/5cu92kGSGCY_0000052 1112.8 1120.7 
Danny_Dyer/5cu92kGSGCY_0000053 1121.0 1127.1 
Danny_Dyer/5cu92kGSGCY_0000054 1132.4 1145.3 
Danny_Dyer/5cu92kGSGCY_0000055 1176.9 1193.6 
Danny_Dyer/5cu92kGSGCY_0000056 1211.7 1217.2 
Danny_Dyer/5cu92kGSGCY_0000057 1231.7 1241.5 
Danny_Dyer/5cu92kGSGCY_0000058 1251.5 1268.0 
Danny_Dyer/5cu92kGSGCY_0000059 1268.6 1272.6 
Danny_Dyer/5cu92kGSGCY_0000060 1273.5 1279.0 
Danny_Dyer/5cu92kGSGCY_0000061 1296.4 1304.7 
Danny_Dyer/5cu92kGSGCY_0000062 1305.0 1309.4 
