POI: 			Stevie_Wonder 
Youtube ID: 	fIXU5ExruI0 
Video length: 	744.1 sec 
Set (V): 		dev 
 
Stevie_Wonder/fIXU5ExruI0_0000001 52.0 58.9 
Stevie_Wonder/fIXU5ExruI0_0000002 186.8 195.4 
Stevie_Wonder/fIXU5ExruI0_0000003 200.6 206.0 
Stevie_Wonder/fIXU5ExruI0_0000004 219.1 223.3 
Stevie_Wonder/fIXU5ExruI0_0000005 225.5 230.7 
Stevie_Wonder/fIXU5ExruI0_0000006 231.0 237.1 
Stevie_Wonder/fIXU5ExruI0_0000007 243.6 252.5 
Stevie_Wonder/fIXU5ExruI0_0000008 252.9 260.6 
Stevie_Wonder/fIXU5ExruI0_0000009 351.5 357.8 
Stevie_Wonder/fIXU5ExruI0_0000010 396.9 402.9 
Stevie_Wonder/fIXU5ExruI0_0000011 419.2 428.6 
Stevie_Wonder/fIXU5ExruI0_0000012 447.6 473.7 
Stevie_Wonder/fIXU5ExruI0_0000013 479.8 484.4 
Stevie_Wonder/fIXU5ExruI0_0000014 484.8 491.4 
Stevie_Wonder/fIXU5ExruI0_0000015 502.6 508.1 
Stevie_Wonder/fIXU5ExruI0_0000016 510.2 515.6 
Stevie_Wonder/fIXU5ExruI0_0000017 525.4 529.4 
Stevie_Wonder/fIXU5ExruI0_0000018 554.4 562.4 
Stevie_Wonder/fIXU5ExruI0_0000019 566.8 575.3 
Stevie_Wonder/fIXU5ExruI0_0000020 604.2 609.0 
Stevie_Wonder/fIXU5ExruI0_0000021 654.8 659.3 
Stevie_Wonder/fIXU5ExruI0_0000022 665.7 672.7 
Stevie_Wonder/fIXU5ExruI0_0000023 685.7 692.7 
Stevie_Wonder/fIXU5ExruI0_0000024 707.0 712.2 
Stevie_Wonder/fIXU5ExruI0_0000025 713.5 717.5 
