POI: 			Florence_Henderson 
Youtube ID: 	YYsxcZ5saac 
Video length: 	185.5 sec 
Set (V): 		dev 
 
Florence_Henderson/YYsxcZ5saac_0000001 11.6 20.6 
Florence_Henderson/YYsxcZ5saac_0000002 23.0 51.0 
Florence_Henderson/YYsxcZ5saac_0000003 54.6 65.4 
Florence_Henderson/YYsxcZ5saac_0000004 69.5 74.5 
Florence_Henderson/YYsxcZ5saac_0000005 60.7 67.0 
Florence_Henderson/YYsxcZ5saac_0000006 69.5 75.9 
Florence_Henderson/YYsxcZ5saac_0000007 79.6 87.7 
Florence_Henderson/YYsxcZ5saac_0000008 97.6 104.4 
Florence_Henderson/YYsxcZ5saac_0000009 100.1 104.2 
Florence_Henderson/YYsxcZ5saac_0000010 107.0 115.8 
Florence_Henderson/YYsxcZ5saac_0000011 116.2 120.4 
Florence_Henderson/YYsxcZ5saac_0000012 121.8 128.2 
Florence_Henderson/YYsxcZ5saac_0000013 123.8 138.1 
Florence_Henderson/YYsxcZ5saac_0000014 131.7 138.2 
Florence_Henderson/YYsxcZ5saac_0000015 139.2 143.6 
Florence_Henderson/YYsxcZ5saac_0000016 144.3 148.9 
Florence_Henderson/YYsxcZ5saac_0000017 150.1 158.6 
Florence_Henderson/YYsxcZ5saac_0000018 162.1 172.0 
Florence_Henderson/YYsxcZ5saac_0000019 164.9 172.0 
