POI: 			Florence_Henderson 
Youtube ID: 	hqXyZ37UvW8 
Video length: 	311.9 sec 
Set (V): 		dev 
 
Florence_Henderson/hqXyZ37UvW8_0000001 08.9 12.9 
Florence_Henderson/hqXyZ37UvW8_0000002 13.8 29.3 
Florence_Henderson/hqXyZ37UvW8_0000003 30.2 54.0 
Florence_Henderson/hqXyZ37UvW8_0000004 58.9 64.3 
Florence_Henderson/hqXyZ37UvW8_0000005 65.6 82.4 
Florence_Henderson/hqXyZ37UvW8_0000006 83.2 91.9 
Florence_Henderson/hqXyZ37UvW8_0000007 94.8 101.6 
Florence_Henderson/hqXyZ37UvW8_0000008 106.6 120.0 
Florence_Henderson/hqXyZ37UvW8_0000009 121.5 126.5 
Florence_Henderson/hqXyZ37UvW8_0000010 132.2 140.0 
Florence_Henderson/hqXyZ37UvW8_0000011 143.0 157.6 
Florence_Henderson/hqXyZ37UvW8_0000012 159.4 163.8 
Florence_Henderson/hqXyZ37UvW8_0000013 164.5 174.7 
Florence_Henderson/hqXyZ37UvW8_0000014 177.3 184.6 
Florence_Henderson/hqXyZ37UvW8_0000015 187.2 193.5 
Florence_Henderson/hqXyZ37UvW8_0000016 197.5 204.7 
Florence_Henderson/hqXyZ37UvW8_0000017 209.6 218.4 
Florence_Henderson/hqXyZ37UvW8_0000018 219.4 225.4 
Florence_Henderson/hqXyZ37UvW8_0000019 226.2 233.4 
Florence_Henderson/hqXyZ37UvW8_0000020 234.0 238.9 
Florence_Henderson/hqXyZ37UvW8_0000021 239.8 250.6 
Florence_Henderson/hqXyZ37UvW8_0000022 256.7 282.3 
Florence_Henderson/hqXyZ37UvW8_0000023 282.7 287.0 
Florence_Henderson/hqXyZ37UvW8_0000024 287.6 294.3 
