POI: 			Florence_Henderson 
Youtube ID: 	5UAgM2vmJjc 
Video length: 	213.3 sec 
Set (V): 		dev 
 
Florence_Henderson/5UAgM2vmJjc_0000001 09.5 18.1 
Florence_Henderson/5UAgM2vmJjc_0000002 18.7 26.5 
Florence_Henderson/5UAgM2vmJjc_0000003 31.5 41.0 
Florence_Henderson/5UAgM2vmJjc_0000004 42.0 51.1 
Florence_Henderson/5UAgM2vmJjc_0000005 51.8 58.4 
Florence_Henderson/5UAgM2vmJjc_0000006 58.5 66.2 
Florence_Henderson/5UAgM2vmJjc_0000007 72.3 76.3 
Florence_Henderson/5UAgM2vmJjc_0000008 77.4 93.0 
Florence_Henderson/5UAgM2vmJjc_0000009 95.2 104.2 
Florence_Henderson/5UAgM2vmJjc_0000010 109.0 113.2 
Florence_Henderson/5UAgM2vmJjc_0000011 113.5 118.4 
Florence_Henderson/5UAgM2vmJjc_0000012 122.3 133.8 
Florence_Henderson/5UAgM2vmJjc_0000013 140.4 145.5 
Florence_Henderson/5UAgM2vmJjc_0000014 147.0 155.8 
Florence_Henderson/5UAgM2vmJjc_0000015 157.0 184.5 
Florence_Henderson/5UAgM2vmJjc_0000016 188.8 192.8 
