POI: 			Florence_Henderson 
Youtube ID: 	lBvAd1tPza0 
Video length: 	266.3 sec 
Set (V): 		dev 
 
Florence_Henderson/lBvAd1tPza0_0000001 10.5 19.3 
Florence_Henderson/lBvAd1tPza0_0000002 20.5 37.0 
Florence_Henderson/lBvAd1tPza0_0000003 37.7 42.3 
Florence_Henderson/lBvAd1tPza0_0000004 44.4 49.1 
Florence_Henderson/lBvAd1tPza0_0000005 50.2 60.6 
Florence_Henderson/lBvAd1tPza0_0000006 62.7 72.5 
Florence_Henderson/lBvAd1tPza0_0000007 73.9 86.5 
Florence_Henderson/lBvAd1tPza0_0000008 91.8 97.0 
Florence_Henderson/lBvAd1tPza0_0000009 98.4 102.8 
Florence_Henderson/lBvAd1tPza0_0000010 107.2 111.3 
Florence_Henderson/lBvAd1tPza0_0000011 116.4 125.0 
Florence_Henderson/lBvAd1tPza0_0000012 127.7 138.1 
Florence_Henderson/lBvAd1tPza0_0000013 139.4 146.5 
Florence_Henderson/lBvAd1tPza0_0000014 147.5 156.8 
Florence_Henderson/lBvAd1tPza0_0000015 161.5 167.3 
Florence_Henderson/lBvAd1tPza0_0000016 174.1 178.6 
Florence_Henderson/lBvAd1tPza0_0000017 200.2 205.7 
Florence_Henderson/lBvAd1tPza0_0000018 209.1 216.3 
Florence_Henderson/lBvAd1tPza0_0000019 218.1 229.5 
Florence_Henderson/lBvAd1tPza0_0000020 237.9 248.6 
