POI: 			Florence_Henderson 
Youtube ID: 	npVx2DNFYO0 
Video length: 	267.3 sec 
Set (V): 		dev 
 
Florence_Henderson/npVx2DNFYO0_0000001 06.2 25.9 
Florence_Henderson/npVx2DNFYO0_0000002 31.7 54.4 
Florence_Henderson/npVx2DNFYO0_0000003 54.8 64.6 
Florence_Henderson/npVx2DNFYO0_0000004 67.2 84.6 
Florence_Henderson/npVx2DNFYO0_0000005 89.9 98.8 
Florence_Henderson/npVx2DNFYO0_0000006 99.6 118.0 
Florence_Henderson/npVx2DNFYO0_0000007 120.9 130.1 
Florence_Henderson/npVx2DNFYO0_0000008 133.2 138.4 
Florence_Henderson/npVx2DNFYO0_0000009 139.0 148.7 
Florence_Henderson/npVx2DNFYO0_0000010 151.9 159.0 
Florence_Henderson/npVx2DNFYO0_0000011 159.3 171.5 
Florence_Henderson/npVx2DNFYO0_0000012 176.1 192.5 
Florence_Henderson/npVx2DNFYO0_0000013 194.3 206.6 
Florence_Henderson/npVx2DNFYO0_0000014 207.0 217.2 
Florence_Henderson/npVx2DNFYO0_0000015 221.8 235.9 
Florence_Henderson/npVx2DNFYO0_0000016 237.8 243.7 
Florence_Henderson/npVx2DNFYO0_0000017 240.2 249.7 
