POI: 			Stephen_Lang 
Youtube ID: 	UEPsY-pWLx8 
Video length: 	700.9 sec 
Set (V): 		dev 
 
Stephen_Lang/UEPsY-pWLx8_0000001 39.4 43.4 
Stephen_Lang/UEPsY-pWLx8_0000002 53.4 63.6 
Stephen_Lang/UEPsY-pWLx8_0000003 63.8 69.8 
Stephen_Lang/UEPsY-pWLx8_0000004 70.8 75.0 
Stephen_Lang/UEPsY-pWLx8_0000005 78.6 90.4 
Stephen_Lang/UEPsY-pWLx8_0000006 105.6 110.8 
Stephen_Lang/UEPsY-pWLx8_0000007 114.3 120.2 
Stephen_Lang/UEPsY-pWLx8_0000008 124.1 131.1 
Stephen_Lang/UEPsY-pWLx8_0000009 139.5 150.0 
Stephen_Lang/UEPsY-pWLx8_0000010 151.5 169.8 
Stephen_Lang/UEPsY-pWLx8_0000011 170.9 185.8 
Stephen_Lang/UEPsY-pWLx8_0000012 186.6 192.4 
Stephen_Lang/UEPsY-pWLx8_0000013 201.8 207.0 
Stephen_Lang/UEPsY-pWLx8_0000014 208.1 214.3 
Stephen_Lang/UEPsY-pWLx8_0000015 214.4 219.2 
Stephen_Lang/UEPsY-pWLx8_0000016 220.0 224.7 
Stephen_Lang/UEPsY-pWLx8_0000017 232.3 242.4 
Stephen_Lang/UEPsY-pWLx8_0000018 260.8 264.7 
Stephen_Lang/UEPsY-pWLx8_0000019 269.0 273.1 
Stephen_Lang/UEPsY-pWLx8_0000020 278.8 283.0 
Stephen_Lang/UEPsY-pWLx8_0000021 286.6 297.6 
Stephen_Lang/UEPsY-pWLx8_0000022 309.0 313.6 
Stephen_Lang/UEPsY-pWLx8_0000023 314.1 330.1 
Stephen_Lang/UEPsY-pWLx8_0000024 339.6 353.2 
Stephen_Lang/UEPsY-pWLx8_0000025 381.5 393.6 
Stephen_Lang/UEPsY-pWLx8_0000026 399.8 404.5 
Stephen_Lang/UEPsY-pWLx8_0000027 404.8 413.5 
Stephen_Lang/UEPsY-pWLx8_0000028 414.5 420.0 
Stephen_Lang/UEPsY-pWLx8_0000029 420.3 427.6 
Stephen_Lang/UEPsY-pWLx8_0000030 440.1 449.8 
Stephen_Lang/UEPsY-pWLx8_0000031 463.0 469.9 
Stephen_Lang/UEPsY-pWLx8_0000032 478.4 486.2 
Stephen_Lang/UEPsY-pWLx8_0000033 493.0 500.8 
Stephen_Lang/UEPsY-pWLx8_0000034 508.3 524.0 
Stephen_Lang/UEPsY-pWLx8_0000035 524.5 530.1 
Stephen_Lang/UEPsY-pWLx8_0000036 562.6 570.8 
Stephen_Lang/UEPsY-pWLx8_0000037 571.5 584.6 
Stephen_Lang/UEPsY-pWLx8_0000038 585.2 594.2 
Stephen_Lang/UEPsY-pWLx8_0000039 594.8 603.2 
Stephen_Lang/UEPsY-pWLx8_0000040 620.3 633.9 
Stephen_Lang/UEPsY-pWLx8_0000041 653.0 669.3 
Stephen_Lang/UEPsY-pWLx8_0000042 675.3 686.0 
Stephen_Lang/UEPsY-pWLx8_0000043 687.1 691.8 
