POI: 			Kiernan_Shipka 
Youtube ID: 	muavhtBt62E 
Video length: 	825.1 sec 
Set (V): 		dev 
 
Kiernan_Shipka/muavhtBt62E_0000001 68.5 80.4 
Kiernan_Shipka/muavhtBt62E_0000002 81.3 86.8 
Kiernan_Shipka/muavhtBt62E_0000003 113.2 117.4 
Kiernan_Shipka/muavhtBt62E_0000004 117.8 128.1 
Kiernan_Shipka/muavhtBt62E_0000005 157.6 162.8 
Kiernan_Shipka/muavhtBt62E_0000006 207.7 219.6 
Kiernan_Shipka/muavhtBt62E_0000007 224.4 228.9 
Kiernan_Shipka/muavhtBt62E_0000008 230.2 235.6 
Kiernan_Shipka/muavhtBt62E_0000009 288.7 300.2 
Kiernan_Shipka/muavhtBt62E_0000010 309.2 314.1 
Kiernan_Shipka/muavhtBt62E_0000011 335.4 340.2 
Kiernan_Shipka/muavhtBt62E_0000012 341.2 346.5 
Kiernan_Shipka/muavhtBt62E_0000013 350.6 357.4 
Kiernan_Shipka/muavhtBt62E_0000014 388.4 392.8 
Kiernan_Shipka/muavhtBt62E_0000015 447.6 451.7 
Kiernan_Shipka/muavhtBt62E_0000016 462.2 467.4 
Kiernan_Shipka/muavhtBt62E_0000017 509.2 517.5 
Kiernan_Shipka/muavhtBt62E_0000018 519.4 526.1 
Kiernan_Shipka/muavhtBt62E_0000019 529.8 539.8 
Kiernan_Shipka/muavhtBt62E_0000020 586.4 592.6 
Kiernan_Shipka/muavhtBt62E_0000021 595.8 604.1 
Kiernan_Shipka/muavhtBt62E_0000022 644.0 648.3 
Kiernan_Shipka/muavhtBt62E_0000023 674.6 680.0 
Kiernan_Shipka/muavhtBt62E_0000024 729.2 734.2 
