POI: 			Tom_Hooper 
Youtube ID: 	2fq0yy2gN9k 
Video length: 	1119.5 sec 
Set (V): 		dev 
 
Tom_Hooper/2fq0yy2gN9k_0000001 87.5 92.2 
Tom_Hooper/2fq0yy2gN9k_0000002 92.7 103.2 
Tom_Hooper/2fq0yy2gN9k_0000003 116.3 120.8 
Tom_Hooper/2fq0yy2gN9k_0000004 147.9 159.0 
Tom_Hooper/2fq0yy2gN9k_0000005 161.0 168.8 
Tom_Hooper/2fq0yy2gN9k_0000006 169.2 178.8 
Tom_Hooper/2fq0yy2gN9k_0000007 187.1 193.8 
Tom_Hooper/2fq0yy2gN9k_0000008 197.8 215.2 
Tom_Hooper/2fq0yy2gN9k_0000009 227.7 233.9 
Tom_Hooper/2fq0yy2gN9k_0000010 286.3 291.1 
Tom_Hooper/2fq0yy2gN9k_0000011 293.3 299.8 
Tom_Hooper/2fq0yy2gN9k_0000012 305.1 310.6 
Tom_Hooper/2fq0yy2gN9k_0000013 321.0 326.9 
Tom_Hooper/2fq0yy2gN9k_0000014 333.5 337.7 
Tom_Hooper/2fq0yy2gN9k_0000015 338.6 343.0 
Tom_Hooper/2fq0yy2gN9k_0000016 365.3 383.4 
Tom_Hooper/2fq0yy2gN9k_0000017 396.1 400.8 
Tom_Hooper/2fq0yy2gN9k_0000018 435.6 443.5 
Tom_Hooper/2fq0yy2gN9k_0000019 448.7 452.7 
Tom_Hooper/2fq0yy2gN9k_0000020 477.9 487.9 
Tom_Hooper/2fq0yy2gN9k_0000021 507.1 512.4 
Tom_Hooper/2fq0yy2gN9k_0000022 513.3 517.3 
Tom_Hooper/2fq0yy2gN9k_0000023 521.5 526.6 
Tom_Hooper/2fq0yy2gN9k_0000024 545.1 554.6 
Tom_Hooper/2fq0yy2gN9k_0000025 600.0 604.0 
Tom_Hooper/2fq0yy2gN9k_0000026 637.2 642.2 
Tom_Hooper/2fq0yy2gN9k_0000027 642.5 647.6 
Tom_Hooper/2fq0yy2gN9k_0000028 688.3 697.2 
Tom_Hooper/2fq0yy2gN9k_0000029 720.2 727.2 
Tom_Hooper/2fq0yy2gN9k_0000030 727.4 732.1 
Tom_Hooper/2fq0yy2gN9k_0000031 741.3 745.2 
Tom_Hooper/2fq0yy2gN9k_0000032 780.7 785.4 
Tom_Hooper/2fq0yy2gN9k_0000033 852.3 859.4 
Tom_Hooper/2fq0yy2gN9k_0000034 866.2 871.4 
Tom_Hooper/2fq0yy2gN9k_0000035 877.6 882.7 
Tom_Hooper/2fq0yy2gN9k_0000036 901.1 906.0 
Tom_Hooper/2fq0yy2gN9k_0000037 915.3 920.8 
Tom_Hooper/2fq0yy2gN9k_0000038 930.6 939.3 
Tom_Hooper/2fq0yy2gN9k_0000039 940.2 946.5 
Tom_Hooper/2fq0yy2gN9k_0000040 952.0 959.6 
Tom_Hooper/2fq0yy2gN9k_0000041 977.4 986.2 
Tom_Hooper/2fq0yy2gN9k_0000042 1021.2 1027.4 
Tom_Hooper/2fq0yy2gN9k_0000043 1030.0 1040.4 
Tom_Hooper/2fq0yy2gN9k_0000044 1040.5 1045.9 
Tom_Hooper/2fq0yy2gN9k_0000045 1047.1 1052.2 
Tom_Hooper/2fq0yy2gN9k_0000046 1057.2 1061.8 
Tom_Hooper/2fq0yy2gN9k_0000047 1088.0 1094.6 
Tom_Hooper/2fq0yy2gN9k_0000048 1108.8 1114.1 
