POI: 			Tom_Hooper 
Youtube ID: 	OX91K9cIsGY 
Video length: 	2448.5 sec 
Set (V): 		dev 
 
Tom_Hooper/OX91K9cIsGY_0000001 47.2 51.6 
Tom_Hooper/OX91K9cIsGY_0000002 55.0 60.0 
Tom_Hooper/OX91K9cIsGY_0000003 84.9 89.4 
Tom_Hooper/OX91K9cIsGY_0000004 92.0 99.9 
Tom_Hooper/OX91K9cIsGY_0000005 151.0 159.0 
Tom_Hooper/OX91K9cIsGY_0000006 187.9 197.2 
Tom_Hooper/OX91K9cIsGY_0000007 199.6 205.0 
Tom_Hooper/OX91K9cIsGY_0000008 205.5 209.7 
Tom_Hooper/OX91K9cIsGY_0000009 218.9 223.0 
Tom_Hooper/OX91K9cIsGY_0000010 233.8 238.1 
Tom_Hooper/OX91K9cIsGY_0000011 250.8 254.8 
Tom_Hooper/OX91K9cIsGY_0000012 257.8 262.0 
Tom_Hooper/OX91K9cIsGY_0000013 269.1 274.8 
Tom_Hooper/OX91K9cIsGY_0000014 275.9 290.0 
Tom_Hooper/OX91K9cIsGY_0000015 294.7 302.3 
Tom_Hooper/OX91K9cIsGY_0000016 317.4 324.4 
Tom_Hooper/OX91K9cIsGY_0000017 326.1 333.7 
Tom_Hooper/OX91K9cIsGY_0000018 405.6 410.2 
Tom_Hooper/OX91K9cIsGY_0000019 412.8 419.4 
Tom_Hooper/OX91K9cIsGY_0000020 419.6 425.0 
Tom_Hooper/OX91K9cIsGY_0000021 425.5 434.9 
Tom_Hooper/OX91K9cIsGY_0000022 435.3 443.3 
Tom_Hooper/OX91K9cIsGY_0000023 443.9 454.8 
Tom_Hooper/OX91K9cIsGY_0000024 459.3 466.4 
Tom_Hooper/OX91K9cIsGY_0000025 475.4 481.6 
Tom_Hooper/OX91K9cIsGY_0000026 490.0 494.3 
Tom_Hooper/OX91K9cIsGY_0000027 498.6 512.3 
Tom_Hooper/OX91K9cIsGY_0000028 526.8 534.8 
Tom_Hooper/OX91K9cIsGY_0000029 552.8 561.0 
Tom_Hooper/OX91K9cIsGY_0000030 574.1 580.6 
Tom_Hooper/OX91K9cIsGY_0000031 603.4 607.8 
Tom_Hooper/OX91K9cIsGY_0000032 654.7 660.1 
Tom_Hooper/OX91K9cIsGY_0000033 742.9 747.0 
Tom_Hooper/OX91K9cIsGY_0000034 758.3 770.8 
Tom_Hooper/OX91K9cIsGY_0000035 771.5 778.0 
Tom_Hooper/OX91K9cIsGY_0000036 852.1 856.1 
Tom_Hooper/OX91K9cIsGY_0000037 1087.4 1095.7 
Tom_Hooper/OX91K9cIsGY_0000038 1149.4 1154.0 
Tom_Hooper/OX91K9cIsGY_0000039 1155.1 1160.2 
Tom_Hooper/OX91K9cIsGY_0000040 1161.4 1166.3 
Tom_Hooper/OX91K9cIsGY_0000041 1193.8 1199.6 
Tom_Hooper/OX91K9cIsGY_0000042 1203.9 1210.1 
Tom_Hooper/OX91K9cIsGY_0000043 1203.6 1212.1 
Tom_Hooper/OX91K9cIsGY_0000044 1241.0 1248.1 
Tom_Hooper/OX91K9cIsGY_0000045 1257.7 1261.9 
Tom_Hooper/OX91K9cIsGY_0000046 1273.6 1278.0 
Tom_Hooper/OX91K9cIsGY_0000047 1292.8 1297.2 
Tom_Hooper/OX91K9cIsGY_0000048 1303.7 1309.2 
