POI: 			Shraddha_Kapoor 
Youtube ID: 	vtCEvIVhIKE 
Video length: 	498.2 sec 
Set (V): 		dev 
 
Shraddha_Kapoor/vtCEvIVhIKE_0000001 30.2 36.8 
Shraddha_Kapoor/vtCEvIVhIKE_0000002 68.4 76.0 
Shraddha_Kapoor/vtCEvIVhIKE_0000003 78.8 88.4 
Shraddha_Kapoor/vtCEvIVhIKE_0000004 89.0 94.3 
Shraddha_Kapoor/vtCEvIVhIKE_0000005 126.9 131.9 
Shraddha_Kapoor/vtCEvIVhIKE_0000006 160.2 165.0 
Shraddha_Kapoor/vtCEvIVhIKE_0000007 183.4 210.2 
Shraddha_Kapoor/vtCEvIVhIKE_0000008 217.4 221.7 
Shraddha_Kapoor/vtCEvIVhIKE_0000009 230.0 238.4 
Shraddha_Kapoor/vtCEvIVhIKE_0000010 239.8 244.7 
Shraddha_Kapoor/vtCEvIVhIKE_0000011 253.5 270.6 
Shraddha_Kapoor/vtCEvIVhIKE_0000012 324.2 332.7 
Shraddha_Kapoor/vtCEvIVhIKE_0000013 337.8 342.7 
Shraddha_Kapoor/vtCEvIVhIKE_0000014 352.3 362.2 
Shraddha_Kapoor/vtCEvIVhIKE_0000015 363.0 369.7 
Shraddha_Kapoor/vtCEvIVhIKE_0000016 386.8 401.4 
Shraddha_Kapoor/vtCEvIVhIKE_0000017 403.7 420.9 
Shraddha_Kapoor/vtCEvIVhIKE_0000018 443.4 447.8 
Shraddha_Kapoor/vtCEvIVhIKE_0000019 461.5 466.4 
