POI: 			Shraddha_Kapoor 
Youtube ID: 	dg1HrPpOCHE 
Video length: 	1195.1 sec 
Set (V): 		dev 
 
Shraddha_Kapoor/dg1HrPpOCHE_0000001 69.7 74.1 
Shraddha_Kapoor/dg1HrPpOCHE_0000002 79.4 84.6 
Shraddha_Kapoor/dg1HrPpOCHE_0000003 90.9 95.2 
Shraddha_Kapoor/dg1HrPpOCHE_0000004 148.4 153.4 
Shraddha_Kapoor/dg1HrPpOCHE_0000005 153.6 162.1 
Shraddha_Kapoor/dg1HrPpOCHE_0000006 190.4 195.6 
Shraddha_Kapoor/dg1HrPpOCHE_0000007 231.2 236.2 
Shraddha_Kapoor/dg1HrPpOCHE_0000008 242.0 249.3 
Shraddha_Kapoor/dg1HrPpOCHE_0000009 260.2 264.7 
Shraddha_Kapoor/dg1HrPpOCHE_0000010 264.9 269.3 
Shraddha_Kapoor/dg1HrPpOCHE_0000011 270.0 274.0 
Shraddha_Kapoor/dg1HrPpOCHE_0000012 280.4 293.5 
Shraddha_Kapoor/dg1HrPpOCHE_0000013 327.5 335.1 
Shraddha_Kapoor/dg1HrPpOCHE_0000014 371.2 377.1 
Shraddha_Kapoor/dg1HrPpOCHE_0000015 409.8 414.1 
Shraddha_Kapoor/dg1HrPpOCHE_0000016 427.9 434.4 
Shraddha_Kapoor/dg1HrPpOCHE_0000017 462.7 473.4 
Shraddha_Kapoor/dg1HrPpOCHE_0000018 488.1 496.4 
Shraddha_Kapoor/dg1HrPpOCHE_0000019 511.8 516.2 
Shraddha_Kapoor/dg1HrPpOCHE_0000020 526.4 532.8 
Shraddha_Kapoor/dg1HrPpOCHE_0000021 538.6 543.5 
Shraddha_Kapoor/dg1HrPpOCHE_0000022 627.3 634.3 
Shraddha_Kapoor/dg1HrPpOCHE_0000023 648.6 654.3 
Shraddha_Kapoor/dg1HrPpOCHE_0000024 654.6 659.6 
Shraddha_Kapoor/dg1HrPpOCHE_0000025 696.7 702.5 
Shraddha_Kapoor/dg1HrPpOCHE_0000026 707.3 712.9 
Shraddha_Kapoor/dg1HrPpOCHE_0000027 732.0 740.0 
Shraddha_Kapoor/dg1HrPpOCHE_0000028 772.4 776.4 
Shraddha_Kapoor/dg1HrPpOCHE_0000029 783.4 795.7 
Shraddha_Kapoor/dg1HrPpOCHE_0000030 801.4 809.2 
Shraddha_Kapoor/dg1HrPpOCHE_0000031 818.5 823.5 
Shraddha_Kapoor/dg1HrPpOCHE_0000032 824.2 829.3 
Shraddha_Kapoor/dg1HrPpOCHE_0000033 850.8 859.4 
Shraddha_Kapoor/dg1HrPpOCHE_0000034 866.7 874.9 
Shraddha_Kapoor/dg1HrPpOCHE_0000035 941.3 949.2 
Shraddha_Kapoor/dg1HrPpOCHE_0000036 972.8 980.9 
Shraddha_Kapoor/dg1HrPpOCHE_0000037 1000.4 1007.2 
Shraddha_Kapoor/dg1HrPpOCHE_0000038 1077.4 1082.0 
Shraddha_Kapoor/dg1HrPpOCHE_0000039 1095.6 1101.4 
