POI: 			Patrick_Swayze 
Youtube ID: 	rZAFlubhsgE 
Video length: 	1387.9 sec 
Set (V): 		dev 
 
Patrick_Swayze/rZAFlubhsgE_0000001 68.5 74.0 
Patrick_Swayze/rZAFlubhsgE_0000002 74.8 90.8 
Patrick_Swayze/rZAFlubhsgE_0000003 91.8 105.4 
Patrick_Swayze/rZAFlubhsgE_0000004 110.0 116.6 
Patrick_Swayze/rZAFlubhsgE_0000005 116.9 122.8 
Patrick_Swayze/rZAFlubhsgE_0000006 135.8 148.5 
Patrick_Swayze/rZAFlubhsgE_0000007 151.9 167.9 
Patrick_Swayze/rZAFlubhsgE_0000008 168.5 180.9 
Patrick_Swayze/rZAFlubhsgE_0000009 181.5 201.3 
Patrick_Swayze/rZAFlubhsgE_0000010 222.8 233.1 
Patrick_Swayze/rZAFlubhsgE_0000011 235.1 249.1 
Patrick_Swayze/rZAFlubhsgE_0000012 252.3 258.7 
Patrick_Swayze/rZAFlubhsgE_0000013 281.2 285.5 
Patrick_Swayze/rZAFlubhsgE_0000014 291.5 295.8 
Patrick_Swayze/rZAFlubhsgE_0000015 299.4 312.0 
Patrick_Swayze/rZAFlubhsgE_0000016 313.6 319.6 
Patrick_Swayze/rZAFlubhsgE_0000017 329.0 333.7 
Patrick_Swayze/rZAFlubhsgE_0000018 344.9 363.5 
Patrick_Swayze/rZAFlubhsgE_0000019 370.7 375.1 
Patrick_Swayze/rZAFlubhsgE_0000020 389.0 399.2 
Patrick_Swayze/rZAFlubhsgE_0000021 443.4 456.0 
Patrick_Swayze/rZAFlubhsgE_0000022 463.6 468.7 
Patrick_Swayze/rZAFlubhsgE_0000023 470.0 490.5 
Patrick_Swayze/rZAFlubhsgE_0000024 492.6 510.5 
Patrick_Swayze/rZAFlubhsgE_0000025 514.5 518.5 
Patrick_Swayze/rZAFlubhsgE_0000026 519.5 537.1 
Patrick_Swayze/rZAFlubhsgE_0000027 551.7 561.0 
Patrick_Swayze/rZAFlubhsgE_0000028 581.7 619.6 
Patrick_Swayze/rZAFlubhsgE_0000029 620.6 625.6 
Patrick_Swayze/rZAFlubhsgE_0000030 627.8 653.7 
Patrick_Swayze/rZAFlubhsgE_0000031 654.4 666.3 
Patrick_Swayze/rZAFlubhsgE_0000032 667.0 679.0 
Patrick_Swayze/rZAFlubhsgE_0000033 743.3 751.8 
Patrick_Swayze/rZAFlubhsgE_0000034 770.6 775.6 
Patrick_Swayze/rZAFlubhsgE_0000035 793.4 797.4 
Patrick_Swayze/rZAFlubhsgE_0000036 797.9 808.6 
Patrick_Swayze/rZAFlubhsgE_0000037 809.8 813.8 
Patrick_Swayze/rZAFlubhsgE_0000038 830.4 850.5 
Patrick_Swayze/rZAFlubhsgE_0000039 855.0 860.2 
Patrick_Swayze/rZAFlubhsgE_0000040 865.5 869.7 
Patrick_Swayze/rZAFlubhsgE_0000041 878.4 886.3 
Patrick_Swayze/rZAFlubhsgE_0000042 898.8 905.7 
Patrick_Swayze/rZAFlubhsgE_0000043 913.7 919.7 
Patrick_Swayze/rZAFlubhsgE_0000044 920.2 927.2 
Patrick_Swayze/rZAFlubhsgE_0000045 931.0 935.1 
Patrick_Swayze/rZAFlubhsgE_0000046 968.0 974.5 
Patrick_Swayze/rZAFlubhsgE_0000047 981.8 989.8 
Patrick_Swayze/rZAFlubhsgE_0000048 990.2 995.3 
Patrick_Swayze/rZAFlubhsgE_0000049 1027.0 1046.8 
Patrick_Swayze/rZAFlubhsgE_0000050 1047.3 1053.8 
Patrick_Swayze/rZAFlubhsgE_0000051 1061.0 1066.6 
Patrick_Swayze/rZAFlubhsgE_0000052 1068.2 1072.9 
Patrick_Swayze/rZAFlubhsgE_0000053 1077.7 1086.6 
Patrick_Swayze/rZAFlubhsgE_0000054 1096.8 1108.8 
Patrick_Swayze/rZAFlubhsgE_0000055 1130.4 1136.3 
Patrick_Swayze/rZAFlubhsgE_0000056 1137.5 1146.7 
Patrick_Swayze/rZAFlubhsgE_0000057 1146.9 1160.7 
Patrick_Swayze/rZAFlubhsgE_0000058 1163.6 1183.7 
Patrick_Swayze/rZAFlubhsgE_0000059 1185.6 1191.0 
Patrick_Swayze/rZAFlubhsgE_0000060 1213.1 1223.7 
Patrick_Swayze/rZAFlubhsgE_0000061 1224.6 1230.7 
Patrick_Swayze/rZAFlubhsgE_0000062 1232.6 1240.3 
Patrick_Swayze/rZAFlubhsgE_0000063 1241.4 1248.0 
Patrick_Swayze/rZAFlubhsgE_0000064 1256.9 1261.3 
Patrick_Swayze/rZAFlubhsgE_0000065 1284.4 1289.7 
Patrick_Swayze/rZAFlubhsgE_0000066 1336.9 1341.6 
Patrick_Swayze/rZAFlubhsgE_0000067 1342.0 1350.2 
Patrick_Swayze/rZAFlubhsgE_0000068 1351.4 1357.2 
