POI: 			Patrick_Swayze 
Youtube ID: 	Cij1T-c3ci8 
Video length: 	1628.8 sec 
Set (V): 		dev 
 
Patrick_Swayze/Cij1T-c3ci8_0000001 28.4 35.0 
Patrick_Swayze/Cij1T-c3ci8_0000002 51.0 55.9 
Patrick_Swayze/Cij1T-c3ci8_0000003 68.6 74.0 
Patrick_Swayze/Cij1T-c3ci8_0000004 102.1 107.9 
Patrick_Swayze/Cij1T-c3ci8_0000005 177.8 182.0 
Patrick_Swayze/Cij1T-c3ci8_0000006 183.0 187.0 
Patrick_Swayze/Cij1T-c3ci8_0000007 199.7 206.3 
Patrick_Swayze/Cij1T-c3ci8_0000008 232.6 237.0 
Patrick_Swayze/Cij1T-c3ci8_0000009 280.9 285.0 
Patrick_Swayze/Cij1T-c3ci8_0000010 287.4 293.3 
Patrick_Swayze/Cij1T-c3ci8_0000011 298.0 302.1 
Patrick_Swayze/Cij1T-c3ci8_0000012 311.8 319.3 
Patrick_Swayze/Cij1T-c3ci8_0000013 322.8 326.8 
Patrick_Swayze/Cij1T-c3ci8_0000014 416.7 422.9 
Patrick_Swayze/Cij1T-c3ci8_0000015 434.4 441.7 
Patrick_Swayze/Cij1T-c3ci8_0000016 443.8 451.1 
Patrick_Swayze/Cij1T-c3ci8_0000017 459.1 463.6 
Patrick_Swayze/Cij1T-c3ci8_0000018 533.8 538.7 
Patrick_Swayze/Cij1T-c3ci8_0000019 612.8 617.1 
Patrick_Swayze/Cij1T-c3ci8_0000020 624.0 628.7 
Patrick_Swayze/Cij1T-c3ci8_0000021 631.3 635.5 
Patrick_Swayze/Cij1T-c3ci8_0000022 647.5 654.6 
Patrick_Swayze/Cij1T-c3ci8_0000023 655.9 664.6 
Patrick_Swayze/Cij1T-c3ci8_0000024 675.6 685.8 
Patrick_Swayze/Cij1T-c3ci8_0000025 716.9 724.1 
Patrick_Swayze/Cij1T-c3ci8_0000026 737.5 746.2 
Patrick_Swayze/Cij1T-c3ci8_0000027 796.0 801.5 
Patrick_Swayze/Cij1T-c3ci8_0000028 811.8 815.7 
Patrick_Swayze/Cij1T-c3ci8_0000029 828.6 833.4 
Patrick_Swayze/Cij1T-c3ci8_0000030 851.9 856.7 
Patrick_Swayze/Cij1T-c3ci8_0000031 891.1 897.8 
Patrick_Swayze/Cij1T-c3ci8_0000032 909.6 914.6 
Patrick_Swayze/Cij1T-c3ci8_0000033 916.9 922.6 
Patrick_Swayze/Cij1T-c3ci8_0000034 939.7 949.6 
Patrick_Swayze/Cij1T-c3ci8_0000035 954.2 960.6 
Patrick_Swayze/Cij1T-c3ci8_0000036 966.8 972.5 
Patrick_Swayze/Cij1T-c3ci8_0000037 991.1 995.4 
Patrick_Swayze/Cij1T-c3ci8_0000038 1032.6 1036.9 
Patrick_Swayze/Cij1T-c3ci8_0000039 1043.3 1048.1 
Patrick_Swayze/Cij1T-c3ci8_0000040 1059.0 1068.8 
Patrick_Swayze/Cij1T-c3ci8_0000041 1078.9 1084.2 
Patrick_Swayze/Cij1T-c3ci8_0000042 1085.7 1091.4 
Patrick_Swayze/Cij1T-c3ci8_0000043 1113.3 1118.4 
Patrick_Swayze/Cij1T-c3ci8_0000044 1118.6 1124.2 
Patrick_Swayze/Cij1T-c3ci8_0000045 1128.7 1136.0 
Patrick_Swayze/Cij1T-c3ci8_0000046 1204.6 1211.8 
