POI: 			Thomas_Haden_Church 
Youtube ID: 	7hQ0Kdh19_0 
Video length: 	251.5 sec 
Set (V): 		dev 
 
Thomas_Haden_Church/7hQ0Kdh19_0_0000001 20.0 26.8 
Thomas_Haden_Church/7hQ0Kdh19_0_0000002 28.2 34.0 
Thomas_Haden_Church/7hQ0Kdh19_0_0000003 34.7 39.4 
Thomas_Haden_Church/7hQ0Kdh19_0_0000004 40.0 47.4 
Thomas_Haden_Church/7hQ0Kdh19_0_0000005 52.7 60.4 
Thomas_Haden_Church/7hQ0Kdh19_0_0000006 61.2 82.8 
Thomas_Haden_Church/7hQ0Kdh19_0_0000007 83.8 92.2 
Thomas_Haden_Church/7hQ0Kdh19_0_0000008 106.2 113.9 
Thomas_Haden_Church/7hQ0Kdh19_0_0000009 114.0 127.5 
Thomas_Haden_Church/7hQ0Kdh19_0_0000010 134.2 138.3 
Thomas_Haden_Church/7hQ0Kdh19_0_0000011 139.2 148.2 
Thomas_Haden_Church/7hQ0Kdh19_0_0000012 162.0 166.7 
Thomas_Haden_Church/7hQ0Kdh19_0_0000013 167.5 173.2 
Thomas_Haden_Church/7hQ0Kdh19_0_0000014 174.6 200.2 
Thomas_Haden_Church/7hQ0Kdh19_0_0000015 206.2 215.3 
Thomas_Haden_Church/7hQ0Kdh19_0_0000016 215.8 239.7 
Thomas_Haden_Church/7hQ0Kdh19_0_0000017 241.2 246.6 
Thomas_Haden_Church/7hQ0Kdh19_0_0000018 187.6 197.6 
Thomas_Haden_Church/7hQ0Kdh19_0_0000019 234.6 239.8 
