POI: 			Vincent_Cassel 
Youtube ID: 	Rp83Xx3bSjE 
Video length: 	1851.2 sec 
Set (V): 		dev 
 
Vincent_Cassel/Rp83Xx3bSjE_0000001 28.2 41.1 
Vincent_Cassel/Rp83Xx3bSjE_0000002 53.4 57.4 
Vincent_Cassel/Rp83Xx3bSjE_0000003 73.8 84.7 
Vincent_Cassel/Rp83Xx3bSjE_0000004 85.4 89.8 
Vincent_Cassel/Rp83Xx3bSjE_0000005 91.2 97.4 
Vincent_Cassel/Rp83Xx3bSjE_0000006 117.6 128.9 
Vincent_Cassel/Rp83Xx3bSjE_0000007 129.7 141.4 
Vincent_Cassel/Rp83Xx3bSjE_0000008 141.8 146.9 
Vincent_Cassel/Rp83Xx3bSjE_0000009 147.9 175.8 
Vincent_Cassel/Rp83Xx3bSjE_0000010 178.0 197.0 
Vincent_Cassel/Rp83Xx3bSjE_0000011 202.7 207.6 
Vincent_Cassel/Rp83Xx3bSjE_0000012 210.6 216.8 
Vincent_Cassel/Rp83Xx3bSjE_0000013 222.4 231.6 
Vincent_Cassel/Rp83Xx3bSjE_0000014 233.9 245.9 
Vincent_Cassel/Rp83Xx3bSjE_0000015 263.7 276.2 
Vincent_Cassel/Rp83Xx3bSjE_0000016 278.4 290.2 
Vincent_Cassel/Rp83Xx3bSjE_0000017 292.6 300.0 
Vincent_Cassel/Rp83Xx3bSjE_0000018 300.6 312.3 
Vincent_Cassel/Rp83Xx3bSjE_0000019 320.4 327.2 
Vincent_Cassel/Rp83Xx3bSjE_0000020 327.9 332.2 
Vincent_Cassel/Rp83Xx3bSjE_0000021 332.6 337.7 
Vincent_Cassel/Rp83Xx3bSjE_0000022 340.3 356.0 
Vincent_Cassel/Rp83Xx3bSjE_0000023 359.4 368.9 
Vincent_Cassel/Rp83Xx3bSjE_0000024 375.2 388.0 
Vincent_Cassel/Rp83Xx3bSjE_0000025 391.1 408.9 
Vincent_Cassel/Rp83Xx3bSjE_0000026 415.3 426.6 
Vincent_Cassel/Rp83Xx3bSjE_0000027 430.4 442.2 
Vincent_Cassel/Rp83Xx3bSjE_0000028 446.1 453.3 
Vincent_Cassel/Rp83Xx3bSjE_0000029 458.0 462.2 
Vincent_Cassel/Rp83Xx3bSjE_0000030 476.2 482.5 
Vincent_Cassel/Rp83Xx3bSjE_0000031 516.0 522.4 
Vincent_Cassel/Rp83Xx3bSjE_0000032 530.0 536.2 
Vincent_Cassel/Rp83Xx3bSjE_0000033 537.1 547.6 
Vincent_Cassel/Rp83Xx3bSjE_0000034 556.2 563.5 
Vincent_Cassel/Rp83Xx3bSjE_0000035 563.6 573.3 
