POI: 			Garrett_Hedlund 
Youtube ID: 	7u-rskIpVxE 
Video length: 	273.4 sec 
Set (V): 		dev 
 
Garrett_Hedlund/7u-rskIpVxE_0000001 42.3 60.7 
Garrett_Hedlund/7u-rskIpVxE_0000002 60.9 70.8 
Garrett_Hedlund/7u-rskIpVxE_0000003 81.6 92.8 
Garrett_Hedlund/7u-rskIpVxE_0000004 93.6 106.0 
Garrett_Hedlund/7u-rskIpVxE_0000005 118.1 122.4 
Garrett_Hedlund/7u-rskIpVxE_0000006 129.0 136.0 
Garrett_Hedlund/7u-rskIpVxE_0000007 136.4 140.8 
Garrett_Hedlund/7u-rskIpVxE_0000008 141.8 158.4 
Garrett_Hedlund/7u-rskIpVxE_0000009 159.4 163.6 
Garrett_Hedlund/7u-rskIpVxE_0000010 177.8 189.5 
Garrett_Hedlund/7u-rskIpVxE_0000011 190.4 200.5 
Garrett_Hedlund/7u-rskIpVxE_0000012 201.4 211.8 
Garrett_Hedlund/7u-rskIpVxE_0000013 216.9 225.9 
Garrett_Hedlund/7u-rskIpVxE_0000014 230.1 238.6 
Garrett_Hedlund/7u-rskIpVxE_0000015 242.1 247.3 
Garrett_Hedlund/7u-rskIpVxE_0000016 257.4 266.2 
