POI: 			Alba_Rohrwacher 
Youtube ID: 	PdW6sXPmSFM 
Video length: 	505.5 sec 
Set (V): 		dev 
 
Alba_Rohrwacher/PdW6sXPmSFM_0000001 98.1 103.4 
Alba_Rohrwacher/PdW6sXPmSFM_0000002 105.0 109.4 
Alba_Rohrwacher/PdW6sXPmSFM_0000003 111.2 117.4 
Alba_Rohrwacher/PdW6sXPmSFM_0000004 117.8 122.4 
Alba_Rohrwacher/PdW6sXPmSFM_0000005 122.6 126.8 
Alba_Rohrwacher/PdW6sXPmSFM_0000006 157.9 162.7 
Alba_Rohrwacher/PdW6sXPmSFM_0000007 163.6 168.6 
Alba_Rohrwacher/PdW6sXPmSFM_0000008 169.9 179.6 
Alba_Rohrwacher/PdW6sXPmSFM_0000009 181.6 187.1 
Alba_Rohrwacher/PdW6sXPmSFM_0000010 258.2 265.4 
Alba_Rohrwacher/PdW6sXPmSFM_0000011 275.2 280.6 
Alba_Rohrwacher/PdW6sXPmSFM_0000012 282.4 289.5 
Alba_Rohrwacher/PdW6sXPmSFM_0000013 291.8 302.4 
Alba_Rohrwacher/PdW6sXPmSFM_0000014 304.6 313.9 
Alba_Rohrwacher/PdW6sXPmSFM_0000015 315.1 328.7 
Alba_Rohrwacher/PdW6sXPmSFM_0000016 404.8 410.2 
Alba_Rohrwacher/PdW6sXPmSFM_0000017 410.7 417.9 
Alba_Rohrwacher/PdW6sXPmSFM_0000018 424.8 431.5 
Alba_Rohrwacher/PdW6sXPmSFM_0000019 432.1 436.9 
Alba_Rohrwacher/PdW6sXPmSFM_0000020 447.5 458.2 
Alba_Rohrwacher/PdW6sXPmSFM_0000021 476.6 481.8 
Alba_Rohrwacher/PdW6sXPmSFM_0000022 490.2 500.8 
