POI: 			Sonja_Sohn 
Youtube ID: 	a_GeH7Tnzag 
Video length: 	3533.6 sec 
Set (V): 		dev 
 
Sonja_Sohn/a_GeH7Tnzag_0000001 38.8 43.8 
Sonja_Sohn/a_GeH7Tnzag_0000002 44.0 48.6 
Sonja_Sohn/a_GeH7Tnzag_0000003 69.8 77.6 
Sonja_Sohn/a_GeH7Tnzag_0000004 79.2 85.1 
Sonja_Sohn/a_GeH7Tnzag_0000005 124.1 131.8 
Sonja_Sohn/a_GeH7Tnzag_0000006 132.6 137.8 
Sonja_Sohn/a_GeH7Tnzag_0000007 86.2 95.4 
Sonja_Sohn/a_GeH7Tnzag_0000008 141.6 153.4 
Sonja_Sohn/a_GeH7Tnzag_0000009 153.6 162.6 
Sonja_Sohn/a_GeH7Tnzag_0000010 166.7 172.2 
Sonja_Sohn/a_GeH7Tnzag_0000011 176.3 182.3 
Sonja_Sohn/a_GeH7Tnzag_0000012 183.5 192.1 
Sonja_Sohn/a_GeH7Tnzag_0000013 198.6 203.4 
Sonja_Sohn/a_GeH7Tnzag_0000014 210.1 229.9 
Sonja_Sohn/a_GeH7Tnzag_0000015 258.6 265.7 
Sonja_Sohn/a_GeH7Tnzag_0000016 274.6 278.8 
Sonja_Sohn/a_GeH7Tnzag_0000017 280.0 285.3 
Sonja_Sohn/a_GeH7Tnzag_0000018 290.1 295.8 
Sonja_Sohn/a_GeH7Tnzag_0000019 378.8 385.0 
Sonja_Sohn/a_GeH7Tnzag_0000020 444.1 449.2 
Sonja_Sohn/a_GeH7Tnzag_0000021 451.6 458.6 
Sonja_Sohn/a_GeH7Tnzag_0000022 463.6 480.6 
Sonja_Sohn/a_GeH7Tnzag_0000023 501.4 507.6 
Sonja_Sohn/a_GeH7Tnzag_0000024 520.8 527.3 
Sonja_Sohn/a_GeH7Tnzag_0000025 577.8 593.8 
Sonja_Sohn/a_GeH7Tnzag_0000026 599.8 604.6 
Sonja_Sohn/a_GeH7Tnzag_0000027 607.2 622.0 
Sonja_Sohn/a_GeH7Tnzag_0000028 623.2 637.6 
Sonja_Sohn/a_GeH7Tnzag_0000029 638.3 649.6 
Sonja_Sohn/a_GeH7Tnzag_0000030 799.4 814.8 
Sonja_Sohn/a_GeH7Tnzag_0000031 815.4 831.3 
Sonja_Sohn/a_GeH7Tnzag_0000032 832.2 837.9 
Sonja_Sohn/a_GeH7Tnzag_0000033 839.6 848.4 
Sonja_Sohn/a_GeH7Tnzag_0000034 850.8 854.8 
Sonja_Sohn/a_GeH7Tnzag_0000035 855.4 872.9 
Sonja_Sohn/a_GeH7Tnzag_0000036 873.7 889.2 
Sonja_Sohn/a_GeH7Tnzag_0000037 893.6 901.4 
Sonja_Sohn/a_GeH7Tnzag_0000038 903.3 925.4 
Sonja_Sohn/a_GeH7Tnzag_0000039 925.6 930.2 
Sonja_Sohn/a_GeH7Tnzag_0000040 1009.2 1015.2 
Sonja_Sohn/a_GeH7Tnzag_0000041 1028.3 1035.1 
Sonja_Sohn/a_GeH7Tnzag_0000042 1035.9 1042.6 
Sonja_Sohn/a_GeH7Tnzag_0000043 1047.9 1053.6 
Sonja_Sohn/a_GeH7Tnzag_0000044 1056.1 1063.4 
Sonja_Sohn/a_GeH7Tnzag_0000045 1075.1 1082.2 
Sonja_Sohn/a_GeH7Tnzag_0000046 1083.0 1089.6 
Sonja_Sohn/a_GeH7Tnzag_0000047 1102.2 1106.7 
Sonja_Sohn/a_GeH7Tnzag_0000048 1107.6 1114.1 
Sonja_Sohn/a_GeH7Tnzag_0000049 1115.1 1120.8 
Sonja_Sohn/a_GeH7Tnzag_0000050 1121.3 1128.5 
Sonja_Sohn/a_GeH7Tnzag_0000051 1129.3 1139.9 
Sonja_Sohn/a_GeH7Tnzag_0000052 1145.1 1153.0 
Sonja_Sohn/a_GeH7Tnzag_0000053 1158.1 1173.6 
Sonja_Sohn/a_GeH7Tnzag_0000054 1293.4 1301.5 
Sonja_Sohn/a_GeH7Tnzag_0000055 1301.6 1307.1 
Sonja_Sohn/a_GeH7Tnzag_0000056 1307.2 1312.3 
Sonja_Sohn/a_GeH7Tnzag_0000057 1327.6 1335.4 
Sonja_Sohn/a_GeH7Tnzag_0000058 1335.5 1354.8 
Sonja_Sohn/a_GeH7Tnzag_0000059 1355.0 1401.0 
Sonja_Sohn/a_GeH7Tnzag_0000060 1401.6 1406.0 
Sonja_Sohn/a_GeH7Tnzag_0000061 1411.3 1416.2 
Sonja_Sohn/a_GeH7Tnzag_0000062 1416.8 1423.5 
Sonja_Sohn/a_GeH7Tnzag_0000063 1426.8 1434.2 
Sonja_Sohn/a_GeH7Tnzag_0000064 1436.7 1450.2 
Sonja_Sohn/a_GeH7Tnzag_0000065 1450.5 1459.0 
Sonja_Sohn/a_GeH7Tnzag_0000066 1647.5 1651.4 
Sonja_Sohn/a_GeH7Tnzag_0000067 1653.5 1666.0 
Sonja_Sohn/a_GeH7Tnzag_0000068 1709.3 1715.5 
Sonja_Sohn/a_GeH7Tnzag_0000069 1724.2 1732.0 
Sonja_Sohn/a_GeH7Tnzag_0000070 1738.4 1752.4 
Sonja_Sohn/a_GeH7Tnzag_0000071 1752.7 1774.0 
Sonja_Sohn/a_GeH7Tnzag_0000072 1811.8 1822.1 
Sonja_Sohn/a_GeH7Tnzag_0000073 1822.4 1834.0 
Sonja_Sohn/a_GeH7Tnzag_0000074 1839.8 1845.4 
Sonja_Sohn/a_GeH7Tnzag_0000075 1859.6 1864.7 
Sonja_Sohn/a_GeH7Tnzag_0000076 1866.1 1873.8 
Sonja_Sohn/a_GeH7Tnzag_0000077 1874.6 1897.6 
Sonja_Sohn/a_GeH7Tnzag_0000078 1899.1 1909.0 
Sonja_Sohn/a_GeH7Tnzag_0000079 1924.1 1932.0 
Sonja_Sohn/a_GeH7Tnzag_0000080 1938.4 1944.7 
Sonja_Sohn/a_GeH7Tnzag_0000081 1945.1 1953.4 
Sonja_Sohn/a_GeH7Tnzag_0000082 1964.5 1970.8 
Sonja_Sohn/a_GeH7Tnzag_0000083 1971.8 1982.2 
Sonja_Sohn/a_GeH7Tnzag_0000084 1984.3 1989.3 
Sonja_Sohn/a_GeH7Tnzag_0000085 1989.5 2006.2 
Sonja_Sohn/a_GeH7Tnzag_0000086 2008.3 2013.8 
Sonja_Sohn/a_GeH7Tnzag_0000087 2016.0 2024.7 
Sonja_Sohn/a_GeH7Tnzag_0000088 2026.6 2036.3 
Sonja_Sohn/a_GeH7Tnzag_0000089 2036.7 2046.4 
Sonja_Sohn/a_GeH7Tnzag_0000090 2092.0 2097.8 
Sonja_Sohn/a_GeH7Tnzag_0000091 2103.2 2107.1 
Sonja_Sohn/a_GeH7Tnzag_0000092 2114.5 2118.5 
Sonja_Sohn/a_GeH7Tnzag_0000093 2134.4 2143.1 
Sonja_Sohn/a_GeH7Tnzag_0000094 2146.3 2151.6 
Sonja_Sohn/a_GeH7Tnzag_0000095 2152.3 2170.6 
Sonja_Sohn/a_GeH7Tnzag_0000096 2171.4 2185.0 
Sonja_Sohn/a_GeH7Tnzag_0000097 2185.5 2195.0 
Sonja_Sohn/a_GeH7Tnzag_0000098 2195.8 2200.0 
Sonja_Sohn/a_GeH7Tnzag_0000099 2202.1 2211.8 
Sonja_Sohn/a_GeH7Tnzag_0000100 2212.4 2223.5 
Sonja_Sohn/a_GeH7Tnzag_0000101 2225.3 2234.7 
Sonja_Sohn/a_GeH7Tnzag_0000102 2235.5 2240.8 
Sonja_Sohn/a_GeH7Tnzag_0000103 2361.0 2369.8 
Sonja_Sohn/a_GeH7Tnzag_0000104 2373.6 2390.9 
Sonja_Sohn/a_GeH7Tnzag_0000105 2392.4 2408.2 
Sonja_Sohn/a_GeH7Tnzag_0000106 2361.1 2369.8 
Sonja_Sohn/a_GeH7Tnzag_0000107 2410.0 2424.4 
Sonja_Sohn/a_GeH7Tnzag_0000108 2432.2 2441.6 
Sonja_Sohn/a_GeH7Tnzag_0000109 2460.1 2471.2 
Sonja_Sohn/a_GeH7Tnzag_0000110 2472.2 2477.7 
Sonja_Sohn/a_GeH7Tnzag_0000111 2479.0 2493.3 
Sonja_Sohn/a_GeH7Tnzag_0000112 2495.4 2505.9 
Sonja_Sohn/a_GeH7Tnzag_0000113 2506.0 2512.0 
Sonja_Sohn/a_GeH7Tnzag_0000114 2514.6 2518.7 
Sonja_Sohn/a_GeH7Tnzag_0000115 2595.9 2602.6 
Sonja_Sohn/a_GeH7Tnzag_0000116 2602.8 2633.6 
Sonja_Sohn/a_GeH7Tnzag_0000117 2634.3 2639.8 
Sonja_Sohn/a_GeH7Tnzag_0000118 2632.2 2640.0 
Sonja_Sohn/a_GeH7Tnzag_0000119 2640.2 2648.9 
Sonja_Sohn/a_GeH7Tnzag_0000120 2649.2 2659.8 
Sonja_Sohn/a_GeH7Tnzag_0000121 2664.6 2673.9 
Sonja_Sohn/a_GeH7Tnzag_0000122 2674.5 2693.0 
Sonja_Sohn/a_GeH7Tnzag_0000123 2702.6 2707.0 
Sonja_Sohn/a_GeH7Tnzag_0000124 2707.2 2714.2 
Sonja_Sohn/a_GeH7Tnzag_0000125 2736.2 2743.2 
Sonja_Sohn/a_GeH7Tnzag_0000126 2744.4 2760.1 
Sonja_Sohn/a_GeH7Tnzag_0000127 2799.6 2820.6 
Sonja_Sohn/a_GeH7Tnzag_0000128 2821.0 2837.5 
Sonja_Sohn/a_GeH7Tnzag_0000129 2852.2 2875.4 
Sonja_Sohn/a_GeH7Tnzag_0000130 2935.8 2940.6 
Sonja_Sohn/a_GeH7Tnzag_0000131 2941.4 2955.9 
Sonja_Sohn/a_GeH7Tnzag_0000132 2956.2 2960.9 
Sonja_Sohn/a_GeH7Tnzag_0000133 2961.4 2970.7 
Sonja_Sohn/a_GeH7Tnzag_0000134 2971.0 2975.9 
Sonja_Sohn/a_GeH7Tnzag_0000135 2976.2 2981.4 
Sonja_Sohn/a_GeH7Tnzag_0000136 2992.7 2996.9 
Sonja_Sohn/a_GeH7Tnzag_0000137 3013.0 3025.1 
Sonja_Sohn/a_GeH7Tnzag_0000138 3026.0 3031.1 
Sonja_Sohn/a_GeH7Tnzag_0000139 3031.3 3041.6 
Sonja_Sohn/a_GeH7Tnzag_0000140 3042.5 3048.0 
Sonja_Sohn/a_GeH7Tnzag_0000141 3053.0 3057.9 
Sonja_Sohn/a_GeH7Tnzag_0000142 3062.8 3080.1 
Sonja_Sohn/a_GeH7Tnzag_0000143 3174.5 3179.3 
Sonja_Sohn/a_GeH7Tnzag_0000144 3226.9 3232.6 
Sonja_Sohn/a_GeH7Tnzag_0000145 3250.5 3254.8 
Sonja_Sohn/a_GeH7Tnzag_0000146 3259.5 3263.7 
Sonja_Sohn/a_GeH7Tnzag_0000147 3281.6 3285.8 
Sonja_Sohn/a_GeH7Tnzag_0000148 3304.6 3308.7 
Sonja_Sohn/a_GeH7Tnzag_0000149 3309.2 3326.0 
Sonja_Sohn/a_GeH7Tnzag_0000150 3339.7 3352.8 
Sonja_Sohn/a_GeH7Tnzag_0000151 3357.5 3370.2 
Sonja_Sohn/a_GeH7Tnzag_0000152 3370.8 3376.1 
Sonja_Sohn/a_GeH7Tnzag_0000153 3381.3 3387.5 
Sonja_Sohn/a_GeH7Tnzag_0000154 3392.0 3405.1 
Sonja_Sohn/a_GeH7Tnzag_0000155 3410.0 3429.7 
Sonja_Sohn/a_GeH7Tnzag_0000156 3431.5 3443.6 
