POI: 			Wendell_Pierce 
Youtube ID: 	YhZ6J4UvdGo 
Video length: 	1607.3 sec 
Set (V): 		dev 
 
Wendell_Pierce/YhZ6J4UvdGo_0000001 156.2 160.5 
Wendell_Pierce/YhZ6J4UvdGo_0000002 174.5 184.4 
Wendell_Pierce/YhZ6J4UvdGo_0000003 189.8 194.6 
Wendell_Pierce/YhZ6J4UvdGo_0000004 208.6 222.1 
Wendell_Pierce/YhZ6J4UvdGo_0000005 262.8 268.0 
Wendell_Pierce/YhZ6J4UvdGo_0000006 274.6 280.9 
Wendell_Pierce/YhZ6J4UvdGo_0000007 285.2 292.5 
Wendell_Pierce/YhZ6J4UvdGo_0000008 299.6 303.8 
Wendell_Pierce/YhZ6J4UvdGo_0000009 352.5 357.6 
Wendell_Pierce/YhZ6J4UvdGo_0000010 358.4 362.7 
Wendell_Pierce/YhZ6J4UvdGo_0000011 374.2 379.1 
Wendell_Pierce/YhZ6J4UvdGo_0000012 398.3 404.1 
Wendell_Pierce/YhZ6J4UvdGo_0000013 503.8 508.9 
Wendell_Pierce/YhZ6J4UvdGo_0000014 520.1 527.3 
Wendell_Pierce/YhZ6J4UvdGo_0000015 528.5 534.6 
Wendell_Pierce/YhZ6J4UvdGo_0000016 537.1 546.5 
Wendell_Pierce/YhZ6J4UvdGo_0000017 594.4 599.0 
Wendell_Pierce/YhZ6J4UvdGo_0000018 606.4 612.8 
Wendell_Pierce/YhZ6J4UvdGo_0000019 615.1 625.4 
Wendell_Pierce/YhZ6J4UvdGo_0000020 643.8 647.8 
Wendell_Pierce/YhZ6J4UvdGo_0000021 673.0 677.3 
Wendell_Pierce/YhZ6J4UvdGo_0000022 739.6 749.6 
Wendell_Pierce/YhZ6J4UvdGo_0000023 769.2 774.8 
Wendell_Pierce/YhZ6J4UvdGo_0000024 806.4 811.9 
Wendell_Pierce/YhZ6J4UvdGo_0000025 854.6 858.8 
Wendell_Pierce/YhZ6J4UvdGo_0000026 858.9 865.4 
Wendell_Pierce/YhZ6J4UvdGo_0000027 875.2 882.2 
Wendell_Pierce/YhZ6J4UvdGo_0000028 920.2 925.4 
Wendell_Pierce/YhZ6J4UvdGo_0000029 1009.9 1014.8 
Wendell_Pierce/YhZ6J4UvdGo_0000030 1026.2 1032.7 
Wendell_Pierce/YhZ6J4UvdGo_0000031 1053.1 1057.1 
Wendell_Pierce/YhZ6J4UvdGo_0000032 1101.8 1106.6 
Wendell_Pierce/YhZ6J4UvdGo_0000033 1115.2 1120.2 
Wendell_Pierce/YhZ6J4UvdGo_0000034 1150.7 1156.4 
Wendell_Pierce/YhZ6J4UvdGo_0000035 1157.7 1161.8 
Wendell_Pierce/YhZ6J4UvdGo_0000036 1166.2 1171.6 
Wendell_Pierce/YhZ6J4UvdGo_0000037 1173.2 1178.4 
Wendell_Pierce/YhZ6J4UvdGo_0000038 1237.8 1243.9 
Wendell_Pierce/YhZ6J4UvdGo_0000039 1246.0 1251.1 
Wendell_Pierce/YhZ6J4UvdGo_0000040 1264.1 1270.0 
Wendell_Pierce/YhZ6J4UvdGo_0000041 1298.6 1305.3 
Wendell_Pierce/YhZ6J4UvdGo_0000042 1365.1 1370.1 
Wendell_Pierce/YhZ6J4UvdGo_0000043 1370.4 1374.5 
Wendell_Pierce/YhZ6J4UvdGo_0000044 1387.0 1392.1 
Wendell_Pierce/YhZ6J4UvdGo_0000045 1485.8 1492.8 
Wendell_Pierce/YhZ6J4UvdGo_0000046 1518.8 1523.6 
Wendell_Pierce/YhZ6J4UvdGo_0000047 1544.2 1555.0 
