POI: 			Regina_Hall 
Youtube ID: 	OHDRhzSfICk 
Video length: 	970.3 sec 
Set (V): 		dev 
 
Regina_Hall/OHDRhzSfICk_0000001 00.7 09.1 
Regina_Hall/OHDRhzSfICk_0000002 50.9 56.9 
Regina_Hall/OHDRhzSfICk_0000003 61.4 72.9 
Regina_Hall/OHDRhzSfICk_0000004 75.5 80.3 
Regina_Hall/OHDRhzSfICk_0000005 88.2 92.8 
Regina_Hall/OHDRhzSfICk_0000006 141.3 147.4 
Regina_Hall/OHDRhzSfICk_0000007 148.2 153.3 
Regina_Hall/OHDRhzSfICk_0000008 186.0 190.3 
Regina_Hall/OHDRhzSfICk_0000009 193.7 198.3 
Regina_Hall/OHDRhzSfICk_0000010 222.5 228.2 
Regina_Hall/OHDRhzSfICk_0000011 234.2 238.2 
Regina_Hall/OHDRhzSfICk_0000012 294.0 305.9 
Regina_Hall/OHDRhzSfICk_0000013 314.9 322.5 
Regina_Hall/OHDRhzSfICk_0000014 323.4 332.6 
Regina_Hall/OHDRhzSfICk_0000015 341.6 346.7 
Regina_Hall/OHDRhzSfICk_0000016 366.8 371.9 
Regina_Hall/OHDRhzSfICk_0000017 373.3 379.7 
Regina_Hall/OHDRhzSfICk_0000018 387.3 394.0 
Regina_Hall/OHDRhzSfICk_0000019 432.6 436.6 
Regina_Hall/OHDRhzSfICk_0000020 437.6 443.2 
Regina_Hall/OHDRhzSfICk_0000021 446.8 458.4 
Regina_Hall/OHDRhzSfICk_0000022 482.8 494.8 
Regina_Hall/OHDRhzSfICk_0000023 530.7 539.7 
Regina_Hall/OHDRhzSfICk_0000024 550.5 556.2 
Regina_Hall/OHDRhzSfICk_0000025 597.9 601.8 
Regina_Hall/OHDRhzSfICk_0000026 602.8 607.8 
Regina_Hall/OHDRhzSfICk_0000027 630.0 645.3 
Regina_Hall/OHDRhzSfICk_0000028 645.5 651.2 
Regina_Hall/OHDRhzSfICk_0000029 664.6 670.0 
Regina_Hall/OHDRhzSfICk_0000030 674.3 683.8 
Regina_Hall/OHDRhzSfICk_0000031 687.6 692.6 
Regina_Hall/OHDRhzSfICk_0000032 710.4 714.6 
Regina_Hall/OHDRhzSfICk_0000033 748.9 756.8 
Regina_Hall/OHDRhzSfICk_0000034 775.3 783.6 
Regina_Hall/OHDRhzSfICk_0000035 785.5 795.3 
Regina_Hall/OHDRhzSfICk_0000036 796.6 806.8 
Regina_Hall/OHDRhzSfICk_0000037 808.3 812.8 
Regina_Hall/OHDRhzSfICk_0000038 797.0 815.9 
Regina_Hall/OHDRhzSfICk_0000039 852.2 856.2 
Regina_Hall/OHDRhzSfICk_0000040 857.5 864.4 
Regina_Hall/OHDRhzSfICk_0000041 869.6 875.8 
Regina_Hall/OHDRhzSfICk_0000042 890.0 894.1 
Regina_Hall/OHDRhzSfICk_0000043 904.3 918.2 
Regina_Hall/OHDRhzSfICk_0000044 920.1 936.1 
