POI: 			Kate_Mulgrew 
Youtube ID: 	71DxnZPSimA 
Video length: 	460.2 sec 
Set (V): 		dev 
 
Kate_Mulgrew/71DxnZPSimA_0000001 33.1 38.1 
Kate_Mulgrew/71DxnZPSimA_0000002 39.8 46.2 
Kate_Mulgrew/71DxnZPSimA_0000003 61.7 66.7 
Kate_Mulgrew/71DxnZPSimA_0000004 67.6 72.3 
Kate_Mulgrew/71DxnZPSimA_0000005 72.6 79.1 
Kate_Mulgrew/71DxnZPSimA_0000006 107.1 111.6 
Kate_Mulgrew/71DxnZPSimA_0000007 120.5 135.6 
Kate_Mulgrew/71DxnZPSimA_0000008 136.9 150.9 
Kate_Mulgrew/71DxnZPSimA_0000009 151.9 156.0 
Kate_Mulgrew/71DxnZPSimA_0000010 173.8 178.5 
Kate_Mulgrew/71DxnZPSimA_0000011 207.8 217.2 
Kate_Mulgrew/71DxnZPSimA_0000012 217.4 225.2 
Kate_Mulgrew/71DxnZPSimA_0000013 234.8 240.8 
Kate_Mulgrew/71DxnZPSimA_0000014 248.3 253.1 
Kate_Mulgrew/71DxnZPSimA_0000015 253.3 257.4 
Kate_Mulgrew/71DxnZPSimA_0000016 332.0 340.3 
