POI: 			Goran_Visnjic 
Youtube ID: 	eFZzhwgI50I 
Video length: 	822.8 sec 
Set (V): 		dev 
 
Goran_Visnjic/eFZzhwgI50I_0000001 21.4 34.8 
Goran_Visnjic/eFZzhwgI50I_0000002 35.2 40.5 
Goran_Visnjic/eFZzhwgI50I_0000003 46.4 54.6 
Goran_Visnjic/eFZzhwgI50I_0000004 55.6 73.6 
Goran_Visnjic/eFZzhwgI50I_0000005 74.4 84.7 
Goran_Visnjic/eFZzhwgI50I_0000006 85.6 97.7 
Goran_Visnjic/eFZzhwgI50I_0000007 99.8 105.1 
Goran_Visnjic/eFZzhwgI50I_0000008 105.5 112.3 
Goran_Visnjic/eFZzhwgI50I_0000009 116.7 124.5 
Goran_Visnjic/eFZzhwgI50I_0000010 132.2 143.8 
Goran_Visnjic/eFZzhwgI50I_0000011 144.6 152.8 
Goran_Visnjic/eFZzhwgI50I_0000012 162.1 167.2 
Goran_Visnjic/eFZzhwgI50I_0000013 167.3 173.3 
Goran_Visnjic/eFZzhwgI50I_0000014 176.3 189.6 
Goran_Visnjic/eFZzhwgI50I_0000015 206.7 214.8 
Goran_Visnjic/eFZzhwgI50I_0000016 215.6 221.0 
Goran_Visnjic/eFZzhwgI50I_0000017 221.5 248.4 
Goran_Visnjic/eFZzhwgI50I_0000018 248.6 255.8 
Goran_Visnjic/eFZzhwgI50I_0000019 264.3 269.5 
Goran_Visnjic/eFZzhwgI50I_0000020 270.0 284.9 
Goran_Visnjic/eFZzhwgI50I_0000021 285.2 295.2 
Goran_Visnjic/eFZzhwgI50I_0000022 295.9 303.6 
Goran_Visnjic/eFZzhwgI50I_0000023 304.2 311.2 
Goran_Visnjic/eFZzhwgI50I_0000024 316.2 323.0 
Goran_Visnjic/eFZzhwgI50I_0000025 344.4 362.0 
Goran_Visnjic/eFZzhwgI50I_0000026 365.1 380.9 
Goran_Visnjic/eFZzhwgI50I_0000027 381.0 385.6 
Goran_Visnjic/eFZzhwgI50I_0000028 385.8 392.2 
Goran_Visnjic/eFZzhwgI50I_0000029 402.2 406.7 
Goran_Visnjic/eFZzhwgI50I_0000030 412.5 416.8 
Goran_Visnjic/eFZzhwgI50I_0000031 423.0 428.4 
Goran_Visnjic/eFZzhwgI50I_0000032 412.1 417.1 
Goran_Visnjic/eFZzhwgI50I_0000033 423.1 434.1 
Goran_Visnjic/eFZzhwgI50I_0000034 434.2 440.9 
Goran_Visnjic/eFZzhwgI50I_0000035 446.6 450.9 
