POI: 			Don_Rickles 
Youtube ID: 	bC6tUNIR9V0 
Video length: 	3174.5 sec 
Set (V): 		dev 
 
Don_Rickles/bC6tUNIR9V0_0000001 51.2 61.9 
Don_Rickles/bC6tUNIR9V0_0000002 67.3 78.0 
Don_Rickles/bC6tUNIR9V0_0000003 90.5 102.1 
Don_Rickles/bC6tUNIR9V0_0000004 114.2 124.7 
Don_Rickles/bC6tUNIR9V0_0000005 136.5 143.2 
Don_Rickles/bC6tUNIR9V0_0000006 143.3 148.4 
Don_Rickles/bC6tUNIR9V0_0000007 175.1 184.3 
Don_Rickles/bC6tUNIR9V0_0000008 184.6 189.4 
Don_Rickles/bC6tUNIR9V0_0000009 199.7 208.6 
Don_Rickles/bC6tUNIR9V0_0000010 214.4 222.0 
Don_Rickles/bC6tUNIR9V0_0000011 222.1 226.5 
Don_Rickles/bC6tUNIR9V0_0000012 226.6 235.7 
Don_Rickles/bC6tUNIR9V0_0000013 241.6 246.6 
Don_Rickles/bC6tUNIR9V0_0000014 246.8 254.2 
Don_Rickles/bC6tUNIR9V0_0000015 255.6 259.6 
Don_Rickles/bC6tUNIR9V0_0000016 282.2 286.7 
Don_Rickles/bC6tUNIR9V0_0000017 293.8 300.0 
Don_Rickles/bC6tUNIR9V0_0000018 311.6 316.4 
Don_Rickles/bC6tUNIR9V0_0000019 333.8 340.7 
Don_Rickles/bC6tUNIR9V0_0000020 341.7 358.9 
Don_Rickles/bC6tUNIR9V0_0000021 396.6 410.8 
Don_Rickles/bC6tUNIR9V0_0000022 400.6 411.1 
Don_Rickles/bC6tUNIR9V0_0000023 430.6 441.7 
Don_Rickles/bC6tUNIR9V0_0000024 461.4 470.6 
Don_Rickles/bC6tUNIR9V0_0000025 480.2 485.8 
Don_Rickles/bC6tUNIR9V0_0000026 489.2 506.4 
Don_Rickles/bC6tUNIR9V0_0000027 508.4 517.7 
Don_Rickles/bC6tUNIR9V0_0000028 518.7 524.3 
Don_Rickles/bC6tUNIR9V0_0000029 510.4 514.6 
Don_Rickles/bC6tUNIR9V0_0000030 536.5 545.7 
Don_Rickles/bC6tUNIR9V0_0000031 555.2 559.2 
Don_Rickles/bC6tUNIR9V0_0000032 588.5 596.0 
Don_Rickles/bC6tUNIR9V0_0000033 613.1 617.6 
Don_Rickles/bC6tUNIR9V0_0000034 637.4 642.0 
Don_Rickles/bC6tUNIR9V0_0000035 673.0 685.2 
Don_Rickles/bC6tUNIR9V0_0000036 691.6 698.5 
Don_Rickles/bC6tUNIR9V0_0000037 730.0 734.4 
Don_Rickles/bC6tUNIR9V0_0000038 735.2 744.8 
Don_Rickles/bC6tUNIR9V0_0000039 758.3 762.8 
Don_Rickles/bC6tUNIR9V0_0000040 781.0 796.6 
Don_Rickles/bC6tUNIR9V0_0000041 796.9 808.8 
Don_Rickles/bC6tUNIR9V0_0000042 810.0 820.6 
Don_Rickles/bC6tUNIR9V0_0000043 827.7 834.0 
Don_Rickles/bC6tUNIR9V0_0000044 844.3 848.4 
Don_Rickles/bC6tUNIR9V0_0000045 849.1 854.0 
Don_Rickles/bC6tUNIR9V0_0000046 860.6 866.9 
Don_Rickles/bC6tUNIR9V0_0000047 877.6 889.4 
Don_Rickles/bC6tUNIR9V0_0000048 933.0 941.6 
Don_Rickles/bC6tUNIR9V0_0000049 943.4 950.2 
Don_Rickles/bC6tUNIR9V0_0000050 952.0 958.6 
Don_Rickles/bC6tUNIR9V0_0000051 980.2 987.8 
Don_Rickles/bC6tUNIR9V0_0000052 997.8 1011.8 
Don_Rickles/bC6tUNIR9V0_0000053 1035.8 1044.8 
Don_Rickles/bC6tUNIR9V0_0000054 1050.6 1060.6 
Don_Rickles/bC6tUNIR9V0_0000055 1067.5 1073.2 
Don_Rickles/bC6tUNIR9V0_0000056 1148.9 1155.2 
Don_Rickles/bC6tUNIR9V0_0000057 1209.6 1213.8 
Don_Rickles/bC6tUNIR9V0_0000058 1218.9 1225.8 
Don_Rickles/bC6tUNIR9V0_0000059 1226.4 1232.1 
Don_Rickles/bC6tUNIR9V0_0000060 1233.5 1245.7 
Don_Rickles/bC6tUNIR9V0_0000061 1277.2 1281.4 
Don_Rickles/bC6tUNIR9V0_0000062 1303.6 1308.4 
Don_Rickles/bC6tUNIR9V0_0000063 1331.4 1339.0 
Don_Rickles/bC6tUNIR9V0_0000064 1368.2 1385.2 
Don_Rickles/bC6tUNIR9V0_0000065 1385.6 1390.5 
Don_Rickles/bC6tUNIR9V0_0000066 1427.2 1433.6 
Don_Rickles/bC6tUNIR9V0_0000067 1468.0 1472.2 
Don_Rickles/bC6tUNIR9V0_0000068 1533.3 1538.6 
Don_Rickles/bC6tUNIR9V0_0000069 1566.1 1570.2 
Don_Rickles/bC6tUNIR9V0_0000070 1622.8 1628.0 
Don_Rickles/bC6tUNIR9V0_0000071 1636.3 1645.6 
Don_Rickles/bC6tUNIR9V0_0000072 1679.7 1684.4 
Don_Rickles/bC6tUNIR9V0_0000073 1698.2 1707.4 
Don_Rickles/bC6tUNIR9V0_0000074 1795.7 1801.4 
Don_Rickles/bC6tUNIR9V0_0000075 1801.7 1808.4 
Don_Rickles/bC6tUNIR9V0_0000076 1815.3 1819.7 
Don_Rickles/bC6tUNIR9V0_0000077 1862.3 1870.9 
Don_Rickles/bC6tUNIR9V0_0000078 1877.6 1882.2 
Don_Rickles/bC6tUNIR9V0_0000079 1889.7 1896.1 
Don_Rickles/bC6tUNIR9V0_0000080 1901.8 1906.8 
Don_Rickles/bC6tUNIR9V0_0000081 1928.2 1933.9 
Don_Rickles/bC6tUNIR9V0_0000082 1934.8 1939.8 
Don_Rickles/bC6tUNIR9V0_0000083 1945.8 1962.7 
Don_Rickles/bC6tUNIR9V0_0000084 2027.8 2031.8 
Don_Rickles/bC6tUNIR9V0_0000085 2032.2 2040.4 
Don_Rickles/bC6tUNIR9V0_0000086 2067.0 2071.2 
Don_Rickles/bC6tUNIR9V0_0000087 2071.8 2077.1 
Don_Rickles/bC6tUNIR9V0_0000088 2077.4 2087.8 
