POI: 			Joaquim_de_Almeida 
Youtube ID: 	xCRzr9FEoMQ 
Video length: 	612.3 sec 
Set (V): 		dev 
 
Joaquim_de_Almeida/xCRzr9FEoMQ_0000001 21.6 28.3 
Joaquim_de_Almeida/xCRzr9FEoMQ_0000002 47.2 67.9 
Joaquim_de_Almeida/xCRzr9FEoMQ_0000003 80.4 93.0 
Joaquim_de_Almeida/xCRzr9FEoMQ_0000004 93.6 100.9 
Joaquim_de_Almeida/xCRzr9FEoMQ_0000005 101.1 112.6 
Joaquim_de_Almeida/xCRzr9FEoMQ_0000006 120.7 126.6 
Joaquim_de_Almeida/xCRzr9FEoMQ_0000007 133.4 149.2 
Joaquim_de_Almeida/xCRzr9FEoMQ_0000008 150.0 158.2 
Joaquim_de_Almeida/xCRzr9FEoMQ_0000009 158.8 164.8 
Joaquim_de_Almeida/xCRzr9FEoMQ_0000010 174.1 194.6 
Joaquim_de_Almeida/xCRzr9FEoMQ_0000011 205.2 211.6 
Joaquim_de_Almeida/xCRzr9FEoMQ_0000012 213.3 217.6 
Joaquim_de_Almeida/xCRzr9FEoMQ_0000013 233.3 245.6 
Joaquim_de_Almeida/xCRzr9FEoMQ_0000014 245.8 251.1 
Joaquim_de_Almeida/xCRzr9FEoMQ_0000015 251.2 260.0 
Joaquim_de_Almeida/xCRzr9FEoMQ_0000016 275.6 291.9 
Joaquim_de_Almeida/xCRzr9FEoMQ_0000017 315.9 321.5 
Joaquim_de_Almeida/xCRzr9FEoMQ_0000018 327.5 336.0 
Joaquim_de_Almeida/xCRzr9FEoMQ_0000019 338.8 350.7 
Joaquim_de_Almeida/xCRzr9FEoMQ_0000020 351.2 359.4 
Joaquim_de_Almeida/xCRzr9FEoMQ_0000021 370.3 375.8 
Joaquim_de_Almeida/xCRzr9FEoMQ_0000022 388.6 397.2 
Joaquim_de_Almeida/xCRzr9FEoMQ_0000023 412.9 429.3 
Joaquim_de_Almeida/xCRzr9FEoMQ_0000024 434.0 439.4 
Joaquim_de_Almeida/xCRzr9FEoMQ_0000025 446.2 453.8 
Joaquim_de_Almeida/xCRzr9FEoMQ_0000026 463.3 467.4 
Joaquim_de_Almeida/xCRzr9FEoMQ_0000027 477.8 485.3 
Joaquim_de_Almeida/xCRzr9FEoMQ_0000028 518.6 522.7 
Joaquim_de_Almeida/xCRzr9FEoMQ_0000029 523.4 537.2 
Joaquim_de_Almeida/xCRzr9FEoMQ_0000030 542.0 552.6 
Joaquim_de_Almeida/xCRzr9FEoMQ_0000031 559.2 566.2 
Joaquim_de_Almeida/xCRzr9FEoMQ_0000032 566.8 572.8 
Joaquim_de_Almeida/xCRzr9FEoMQ_0000033 579.8 584.6 
Joaquim_de_Almeida/xCRzr9FEoMQ_0000034 588.8 594.4 
