POI: 			Joaquim_de_Almeida 
Youtube ID: 	5guvacjkUq4 
Video length: 	376.9 sec 
Set (V): 		dev 
 
Joaquim_de_Almeida/5guvacjkUq4_0000001 62.4 72.4 
Joaquim_de_Almeida/5guvacjkUq4_0000002 73.4 78.0 
Joaquim_de_Almeida/5guvacjkUq4_0000003 95.7 100.4 
Joaquim_de_Almeida/5guvacjkUq4_0000004 113.2 131.8 
Joaquim_de_Almeida/5guvacjkUq4_0000005 132.4 146.2 
Joaquim_de_Almeida/5guvacjkUq4_0000006 161.6 167.0 
Joaquim_de_Almeida/5guvacjkUq4_0000007 167.9 173.6 
Joaquim_de_Almeida/5guvacjkUq4_0000008 174.1 193.6 
Joaquim_de_Almeida/5guvacjkUq4_0000009 182.8 193.6 
Joaquim_de_Almeida/5guvacjkUq4_0000010 225.8 236.0 
Joaquim_de_Almeida/5guvacjkUq4_0000011 236.7 243.4 
Joaquim_de_Almeida/5guvacjkUq4_0000012 243.6 248.8 
Joaquim_de_Almeida/5guvacjkUq4_0000013 252.3 259.4 
Joaquim_de_Almeida/5guvacjkUq4_0000014 265.0 284.8 
Joaquim_de_Almeida/5guvacjkUq4_0000015 285.6 290.3 
Joaquim_de_Almeida/5guvacjkUq4_0000016 292.1 317.2 
