POI: 			Quentin_Tarantino 
Youtube ID: 	ceG1c9eh0Kc 
Video length: 	1578.2 sec 
Set (V): 		dev 
 
Quentin_Tarantino/ceG1c9eh0Kc_0000001 08.8 14.4 
Quentin_Tarantino/ceG1c9eh0Kc_0000002 21.3 26.3 
Quentin_Tarantino/ceG1c9eh0Kc_0000003 28.4 33.0 
Quentin_Tarantino/ceG1c9eh0Kc_0000004 55.9 62.8 
Quentin_Tarantino/ceG1c9eh0Kc_0000005 63.7 83.0 
Quentin_Tarantino/ceG1c9eh0Kc_0000006 86.0 90.0 
Quentin_Tarantino/ceG1c9eh0Kc_0000007 134.9 139.6 
Quentin_Tarantino/ceG1c9eh0Kc_0000008 142.4 149.6 
Quentin_Tarantino/ceG1c9eh0Kc_0000009 152.9 158.0 
Quentin_Tarantino/ceG1c9eh0Kc_0000010 193.7 198.6 
Quentin_Tarantino/ceG1c9eh0Kc_0000011 218.2 222.6 
Quentin_Tarantino/ceG1c9eh0Kc_0000012 238.3 252.6 
Quentin_Tarantino/ceG1c9eh0Kc_0000013 266.0 270.2 
Quentin_Tarantino/ceG1c9eh0Kc_0000014 291.9 296.2 
Quentin_Tarantino/ceG1c9eh0Kc_0000015 301.5 310.7 
Quentin_Tarantino/ceG1c9eh0Kc_0000016 445.9 451.4 
Quentin_Tarantino/ceG1c9eh0Kc_0000017 458.4 462.8 
Quentin_Tarantino/ceG1c9eh0Kc_0000018 556.2 560.5 
Quentin_Tarantino/ceG1c9eh0Kc_0000019 572.6 580.8 
Quentin_Tarantino/ceG1c9eh0Kc_0000020 700.0 708.3 
Quentin_Tarantino/ceG1c9eh0Kc_0000021 768.4 774.6 
Quentin_Tarantino/ceG1c9eh0Kc_0000022 826.5 833.3 
Quentin_Tarantino/ceG1c9eh0Kc_0000023 861.7 866.0 
Quentin_Tarantino/ceG1c9eh0Kc_0000024 952.5 958.6 
Quentin_Tarantino/ceG1c9eh0Kc_0000025 961.4 968.8 
Quentin_Tarantino/ceG1c9eh0Kc_0000026 971.2 975.8 
Quentin_Tarantino/ceG1c9eh0Kc_0000027 977.7 984.8 
Quentin_Tarantino/ceG1c9eh0Kc_0000028 985.4 995.7 
Quentin_Tarantino/ceG1c9eh0Kc_0000029 999.6 1006.4 
Quentin_Tarantino/ceG1c9eh0Kc_0000030 1010.7 1023.5 
Quentin_Tarantino/ceG1c9eh0Kc_0000031 1060.9 1071.9 
Quentin_Tarantino/ceG1c9eh0Kc_0000032 1090.0 1097.4 
Quentin_Tarantino/ceG1c9eh0Kc_0000033 1103.0 1110.0 
Quentin_Tarantino/ceG1c9eh0Kc_0000034 1113.0 1119.0 
Quentin_Tarantino/ceG1c9eh0Kc_0000035 1132.6 1138.9 
Quentin_Tarantino/ceG1c9eh0Kc_0000036 1149.3 1155.2 
Quentin_Tarantino/ceG1c9eh0Kc_0000037 1163.5 1168.9 
Quentin_Tarantino/ceG1c9eh0Kc_0000038 1181.9 1189.3 
Quentin_Tarantino/ceG1c9eh0Kc_0000039 1194.1 1198.7 
Quentin_Tarantino/ceG1c9eh0Kc_0000040 1216.7 1230.9 
Quentin_Tarantino/ceG1c9eh0Kc_0000041 1238.8 1256.4 
Quentin_Tarantino/ceG1c9eh0Kc_0000042 1258.2 1262.5 
Quentin_Tarantino/ceG1c9eh0Kc_0000043 1275.2 1283.8 
Quentin_Tarantino/ceG1c9eh0Kc_0000044 1291.5 1299.0 
Quentin_Tarantino/ceG1c9eh0Kc_0000045 1304.6 1313.4 
Quentin_Tarantino/ceG1c9eh0Kc_0000046 1314.6 1320.0 
Quentin_Tarantino/ceG1c9eh0Kc_0000047 1308.5 1315.6 
Quentin_Tarantino/ceG1c9eh0Kc_0000048 1340.4 1345.5 
Quentin_Tarantino/ceG1c9eh0Kc_0000049 1351.2 1357.6 
Quentin_Tarantino/ceG1c9eh0Kc_0000050 1377.8 1383.1 
Quentin_Tarantino/ceG1c9eh0Kc_0000051 1384.2 1388.6 
Quentin_Tarantino/ceG1c9eh0Kc_0000052 1395.3 1399.7 
Quentin_Tarantino/ceG1c9eh0Kc_0000053 1400.7 1409.2 
Quentin_Tarantino/ceG1c9eh0Kc_0000054 1412.9 1431.7 
Quentin_Tarantino/ceG1c9eh0Kc_0000055 1498.8 1515.4 
Quentin_Tarantino/ceG1c9eh0Kc_0000056 1528.4 1533.8 
Quentin_Tarantino/ceG1c9eh0Kc_0000057 1538.1 1554.8 
Quentin_Tarantino/ceG1c9eh0Kc_0000058 1556.8 1575.1 
