POI: 			Quentin_Tarantino 
Youtube ID: 	zgAcOaqGUYo 
Video length: 	1368.4 sec 
Set (V): 		dev 
 
Quentin_Tarantino/zgAcOaqGUYo_0000001 46.4 50.4 
Quentin_Tarantino/zgAcOaqGUYo_0000002 162.2 167.8 
Quentin_Tarantino/zgAcOaqGUYo_0000003 201.7 207.2 
Quentin_Tarantino/zgAcOaqGUYo_0000004 261.2 271.8 
Quentin_Tarantino/zgAcOaqGUYo_0000005 272.7 294.4 
Quentin_Tarantino/zgAcOaqGUYo_0000006 301.0 306.4 
Quentin_Tarantino/zgAcOaqGUYo_0000007 308.4 313.6 
Quentin_Tarantino/zgAcOaqGUYo_0000008 316.8 330.8 
Quentin_Tarantino/zgAcOaqGUYo_0000009 335.8 346.1 
Quentin_Tarantino/zgAcOaqGUYo_0000010 498.5 508.2 
Quentin_Tarantino/zgAcOaqGUYo_0000011 508.8 516.0 
Quentin_Tarantino/zgAcOaqGUYo_0000012 520.7 525.5 
Quentin_Tarantino/zgAcOaqGUYo_0000013 525.7 537.5 
Quentin_Tarantino/zgAcOaqGUYo_0000014 538.1 545.6 
Quentin_Tarantino/zgAcOaqGUYo_0000015 581.5 587.6 
Quentin_Tarantino/zgAcOaqGUYo_0000016 593.9 600.2 
Quentin_Tarantino/zgAcOaqGUYo_0000017 600.7 614.8 
Quentin_Tarantino/zgAcOaqGUYo_0000018 698.8 704.5 
Quentin_Tarantino/zgAcOaqGUYo_0000019 719.6 731.0 
Quentin_Tarantino/zgAcOaqGUYo_0000020 740.5 748.4 
Quentin_Tarantino/zgAcOaqGUYo_0000021 752.8 757.0 
Quentin_Tarantino/zgAcOaqGUYo_0000022 769.0 777.0 
Quentin_Tarantino/zgAcOaqGUYo_0000023 788.6 792.9 
Quentin_Tarantino/zgAcOaqGUYo_0000024 793.5 798.2 
Quentin_Tarantino/zgAcOaqGUYo_0000025 863.6 869.8 
Quentin_Tarantino/zgAcOaqGUYo_0000026 872.4 876.9 
Quentin_Tarantino/zgAcOaqGUYo_0000027 877.7 884.0 
Quentin_Tarantino/zgAcOaqGUYo_0000028 956.5 965.8 
Quentin_Tarantino/zgAcOaqGUYo_0000029 969.2 982.4 
Quentin_Tarantino/zgAcOaqGUYo_0000030 1096.7 1100.7 
Quentin_Tarantino/zgAcOaqGUYo_0000031 1175.6 1183.7 
Quentin_Tarantino/zgAcOaqGUYo_0000032 1193.3 1199.2 
Quentin_Tarantino/zgAcOaqGUYo_0000033 1302.7 1307.7 
Quentin_Tarantino/zgAcOaqGUYo_0000034 1331.6 1339.2 
