POI: 			Andrew_Lee_Potts 
Youtube ID: 	whMJs28Tu_s 
Video length: 	438.8 sec 
Set (V): 		dev 
 
Andrew_Lee_Potts/whMJs28Tu_s_0000001 08.1 18.6 
Andrew_Lee_Potts/whMJs28Tu_s_0000002 18.7 24.4 
Andrew_Lee_Potts/whMJs28Tu_s_0000003 33.3 40.1 
Andrew_Lee_Potts/whMJs28Tu_s_0000004 48.3 58.0 
Andrew_Lee_Potts/whMJs28Tu_s_0000005 58.9 79.0 
Andrew_Lee_Potts/whMJs28Tu_s_0000006 81.0 87.2 
Andrew_Lee_Potts/whMJs28Tu_s_0000007 88.1 121.6 
Andrew_Lee_Potts/whMJs28Tu_s_0000008 125.9 164.7 
Andrew_Lee_Potts/whMJs28Tu_s_0000009 169.0 181.4 
Andrew_Lee_Potts/whMJs28Tu_s_0000010 186.0 200.2 
Andrew_Lee_Potts/whMJs28Tu_s_0000011 211.4 215.8 
Andrew_Lee_Potts/whMJs28Tu_s_0000012 217.8 240.5 
Andrew_Lee_Potts/whMJs28Tu_s_0000013 240.8 255.1 
Andrew_Lee_Potts/whMJs28Tu_s_0000014 260.1 264.1 
Andrew_Lee_Potts/whMJs28Tu_s_0000015 266.3 291.9 
Andrew_Lee_Potts/whMJs28Tu_s_0000016 303.4 311.0 
Andrew_Lee_Potts/whMJs28Tu_s_0000017 321.8 335.0 
Andrew_Lee_Potts/whMJs28Tu_s_0000018 343.1 351.6 
Andrew_Lee_Potts/whMJs28Tu_s_0000019 362.5 369.5 
Andrew_Lee_Potts/whMJs28Tu_s_0000020 370.4 380.4 
Andrew_Lee_Potts/whMJs28Tu_s_0000021 380.9 386.2 
Andrew_Lee_Potts/whMJs28Tu_s_0000022 392.4 402.7 
Andrew_Lee_Potts/whMJs28Tu_s_0000023 411.3 415.4 
Andrew_Lee_Potts/whMJs28Tu_s_0000024 415.7 429.6 
