POI: 			Aidan_Turner 
Youtube ID: 	o524HaR7jfE 
Video length: 	470.5 sec 
Set (V): 		dev 
 
Aidan_Turner/o524HaR7jfE_0000001 17.8 30.2 
Aidan_Turner/o524HaR7jfE_0000002 41.1 47.8 
Aidan_Turner/o524HaR7jfE_0000003 48.8 54.0 
Aidan_Turner/o524HaR7jfE_0000004 58.4 64.8 
Aidan_Turner/o524HaR7jfE_0000005 80.6 84.7 
Aidan_Turner/o524HaR7jfE_0000006 85.8 95.7 
Aidan_Turner/o524HaR7jfE_0000007 96.4 102.4 
Aidan_Turner/o524HaR7jfE_0000008 125.8 137.9 
Aidan_Turner/o524HaR7jfE_0000009 144.9 152.6 
Aidan_Turner/o524HaR7jfE_0000010 165.7 177.0 
Aidan_Turner/o524HaR7jfE_0000011 179.2 190.5 
Aidan_Turner/o524HaR7jfE_0000012 191.4 201.0 
Aidan_Turner/o524HaR7jfE_0000013 211.8 222.3 
Aidan_Turner/o524HaR7jfE_0000014 230.1 236.1 
Aidan_Turner/o524HaR7jfE_0000015 236.4 251.4 
Aidan_Turner/o524HaR7jfE_0000016 257.9 264.2 
Aidan_Turner/o524HaR7jfE_0000017 269.9 274.6 
Aidan_Turner/o524HaR7jfE_0000018 276.3 284.6 
Aidan_Turner/o524HaR7jfE_0000019 297.5 303.2 
Aidan_Turner/o524HaR7jfE_0000020 308.7 343.6 
Aidan_Turner/o524HaR7jfE_0000021 353.1 359.5 
Aidan_Turner/o524HaR7jfE_0000022 362.4 366.6 
Aidan_Turner/o524HaR7jfE_0000023 378.1 390.4 
Aidan_Turner/o524HaR7jfE_0000024 399.0 405.4 
Aidan_Turner/o524HaR7jfE_0000025 408.0 415.1 
Aidan_Turner/o524HaR7jfE_0000026 432.3 436.5 
Aidan_Turner/o524HaR7jfE_0000027 438.6 445.0 
Aidan_Turner/o524HaR7jfE_0000028 455.2 461.2 
Aidan_Turner/o524HaR7jfE_0000029 461.3 467.4 
